t,T+R,N_0,N_1,N_2,N_3,N_4
0,0.999998,9.06436e-28,5.32897e-33,4.16411e-33,4.55418e-33,4.15576e-33
1,0.999802,9.08613e-28,6.45737e-31,5.13099e-31,5.67458e-31,5.21852e-31
2,0.999281,9.02319e-28,2.38406e-30,1.85412e-30,2.05381e-30,1.95898e-30
3,0.998443,8.95097e-28,4.98435e-30,4.08521e-30,4.50288e-30,4.34914e-30
4,0.9973,8.74171e-28,8.55898e-30,7.13845e-30,7.92994e-30,7.89315e-30
5,0.995866,8.41869e-28,1.29757e-29,1.12202e-29,1.29268e-29,1.27659e-29
6,0.994161,8.20581e-28,1.8042e-29,1.59616e-29,1.85758e-29,1.8458e-29
7,0.99221,8.41411e-28,2.32687e-29,2.14122e-29,2.54006e-29,2.51603e-29
8,0.990038,8.03929e-28,3.03741e-29,2.70527e-29,3.20869e-29,3.33026e-29
9,0.987675,7.71237e-28,3.61796e-29,3.33466e-29,3.99465e-29,4.37566e-29
10,0.985154,7.42366e-28,4.27715e-29,4.25044e-29,5.03496e-29,5.34686e-29
11,0.982509,6.92299e-28,4.92648e-29,4.94894e-29,6.02697e-29,6.42934e-29
12,0.979777,6.7169e-28,5.54757e-29,5.66381e-29,7.07693e-29,7.52902e-29
13,0.976994,6.5177e-28,5.82998e-29,6.40318e-29,7.68189e-29,8.66763e-29
14,0.974199,6.22543e-28,6.63407e-29,7.31036e-29,8.49284e-29,1.01313e-28
15,0.971431,5.70962e-28,6.70859e-29,8.17962e-29,9.56067e-29,1.11164e-28
16,0.968727,5.32695e-28,6.9964e-29,8.74624e-29,1.02149e-28,1.18017e-28
17,0.966124,5.13412e-28,7.21226e-29,9.04187e-29,1.03861e-28,1.28649e-28
18,0.963658,4.80263e-28,7.78101e-29,9.29358e-29,1.09258e-28,1.38372e-28
19,0.961364,4.46878e-28,7.40924e-29,9.83508e-29,1.05779e-28,1.42434e-28
20,0.959272,3.94807e-28,7.01641e-29,1.05443e-28,1.11271e-28,1.52434e-28
21,0.957411,4.04924e-28,7.01079e-29,1.06129e-28,1.07829e-28,1.56837e-28
22,0.955807,3.99815e-28,7.29296e-29,1.04891e-28,9.88633e-29,1.61699e-28
23,0.954483,3.77653e-28,7.51834e-29,1.09015e-28,9.7455e-29,1.61063e-28
24,0.953457,3.41402e-28,6.47257e-29,1.13759e-28,9.83534e-29,1.73413e-28
25,0.952744,3.36762e-28,6.85075e-29,1.1217e-28,1.01503e-28,1.73195e-28
26,0.952355,3.6047e-28,6.83147e-29,1.15866e-28,9.69414e-29,1.76846e-28
27,0.952294,3.7877e-28,7.29532e-29,1.15571e-28,8.04378e-29,1.77052e-28
28,0.952566,3.54764e-28,7.1625e-29,1.22136e-28,8.22236e-29,1.79136e-28
29,0.953166,3.63295e-28,5.78633e-29,1.2476e-28,8.17626e-29,1.81922e-28
30,0.954088,3.62242e-28,6.4145e-29,1.2244e-28,7.71839e-29,1.80212e-28
31,0.955322,3.92823e-28,6.12154e-29,1.20151e-28,6.86457e-29,1.82442e-28
32,0.956851,4.39536e-28,5.79462e-29,1.22838e-28,5.32082e-29,1.74498e-28
33,0.958659,4.19123e-28,5.58173e-29,1.09956e-28,4.73262e-29,1.63475e-28
34,0.960721,4.3551e-28,4.95975e-29,1.09396e-28,4.90317e-29,1.63164e-28
35,0.963014,4.65059e-28,3.57413e-29,9.85982e-29,4.50794e-29,1.55038e-28
36,0.965508,5.37761e-28,3.99924e-29,8.86936e-29,3.49312e-29,1.45657e-28
37,0.968174,5.63187e-28,3.43475e-29,7.45083e-29,1.99551e-29,1.43655e-28
38,0.970978,6.07954e-28,2.4162e-29,6.74496e-29,2.03647e-29,1.39976e-28
39,0.973886,5.86324e-28,1.06925e-29,5.75735e-29,1.98248e-29,1.40046e-28
40,0.976863,6.22608e-28,9.21652e-30,4.87377e-29,2.01755e-29,1.319e-28
41,0.979874,6.43991e-28,7.71298e-30,3.73583e-29,1.6238e-29,1.27754e-28
42,0.982882,6.67679e-28,4.60536e-30,2.73947e-29,7.68026e-30,1.29722e-28
43,0.985852,6.40244e-28,2.01634e-30,2.10965e-29,5.0293e-30,1.33683e-28
44,0.988751,6.54814e-28,1.7228e-31,1.52132e-29,7.35965e-30,1.19473e-28
45,0.991544,6.49452e-28,3.0784e-30,1.18888e-29,6.08598e-30,1.20289e-28
46,0.994201,6.8095e-28,3.21371e-30,8.75607e-30,5.34186e-30,1.15689e-28
47,0.996692,6.89561e-28,8.90142e-30,5.62952e-30,3.28346e-30,1.10394e-28
48,0.998992,6.90969e-28,1.33435e-29,1.76881e-30,4.31413e-30,1.04383e-28
49,1.00108,6.7693e-28,1.79913e-29,1.74489e-30,3.76524e-30,9.96447e-29
50,1.00293,6.7468e-28,2.54555e-29,9.63692e-31,5.85424e-30,9.56919e-29
51,1.00453,6.63497e-28,2.74131e-29,1.85879e-30,1.13079e-29,8.65812e-29
52,1.00586,6.95087e-28,3.62337e-29,2.89696e-30,8.71405e-30,8.79401e-29
53,1.00692,7.18536e-28,4.10524e-29,4.16474e-30,1.58894e-29,8.3448e-29
54,1.0077,7.40775e-28,5.0349e-29,4.23714e-30,1.65276e-29,7.74416e-29
55,1.0082,7.60845e-28,5.66591e-29,9.28035e-30,2.25807e-29,7.71961e-29
56,1.00843,8.13713e-28,6.6213e-29,1.01511e-29,3.15246e-29,7.45242e-29
57,1.00839,8.59895e-28,7.42158e-29,1.55268e-29,3.56403e-29,7.13915e-29
58,1.00809,7.54634e-28,8.20147e-29,2.07593e-29,3.59931e-29,7.07167e-29
59,1.00754,7.39356e-28,8.37139e-29,2.4733e-29,5.24476e-29,6.13346e-29
60,1.00676,7.86663e-28,9.33076e-29,3.33734e-29,6.79488e-29,6.19869e-29
