t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,0.999996,0.0463753,2.90147e-06,1.34557e-07,6.39296e-07,2.96477e-08
1,0.999572,0.509911,0.000350979,0.000179045,7.73595e-05,3.94634e-05
2,0.99844,0.972364,0.00127823,0.00124484,0.000281991,0.000274627
3,0.996603,1.43275,0.00278204,0.00399955,0.000614656,0.000883651
4,0.994066,1.8901,0.00485818,0.00923726,0.00107555,0.00204503
5,0.990834,2.34345,0.00750082,0.0177404,0.00166494,0.0039378
6,0.986914,2.79185,0.0107025,0.030276,0.00238317,0.00674167
7,0.982315,3.23437,0.0144543,0.0475921,0.00323064,0.0106372
8,0.977047,3.6701,0.0187455,0.0704142,0.00420783,0.015806
9,0.971121,4.09817,0.0235642,0.0994419,0.00531526,0.0224306
10,0.96455,4.51771,0.0288968,0.135345,0.00655352,0.0306951
11,0.957348,4.9279,0.0347283,0.178762,0.00792324,0.0407845
12,0.949533,5.32796,0.0410422,0.230294,0.0094251,0.0528855
13,0.941119,5.71712,0.047821,0.290504,0.0110598,0.0671862
14,0.932126,6.09469,0.0550455,0.359914,0.0128281,0.0838761
15,0.922574,6.45998,0.0626954,0.439001,0.0147307,0.103146
16,0.912482,6.81237,0.0707493,0.528197,0.0167685,0.125189
17,0.901873,7.15129,0.0791845,0.627884,0.0189421,0.150199
18,0.89077,7.47621,0.0879774,0.738392,0.0212524,0.178371
19,0.879196,7.78665,0.0971034,0.860002,0.0237001,0.209902
20,0.867177,8.0822,0.106537,0.992935,0.026286,0.244989
21,0.854738,8.36247,0.116251,1.13736,0.0290108,0.283831
22,0.841906,8.62717,0.126219,1.29339,0.031875,0.326629
23,0.828707,8.87603,0.136413,1.46108,0.0348793,0.373581
24,0.815171,9.10885,0.146805,1.64042,0.0380242,0.424889
25,0.801325,9.32552,0.157365,1.83135,0.0413102,0.480753
26,0.787199,9.52593,0.168063,2.03374,0.0447377,0.541372
27,0.772823,9.71009,0.178871,2.24741,0.0483068,0.606948
28,0.758225,9.87803,0.189757,2.47212,0.0520177,0.677678
29,0.743438,10.0298,0.200692,2.70757,0.0558705,0.753759
30,0.72849,10.1657,0.211645,2.95339,0.0598651,0.835387
31,0.713414,10.2858,0.222585,3.20918,0.0640011,0.922754
32,0.698239,10.3905,0.233483,3.47447,0.0682783,1.01605
33,0.682996,10.4801,0.244308,3.74872,0.0726959,1.11546
34,0.667717,10.5549,0.255029,4.03137,0.0772533,1.22118
35,0.652432,10.6155,0.265619,4.32178,0.0819495,1.33337
36,0.637171,10.6622,0.276046,4.61928,0.0867833,1.45221
