t,T+R,N_0,N_1,N_2
0,1,1.99704e-25,8.95347e-31,1.73656e-31
1,1.00005,2.01031e-25,1.4015e-28,1.86312e-29
2,1.0002,2.04269e-25,5.98772e-28,6.13306e-29
3,1.00043,2.04826e-25,1.41767e-27,1.15848e-28
4,1.00075,1.98593e-25,2.51649e-27,1.70958e-28
5,1.00116,1.97176e-25,3.75519e-27,2.11082e-28
6,1.00166,2.0615e-25,4.87777e-27,2.40618e-28
7,1.00223,2.01585e-25,5.89173e-27,2.8683e-28
8,1.00289,1.97396e-25,6.77743e-27,3.83629e-28
9,1.00363,1.93569e-25,7.50284e-27,5.80295e-28
10,1.00445,1.96507e-25,8.42828e-27,8.97106e-28
11,1.00534,1.94529e-25,9.77701e-27,1.32594e-27
12,1.0063,1.91083e-25,1.14962e-26,1.76179e-27
13,1.00733,1.85558e-25,1.35185e-26,2.31476e-27
14,1.00842,1.74718e-25,1.55598e-26,2.68206e-27
15,1.00957,1.75487e-25,1.84267e-26,2.88699e-27
16,1.01077,1.78665e-25,2.04472e-26,3.05753e-27
17,1.01203,1.8664e-25,2.304e-26,3.21214e-27
18,1.01333,1.75013e-25,2.44081e-26,3.52816e-27
19,1.01467,1.70811e-25,2.48591e-26,4.04598e-27
20,1.01605,1.73552e-25,2.54184e-26,5.05768e-27
21,1.01745,1.7441e-25,2.61648e-26,6.25032e-27
22,1.01888,1.70062e-25,2.73222e-26,7.23768e-27
23,1.02033,1.63522e-25,2.87732e-26,8.52115e-27
24,1.02179,1.60067e-25,2.9358e-26,9.16253e-27
25,1.02326,1.54998e-25,3.29055e-26,9.43018e-27
26,1.02473,1.5095e-25,3.67311e-26,1.01648e-26
27,1.0262,1.4837e-25,4.07824e-26,1.05246e-26
28,1.02765,1.4852e-25,4.56885e-26,1.0615e-26
29,1.02909,1.41613e-25,4.86331e-26,1.20943e-26
30,1.0305,1.48619e-25,5.07572e-26,1.25723e-26
31,1.03188,1.44407e-25,5.76179e-26,1.37896e-26
32,1.03323,1.32912e-25,5.85408e-26,1.43723e-26
33,1.03454,1.36528e-25,6.24307e-26,1.59986e-26
34,1.03579,1.30355e-25,6.11436e-26,1.66029e-26
35,1.03699,1.19868e-25,6.21199e-26,1.80043e-26
36,1.03813,1.16678e-25,6.54226e-26,1.85079e-26
37,1.0392,1.20926e-25,6.63484e-26,1.89873e-26
38,1.0402,1.17855e-25,6.69507e-26,2.12164e-26
39,1.04112,1.17728e-25,6.0177e-26,2.2801e-26
40,1.04196,1.08244e-25,6.51804e-26,2.56261e-26
41,1.0427,1.00544e-25,7.10936e-26,2.38432e-26
42,1.04335,1.04219e-25,7.40201e-26,2.55728e-26
43,1.0439,1.08074e-25,6.99909e-26,2.73716e-26
44,1.04434,9.89165e-26,7.29193e-26,2.84787e-26
45,1.04466,9.558e-26,8.40265e-26,2.92576e-26
46,1.04487,8.81348e-26,8.24078e-26,3.00647e-26
47,1.04496,9.63166e-26,8.426e-26,3.31155e-26
48,1.04493,8.89703e-26,7.81191e-26,3.33498e-26
49,1.04476,9.0038e-26,8.29656e-26,3.73282e-26
50,1.04446,7.62301e-26,7.88523e-26,3.5145e-26
51,1.04402,8.23928e-26,8.18908e-26,4.18842e-26
52,1.04344,8.30083e-26,7.78051e-26,4.0057e-26
53,1.04272,8.31287e-26,7.86511e-26,4.17877e-26
54,1.04185,7.52813e-26,7.80395e-26,4.32778e-26
55,1.04082,6.76583e-26,8.04919e-26,4.4277e-26
56,1.03965,6.94794e-26,8.3823e-26,4.66185e-26
57,1.03832,6.82237e-26,7.76397e-26,4.79449e-26
58,1.03683,6.56253e-26,8.109e-26,4.7918e-26
59,1.03519,5.98207e-26,8.10945e-26,5.16851e-26
60,1.03338,6.02638e-26,8.49769e-26,5.62079e-26
61,1.03142,6.4883e-26,8.10608e-26,5.56699e-26
62,1.02929,6.53805e-26,7.86291e-26,5.74528e-26
63,1.027,6.08817e-26,8.30876e-26,5.69992e-26
64,1.02454,7.21182e-26,8.20487e-26,6.11807e-26
65,1.02193,6.9168e-26,8.84338e-26,6.62624e-26
66,1.01915,6.39398e-26,8.51541e-26,6.16691e-26
67,1.01621,6.41653e-26,8.35962e-26,6.18773e-26
68,1.0131,5.81067e-26,7.75063e-26,7.05078e-26
69,1.00984,6.06608e-26,7.80021e-26,6.94146e-26
70,1.00642,6.03989e-26,7.75611e-26,7.33295e-26
71,1.00284,5.55847e-26,6.58745e-26,7.15176e-26
72,0.999104,6.30608e-26,6.64564e-26,7.44613e-26
73,0.995215,5.902e-26,7.48836e-26,7.24851e-26
74,0.991174,6.48131e-26,8.05725e-26,7.48555e-26
75,0.986983,6.10526e-26,7.36475e-26,6.8939e-26
76,0.982646,6.48952e-26,7.23087e-26,7.12497e-26
77,0.978166,5.2894e-26,7.30625e-26,7.40708e-26
78,0.973544,5.51942e-26,7.60149e-26,7.54673e-26
79,0.968784,6.11432e-26,7.05987e-26,8.29632e-26
80,0.96389,5.48767e-26,6.08518e-26,7.63269e-26
81,0.958864,5.75498e-26,5.79221e-26,7.81707e-26
82,0.953711,5.57362e-26,5.97985e-26,9.58283e-26
83,0.948435,6.23077e-26,5.46376e-26,8.91114e-26
84,0.943038,6.47579e-26,5.19752e-26,8.93852e-26
85,0.937525,6.22282e-26,4.83895e-26,8.88553e-26
86,0.931901,6.27378e-26,4.7657e-26,8.78498e-26
87,0.926168,5.89984e-26,5.26929e-26,8.60731e-26
88,0.920332,6.27945e-26,5.03855e-26,8.09397e-26
89,0.914396,6.43012e-26,4.62772e-26,9.37828e-26
90,0.908366,6.28857e-26,4.44107e-26,8.2327e-26
91,0.902244,6.2875e-26,5.31132e-26,8.48212e-26
92,0.896037,6.31678e-26,4.87665e-26,8.55192e-26
93,0.889747,7.03616e-26,4.82855e-26,8.16742e-26
94,0.88338,6.38806e-26,4.01285e-26,8.89569e-26
95,0.87694,6.74872e-26,3.54396e-26,9.62542e-26
96,0.870431,6.69301e-26,3.72351e-26,8.08864e-26
97,0.863858,6.70581e-26,3.19175e-26,8.39503e-26
98,0.857225,7.52253e-26,3.23985e-26,9.63243e-26
99,0.850536,7.35553e-26,3.2031e-26,9.97274e-26
100,0.843796,7.11408e-26,3.28843e-26,9.57481e-26
