t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
0,0.999996,0.0463753,2.62029e-06,1.21517e-07,1.6041e-07,7.43909e-09,1.26135e-06,5.84959e-08
1,0.999511,0.50988,0.00031691,0.000161665,1.94393e-05,9.91657e-06,0.000152577,7.7834e-05
2,0.99822,0.972149,0.00115361,0.00112348,7.11372e-05,6.92793e-05,0.000555629,0.000541118
3,0.996126,1.43206,0.00250891,0.00360689,0.000156036,0.000224323,0.00120918,0.00173835
4,0.993237,1.88852,0.00437661,0.0083216,0.000275402,0.000523645,0.00211121,0.00401421
5,0.989562,2.34044,0.00674819,0.0159603,0.000430974,0.00101931,0.00325894,0.0077078
6,0.985113,2.78675,0.00961283,0.0271934,0.000624954,0.00176791,0.00464884,0.0131509
7,0.979906,3.22644,0.0129575,0.0426637,0.000859993,0.00283161,0.00627664,0.0206665
8,0.973957,3.6585,0.0167669,0.0629817,0.00113917,0.0042791,0.00813732,0.0305664
9,0.967285,4.08198,0.0210236,0.0887206,0.00146598,0.00618649,0.0102252,0.0431507
10,0.959913,4.496,0.0257085,0.120412,0.00184429,0.00863819,0.0125338,0.0587051
11,0.951866,4.89968,0.0308,0.158541,0.00227834,0.0117276,0.0150561,0.0775004
12,0.943168,5.29224,0.0362751,0.203545,0.00277268,0.0155579,0.0177843,0.0997901
13,0.933849,5.67296,0.042109,0.255804,0.0033322,0.0202425,0.0207101,0.12581
14,0.923938,6.04115,0.0482752,0.315646,0.003962,0.0259054,0.0238245,0.155776
15,0.913469,6.39622,0.0547458,0.383337,0.00466744,0.032682,0.0271181,0.189884
16,0.902474,6.73765,0.0614916,0.459081,0.00545407,0.0407188,0.0305807,0.228308
17,0.890989,7.06498,0.0684821,0.54302,0.00632759,0.0501738,0.0342018,0.271199
18,0.87905,7.37784,0.0756859,0.63523,0.0072938,0.0612167,0.0379703,0.318684
19,0.866696,7.67594,0.0830706,0.73572,0.00835857,0.0740282,0.041875,0.370868
20,0.853965,7.95906,0.0906032,0.844433,0.00952781,0.0888003,0.0459038,0.427829
21,0.840898,8.22706,0.0982501,0.961246,0.0108074,0.105736,0.0500446,0.489619
22,0.827535,8.4799,0.105977,1.08597,0.0122031,0.125047,0.0542849,0.556267
23,0.813917,8.71762,0.11375,1.21834,0.0137207,0.146958,0.0586119,0.627773
24,0.800087,8.94031,0.121534,1.35805,0.0153656,0.171698,0.0630125,0.704113
25,0.786087,9.14818,0.129296,1.5047,0.0171433,0.199507,0.0674737,0.785233
26,0.771958,9.3415,0.137001,1.65786,0.0190588,0.230632,0.071982,0.871057
27,0.757743,9.52062,0.144616,1.81702,0.021117,0.265323,0.0765239,0.961481
28,0.743484,9.68598,0.152108,1.98163,0.0233222,0.303838,0.081086,1.05637
29,0.729222,9.83806,0.159444,2.15109,0.0256786,0.346435,0.0856547,1.15558
30,0.714999,9.97745,0.166594,2.32474,0.0281899,0.393376,0.0902166,1.25893
31,0.700855,10.1048,0.173527,2.50188,0.0308592,0.444922,0.094758,1.3662
32,0.68683,10.2207,0.180215,2.68178,0.0336893,0.501332,0.0992658,1.47718
33,0.672961,10.3261,0.186629,2.86369,0.0366824,0.562864,0.103727,1.59161
34,0.659287,10.4216,0.192745,3.04681,0.03984,0.629769,0.108128,1.70923
35,0.645843,10.5083,0.198537,3.23032,0.0431632,0.702292,0.112456,1.82973
36,0.632664,10.5868,0.203983,3.4134,0.0466524,0.780669,0.1167,1.95282
37,0.619784,10.6583,0.209063,3.59522,0.0503073,0.865126,0.120846,2.07817
38,0.607232,10.7236,0.213758,3.77493,0.054127,0.955875,0.124883,2.20542
39,0.59504,10.7838,0.218051,3.95171,0.0581097,1.05312,0.1288,2.33422
40,0.583234,10.8399,0.221928,4.12472,0.0622533,1.15703,0.132585,2.4642
41,0.571841,10.8929,0.225377,4.29315,0.0665545,1.26778,0.136228,2.59497
42,0.560884,10.9438,0.228388,4.45624,0.0710096,1.38552,0.139718,2.72614
43,0.550384,10.9937,0.230955,4.61322,0.0756141,1.51036,0.143047,2.8573
44,0.54036,11.0435,0.233072,4.76338,0.0803625,1.6424,0.146205,2.98805
45,0.530829,11.0944,0.234738,4.90605,0.0852489,1.78171,0.149184,3.11796
46,0.521806,11.1473,0.235952,5.0406,0.0902665,1.92835,0.151975,3.24662
47,0.513303,11.2031,0.236717,5.16648,0.0954077,2.08232,0.154572,3.37361
48,0.505329,11.2628,0.237039,5.28317,0.100664,2.24362,0.156967,3.4985
49,0.497891,11.3274,0.236926,5.39024,0.106027,2.4122,0.159155,3.62089
50,0.490995,11.3976,0.236388,5.48733,0.111487,2.58798,0.16113,3.74036
51,0.484641,11.4742,0.235437,5.57415,0.117034,2.77086,0.162888,3.85649
52,0.47883,11.5581,0.23409,5.6505,0.122656,2.96068,0.164424,3.9689
53,0.473559,11.6498,0.232363,5.71626,0.128342,3.15728,0.165736,4.07719
54,0.468823,11.7501,0.230277,5.77141,0.13408,3.36042,0.166819,4.18097
55,0.464615,11.8594,0.227855,5.81602,0.139857,3.56987,0.167673,4.27989
56,0.460924,11.9782,0.225119,5.85024,0.14566,3.78533,0.168297,4.37358
57,0.457739,12.107,0.222097,5.87435,0.151476,4.00648,0.168688,4.46172
58,0.455044,12.246,0.218817,5.88871,0.157291,4.23295,0.168848,4.54397
59,0.452825,12.3955,0.215308,5.89378,0.16309,4.46436,0.168777,4.62005
60,0.451062,12.5556,0.211604,5.89012,0.168858,4.70027,0.168477,4.68966
61,0.449734,12.7264,0.207736,5.87842,0.174581,4.94021,0.167949,4.75256
62,0.448821,12.9078,0.203739,5.85943,0.180243,5.18368,0.167197,4.80849
63,0.448297,13.0998,0.19965,5.83402,0.185829,5.43017,0.166223,4.85725
64,0.448138,13.3021,0.195505,5.80317,0.191325,5.67909,0.165032,4.89865
65,0.448316,13.5143,0.191342,5.76793,0.196714,5.92988,0.163628,4.93252
66,0.448803,13.7362,0.187199,5.72946,0.201981,6.18189,0.162017,4.95872
67,0.44957,13.9672,0.183116,5.689,0.207112,6.43451,0.160203,4.97714
68,0.450586,14.2067,0.179131,5.64788,0.21209,6.68705,0.158193,4.9877
69,0.45182,14.454,0.175285,5.6075,0.216901,6.93883,0.155993,4.99034
