t,T+R,N_0,N_1,N_2,N_3
0,1,1.08399e-27,3.28368e-33,9.66693e-35,1.17774e-33
1,1.00003,1.09706e-27,3.77263e-31,1.49609e-32,1.51649e-31
2,1.00012,1.13719e-27,1.34196e-30,6.59023e-32,5.90061e-31
3,1.00026,1.13502e-27,2.72264e-30,1.74001e-31,1.34071e-30
4,1.00046,1.15426e-27,4.64883e-30,3.44243e-31,2.47277e-30
5,1.00071,1.18093e-27,6.82814e-30,6.17277e-31,4.01404e-30
6,1.00101,1.19115e-27,8.74197e-30,9.25914e-31,5.90543e-30
7,1.00136,1.21893e-27,1.22171e-29,1.28555e-30,8.2809e-30
8,1.00176,1.18024e-27,1.4919e-29,1.73774e-30,1.12627e-29
9,1.00222,1.15896e-27,1.9014e-29,2.13416e-30,1.46462e-29
10,1.00272,1.1941e-27,2.11486e-29,2.6187e-30,1.81091e-29
11,1.00326,1.21217e-27,2.50659e-29,2.7883e-30,2.22575e-29
12,1.00385,1.24116e-27,2.82961e-29,3.03928e-30,2.6859e-29
13,1.00448,1.18617e-27,3.8449e-29,3.38506e-30,3.07997e-29
14,1.00515,1.15353e-27,4.54741e-29,3.64684e-30,3.51982e-29
15,1.00586,1.1665e-27,5.44433e-29,3.74336e-30,4.08443e-29
16,1.00661,1.17273e-27,6.30656e-29,3.96469e-30,4.66008e-29
17,1.00739,1.19202e-27,7.7932e-29,3.95235e-30,5.1426e-29
18,1.0082,1.137e-27,9.10484e-29,4.21408e-30,5.71127e-29
19,1.00904,1.08572e-27,1.06477e-28,4.50636e-30,6.22915e-29
20,1.0099,1.08007e-27,1.16264e-28,5.31951e-30,7.00116e-29
21,1.01079,1.09537e-27,1.41385e-28,6.25988e-30,7.53811e-29
22,1.01169,1.04454e-27,1.52553e-28,7.00413e-30,8.19847e-29
23,1.01262,9.77135e-28,1.81031e-28,8.69831e-30,8.77528e-29
24,1.01355,9.96512e-28,1.9162e-28,1.0326e-29,9.61e-29
25,1.0145,8.83718e-28,2.15518e-28,1.35927e-29,1.03998e-28
26,1.01546,9.18341e-28,2.20601e-28,1.6406e-29,1.13995e-28
27,1.01642,8.84946e-28,2.33701e-28,1.74801e-29,1.22287e-28
28,1.01738,8.51111e-28,2.53857e-28,2.03581e-29,1.3069e-28
29,1.01834,7.73156e-28,2.69996e-28,2.45168e-29,1.3829e-28
30,1.01929,7.89876e-28,2.79426e-28,3.14347e-29,1.49839e-28
31,1.02024,7.81332e-28,2.83449e-28,3.42943e-29,1.57791e-28
32,1.02118,8.21698e-28,3.07466e-28,3.71428e-29,1.66084e-28
33,1.0221,7.88874e-28,3.58013e-28,4.24344e-29,1.84602e-28
34,1.023,8.02333e-28,3.59638e-28,5.03868e-29,1.86985e-28
35,1.02389,7.56317e-28,3.44704e-28,5.40874e-29,1.95618e-28
36,1.02475,8.05211e-28,3.8863e-28,5.72787e-29,1.97168e-28
37,1.02559,8.35692e-28,3.88633e-28,5.94559e-29,2.03571e-28
38,1.0264,7.36323e-28,4.23986e-28,6.59496e-29,2.11818e-28
39,1.02718,7.88731e-28,4.23881e-28,6.67702e-29,2.18175e-28
40,1.02792,7.82956e-28,4.09221e-28,7.74897e-29,2.1108e-28
41,1.02863,8.31361e-28,4.66249e-28,7.86096e-29,2.11019e-28
42,1.0293,7.84124e-28,4.40594e-28,8.67151e-29,2.08781e-28
43,1.02993,7.93054e-28,5.12361e-28,9.6137e-29,2.19154e-28
44,1.03051,7.92245e-28,5.3201e-28,1.01236e-28,2.0325e-28
45,1.03105,6.94762e-28,5.27757e-28,1.06903e-28,2.02624e-28
46,1.03155,7.83481e-28,4.99764e-28,1.14931e-28,1.89553e-28
47,1.03199,8.11603e-28,5.35179e-28,1.20665e-28,1.8739e-28
48,1.03239,7.6299e-28,5.26676e-28,1.33268e-28,1.87028e-28
49,1.03273,7.5447e-28,5.78713e-28,1.38127e-28,1.7582e-28
50,1.03302,7.8006e-28,5.50479e-28,1.51979e-28,1.67208e-28
51,1.03325,7.53274e-28,5.94412e-28,1.62578e-28,1.52015e-28
52,1.03343,7.49637e-28,4.8007e-28,1.5688e-28,1.53232e-28
53,1.03356,8.31102e-28,5.47047e-28,1.82369e-28,1.53191e-28
54,1.03362,7.96771e-28,5.73126e-28,1.72999e-28,1.4755e-28
55,1.03363,7.6958e-28,4.4859e-28,1.88308e-28,1.38574e-28
56,1.03358,7.78377e-28,4.76634e-28,1.89656e-28,1.35098e-28
57,1.03347,7.32003e-28,4.89523e-28,1.85592e-28,1.33406e-28
58,1.03331,7.0914e-28,4.86849e-28,1.91684e-28,1.39819e-28
59,1.03308,7.0055e-28,4.27058e-28,1.94947e-28,1.4339e-28
60,1.0328,7.10991e-28,3.71006e-28,1.9103e-28,1.28188e-28
61,1.03246,6.62386e-28,3.97774e-28,1.67417e-28,1.35593e-28
62,1.03206,6.61312e-28,3.90977e-28,2.05379e-28,1.39573e-28
63,1.03161,6.4852e-28,4.15758e-28,1.90272e-28,1.35405e-28
64,1.0311,6.70402e-28,3.73333e-28,1.84594e-28,1.3672e-28
65,1.03053,6.80253e-28,3.79327e-28,1.80737e-28,1.19063e-28
66,1.02991,6.49726e-28,4.16785e-28,1.92785e-28,1.2549e-28
67,1.02924,6.27845e-28,3.85603e-28,2.06263e-28,1.19767e-28
68,1.02851,7.13885e-28,3.96489e-28,1.77753e-28,1.2549e-28
69,1.02774,6.66371e-28,3.61627e-28,1.83359e-28,1.21153e-28
70,1.02691,7.42028e-28,3.77882e-28,1.77742e-28,9.94675e-29
71,1.02604,7.31036e-28,3.73905e-28,1.85884e-28,1.07082e-28
72,1.02512,7.2025e-28,3.48116e-28,2.08786e-28,9.49087e-29
73,1.02416,8.05527e-28,3.55675e-28,1.73872e-28,9.07799e-29
74,1.02316,7.88369e-28,3.15547e-28,2.02411e-28,8.31044e-29
