t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
0,0.999992,0.0463751,3.416e-06,1.58418e-07,4.61885e-07,2.14201e-08,9.36748e-07,4.34421e-08,3.45016e-06,1.60003e-07
1,0.999001,0.50962,0.00041305,0.000210709,5.58978e-05,2.85151e-05,0.000113262,5.77784e-05,0.000417208,0.000212831
2,0.996364,0.970342,0.00150264,0.0014634,0.00020382,0.000198497,0.000411979,0.000401219,0.00151803,0.00147839
3,0.992097,1.42627,0.00326467,0.0046934,0.000444483,0.000639004,0.000894862,0.00128648,0.00329904,0.00474282
4,0.986227,1.8752,0.00568698,0.0108131,0.000778292,0.00147983,0.00155832,0.00296296,0.0057491,0.0109312
5,0.978791,2.31496,0.00875288,0.0207017,0.00120579,0.00285186,0.0023974,0.00567017,0.00885288,0.0209382
6,0.969834,2.74353,0.0124413,0.0351946,0.00172767,0.00488735,0.00340588,0.00963477,0.012591,0.0356183
7,0.959412,3.15896,0.0167268,0.0550745,0.00234472,0.00772021,0.00457622,0.0150677,0.0169401,0.055777
8,0.947589,3.55945,0.02158,0.0810614,0.00305783,0.0114862,0.00589973,0.0221613,0.0218731,0.0821625
9,0.934439,3.94337,0.0269677,0.113805,0.00386797,0.016323,0.00736655,0.0310871,0.0273592,0.115457
10,0.920041,4.30924,0.0328531,0.153876,0.00477618,0.0223704,0.00896574,0.0419933,0.0333642,0.156269
11,0.904484,4.65579,0.0391961,0.20176,0.00578349,0.0297702,0.0106854,0.0550026,0.0398507,0.205129
12,0.887864,4.98193,0.0459537,0.257853,0.00689096,0.0386661,0.0125128,0.0702108,0.0467784,0.26248
13,0.870282,5.2868,0.0530803,0.322453,0.00809961,0.0492036,0.0144342,0.0876849,0.0541043,0.328674
14,0.851844,5.56976,0.0605277,0.395759,0.00941038,0.0615296,0.0164353,0.107462,0.061783,0.403967
15,0.832661,5.8304,0.0682463,0.477869,0.0108241,0.075792,0.0185013,0.129549,0.0697669,0.488517
16,0.81285,6.06854,0.0761845,0.568775,0.0123416,0.0921394,0.0206168,0.15392,0.0780067,0.582379
17,0.792529,6.28426,0.08429,0.668367,0.0139633,0.110721,0.022766,0.18052,0.0864515,0.685507
18,0.771818,6.47785,0.0925094,0.776429,0.0156897,0.131683,0.024933,0.209262,0.0950495,0.797748
19,0.750841,6.64986,0.100789,0.892647,0.0175208,0.155174,0.0271015,0.240026,0.103748,0.918847
20,0.729719,6.80107,0.109076,1.01661,0.0194565,0.181337,0.0292555,0.272665,0.112493,1.04845
21,0.708576,6.93247,0.117318,1.1478,0.0214963,0.210313,0.0313789,0.307001,0.121231,1.18609
22,0.687533,7.04527,0.125462,1.28563,0.0236394,0.242238,0.033456,0.34283,0.12991,1.33122
23,0.66671,7.14092,0.133457,1.42942,0.0258847,0.277243,0.0354713,0.379922,0.138477,1.48318
24,0.646224,7.22101,0.141256,1.57842,0.0282306,0.315453,0.0374098,0.418023,0.14688,1.64126
25,0.626188,7.28734,0.148812,1.73182,0.030675,0.356984,0.0392572,0.45686,0.155067,1.80461
26,0.606713,7.34187,0.15608,1.88874,0.0332156,0.401943,0.0409997,0.49614,0.162991,1.97236
27,0.587902,7.38667,0.16302,2.04826,0.0358493,0.450426,0.0426246,0.535554,0.170604,2.14354
28,0.569854,7.42396,0.169594,2.20943,0.0385727,0.502518,0.0441197,0.574784,0.17786,2.31713
29,0.552661,7.45604,0.175766,2.37129,0.0413818,0.558289,0.0454741,0.613499,0.184717,2.49205
30,0.536407,7.48529,0.181507,2.53283,0.0442722,0.617796,0.0466778,0.651365,0.191136,2.6672
31,0.521172,7.51414,0.186789,2.69309,0.0472388,0.681079,0.0477221,0.688046,0.197078,2.84142
32,0.507024,7.54503,0.191591,2.85108,0.050276,0.748159,0.0485994,0.723209,0.20251,3.01355
33,0.494023,7.58042,0.195895,3.00587,0.0533777,0.819042,0.0493033,0.756523,0.2074,3.1824
34,0.482224,7.62273,0.199687,3.15655,0.0565372,0.893709,0.0498291,0.787671,0.211723,3.3468
35,0.471667,7.67431,0.202959,3.30227,0.0597473,0.972124,0.050173,0.816346,0.215453,3.50556
36,0.462387,7.73747,0.205707,3.44225,0.0630001,1.05423,0.050333,0.842258,0.218572,3.65753
37,0.454408,7.81437,0.207933,3.57578,0.0662875,1.13993,0.0503082,0.865141,0.221064,3.80159
38,0.447743,7.90709,0.209641,3.70224,0.0696006,1.22914,0.0500994,0.88475,0.222915,3.93666
39,0.442397,8.01752,0.210844,3.8211,0.0729302,1.32171,0.0497088,0.900867,0.22412,4.06169
40,0.438365,8.14739,0.211556,3.93196,0.0762666,1.41748,0.0491398,0.913306,0.224672,4.17573
41,0.43563,8.29823,0.211799,4.03452,0.0795997,1.51628,0.0483975,0.921915,0.224574,4.27786
42,0.434169,8.47137,0.211596,4.1286,0.082919,1.61789,0.0474883,0.926577,0.223828,4.36725
43,0.433947,8.66788,0.210978,4.21419,0.0862137,1.72208,0.0464198,0.927214,0.222442,4.44318
44,0.434921,8.88862,0.209977,4.29137,0.0894726,1.82858,0.045201,0.923788,0.220429,4.50498
45,0.437039,9.13417,0.208631,4.3604,0.0926845,1.93712,0.0438421,0.916305,0.217804,4.55212
46,0.440243,9.40483,0.20698,4.42168,0.0958377,2.04736,0.0423545,0.904813,0.214585,4.58415
47,0.444463,9.70063,0.205069,4.47574,0.0989205,2.15899,0.0407507,0.889405,0.210796,4.60074
48,0.449626,10.0213,0.202946,4.52328,0.101921,2.27164,0.0390441,0.87022,0.206463,4.60167
49,0.455651,10.3664,0.200659,4.56513,0.104828,2.38491,0.037249,0.847441,0.201614,4.58685
50,0.462449,10.7349,0.198261,4.60229,0.107629,2.49842,0.0353806,0.821298,0.19628,4.55629
51,0.469929,11.1259,0.195807,4.63587,0.110313,2.61174,0.0334547,0.792064,0.190496,4.51014
52,0.477994,11.5379,0.193351,4.66715,0.112868,2.72442,0.0314878,0.760057,0.184299,4.44864
53,0.486542,11.9692,0.190951,4.6975,0.115283,2.83602,0.0294967,0.725635,0.177727,4.37218
54,0.495471,12.4179,0.188663,4.72844,0.117546,2.94605,0.0274988,0.689198,0.170821,4.28126
55,0.504673,12.8818,0.186545,4.76158,0.119648,3.05404,0.0255114,0.651181,0.163622,4.17647
56,0.514042,13.3586,0.184653,4.79865,0.121578,3.1595,0.0235521,0.612056,0.156174,4.05854
57,0.52347,13.8455,0.183045,4.84144,0.123327,3.26193,0.0216384,0.572326,0.14852,3.92829
58,0.532848,14.3398,0.181774,4.89183,0.124884,3.36084,0.0197879,0.532523,0.140706,3.78663
59,0.542069,14.8384,0.180895,4.95175,0.126243,3.45572,0.0180174,0.493203,0.132776,3.63457
60,0.551029,15.3383,0.180458,5.02317,0.127394,3.54609,0.0163439,0.454942,0.124775,3.47319
61,0.559626,15.836,0.180513,5.10808,0.12833,3.63144,0.0147833,0.418332,0.116747,3.30367
62,0.567759,16.3284,0.181106,5.2085,0.129046,3.7113,0.0133514,0.383978,0.108738,3.12723
63,0.575334,16.812,0.182279,5.32641,0.129536,3.7852,0.0120628,0.35249,0.100788,2.94515
64,0.582262,17.2833,0.184071,5.46377,0.129795,3.8527,0.0109315,0.324479,0.092941,2.75877
65,0.588457,17.7388,0.186517,5.6225,0.129819,3.91335,0.00997039,0.300554,0.0852367,2.56943
66,0.59384,18.1752,0.189649,5.80445,0.129606,3.96674,0.00919141,0.281315,0.0777137,2.37853
67,0.598341,18.5891,0.193492,6.01137,0.129153,4.0125,0.00860526,0.267347,0.0704089,2.18745
68,0.601894,18.9773,0.198067,6.24493,0.128461,4.05027,0.00822143,0.259216,0.0633566,1.99759
69,0.604443,19.3365,0.203392,6.50665,0.127528,4.07972,0.0080481,0.257465,0.0565892,1.81033
70,0.605938,19.6639,0.209476,6.79793,0.126358,4.10057,0.00809207,0.262604,0.050136,1.62702
71,0.60634,19.9567,0.216326,7.12,0.124951,4.11256,0.0083587,0.275113,0.044024,1.44898
72,0.605618,20.2122,0.223941,7.47393,0.123312,4.1155,0.00885188,0.295427,0.038277,1.27748
73,0.603748,20.4282,0.232317,7.86059,0.121446,4.1092,0.00957398,0.323942,0.032916,1.11374
74,0.600717,20.6026,0.241441,8.28064,0.119357,4.09354,0.0105259,0.361002,0.0279589,0.9589
75,0.596523,20.7338,0.251298,8.73455,0.117052,4.06847,0.0117068,0.406901,0.0234203,0.814036
76,0.591169,20.8202,0.261865,9.22253,0.11454,4.03394,0.0131145,0.461874,0.0193116,0.680127
77,0.58467,20.8607,0.273115,9.74459,0.111829,3.98999,0.0147452,0.5261,0.0156409,0.558058
78,0.577051,20.8548,0.285014,10.3005,0.108928,3.9367,0.0165934,0.599691,0.0124132,0.448615
79,0.568343,20.8019,0.297524,10.8897,0.10585,3.87419,0.0186525,0.682698,0.00963008,0.35247
80,0.558589,20.7022,0.310603,11.5114,0.102604,3.80266,0.020914,0.775103,0.0072901,0.270182
81,0.547838,20.556,0.324201,12.1647,0.0992041,3.72234,0.0233681,0.87682,0.00538858,0.202191
82,0.536147,20.3642,0.338268,12.8483,0.0956632,3.63352,0.0260039,0.987693,0.00391786,0.14881
83,0.523583,20.128,0.352746,13.5605,0.0919954,3.53656,0.0288089,1.1075,0.00286735,0.110229
84,0.510217,19.849,0.367574,14.2998,0.0882155,3.43186,0.0317695,1.23593,0.00222369,0.0865086
85,0.496129,19.5293,0.38269,15.064,0.0843389,3.31986,0.034871,1.37264,0.00197091,0.0775814
86,0.481403,19.1711,0.398027,15.8508,0.0803817,3.20107,0.0380976,1.51718,0.00209055,0.083253
87,0.466131,18.7774,0.413515,16.6578,0.0763601,3.07605,0.0414327,1.66905,0.00256194,0.103204
88,0.450406,18.3511,0.429082,17.4822,0.0722913,2.94539,0.0448586,1.82769,0.00336231,0.136992
89,0.434329,17.8958,0.444655,18.3212,0.0681922,2.80974,0.0483572,1.99247,0.00446708,0.184058
90,0.418001,17.4152,0.460159,19.1716,0.0640805,2.66979,0.0519096,2.16271,0.00585006,0.243731
