t,T+R,N_0,N_1,N_2,N_3,N_4
0,0.999999,9.07291e-28,4.99252e-33,3.84321e-34,9.22087e-34,4.35448e-33
1,0.9999,9.19509e-28,5.85844e-31,4.80281e-32,1.0478e-31,5.19198e-31
2,0.999636,9.1638e-28,2.15e-30,1.80505e-31,3.43379e-31,1.86879e-30
3,0.999209,9.32161e-28,4.39569e-30,3.9944e-31,7.03632e-31,4.04225e-30
4,0.998621,9.09148e-28,7.30903e-30,7.17222e-31,1.1538e-30,7.20414e-30
5,0.997878,9.2909e-28,1.08287e-29,1.15767e-30,1.72543e-30,1.10694e-29
6,0.996983,9.59102e-28,1.5207e-29,1.85284e-30,2.46522e-30,1.58422e-29
7,0.995942,9.59709e-28,2.06654e-29,2.7192e-30,3.33875e-30,2.11746e-29
8,0.994763,9.7315e-28,2.46039e-29,3.97248e-30,4.37438e-30,2.83647e-29
9,0.993452,9.6678e-28,3.11712e-29,5.59984e-30,5.65505e-30,3.6595e-29
10,0.992019,9.52583e-28,3.91742e-29,7.72259e-30,7.1964e-30,4.49014e-29
11,0.990474,9.90039e-28,4.54748e-29,1.04577e-29,9.59256e-30,5.51139e-29
12,0.988825,9.72699e-28,5.36848e-29,1.36835e-29,1.10793e-29,6.47106e-29
13,0.987085,9.63749e-28,6.45333e-29,1.77519e-29,1.39767e-29,7.46643e-29
14,0.985264,9.37837e-28,7.34962e-29,2.16208e-29,1.60454e-29,8.58106e-29
15,0.983374,8.99137e-28,7.99774e-29,2.64427e-29,1.98121e-29,9.51295e-29
16,0.981428,8.9505e-28,9.11376e-29,3.04507e-29,2.2432e-29,1.02181e-28
17,0.979438,8.83034e-28,1.04673e-28,3.55625e-29,2.29716e-29,1.11988e-28
18,0.977418,8.652e-28,1.17576e-28,4.02262e-29,2.60753e-29,1.15468e-28
19,0.97538,8.0813e-28,1.20694e-28,4.39407e-29,3.01272e-29,1.24136e-28
20,0.973337,7.27875e-28,1.30794e-28,4.984e-29,3.06554e-29,1.28849e-28
21,0.971304,7.50537e-28,1.43916e-28,5.33648e-29,3.37699e-29,1.29315e-28
22,0.969292,7.57592e-28,1.56583e-28,5.52726e-29,3.44184e-29,1.33466e-28
23,0.967315,7.21589e-28,1.7333e-28,6.02126e-29,3.71692e-29,1.33874e-28
24,0.965386,6.84271e-28,1.72146e-28,6.27008e-29,4.21244e-29,1.39839e-28
25,0.963517,6.19044e-28,1.7431e-28,6.83765e-29,4.49213e-29,1.40393e-28
26,0.96172,6.19703e-28,1.94614e-28,7.00609e-29,4.99132e-29,1.40247e-28
27,0.960006,5.99395e-28,2.20942e-28,7.68653e-29,5.17307e-29,1.45065e-28
28,0.958386,5.58451e-28,2.14441e-28,8.08287e-29,5.19229e-29,1.49542e-28
29,0.956871,5.63886e-28,2.20095e-28,8.62579e-29,5.95144e-29,1.60237e-28
30,0.955469,5.02832e-28,2.16066e-28,9.35385e-29,6.29521e-29,1.56866e-28
31,0.95419,5.21396e-28,2.52844e-28,9.88426e-29,6.92404e-29,1.62046e-28
32,0.953041,5.00129e-28,2.53412e-28,1.02122e-28,6.9068e-29,1.64213e-28
33,0.95203,5.19131e-28,2.70562e-28,1.05745e-28,6.94332e-29,1.64201e-28
34,0.951162,4.96417e-28,2.35921e-28,1.07817e-28,7.52341e-29,1.60206e-28
35,0.950444,4.90626e-28,2.75058e-28,1.13326e-28,8.05517e-29,1.66006e-28
36,0.949878,4.80578e-28,2.71344e-28,1.14699e-28,7.29688e-29,1.53863e-28
37,0.949468,5.08088e-28,2.59641e-28,1.15281e-28,7.39016e-29,1.52436e-28
