E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
0.000464006,0.815547,0.580808,0,0,0,0.580808,0.415946,0,0,0,4.64006e-06
0.00128891,0.886369,0.449553,0,0,0,0.449553,0.336512,0,0,0,1.28891e-05
0.00252625,0.962992,0.347834,0,0,0,0.347834,0.265355,0,0,0,2.52625e-05
0.00417605,1.04586,0.269034,0,0,0,0.269034,0.204605,0,0,0,4.17605e-05
0.0062383,1.13545,0.20801,0,0,0,0.20801,0.154831,0,0,0,6.2383e-05
0.008713,1.23227,0.16077,0,0,0,0.16077,0.115409,0,0,0,8.713e-05
0.0116001,1.33686,0.124213,0,0,0,0.124213,0.0850151,0,0,0,0.000116001
0.0148997,1.44981,0.0959346,0,0,0,0.0959346,0.0620639,0,0,0,0.000148997
0.0186118,1.57172,0.074067,0,0,0,0.074067,0.0450039,0,0,0,0.000186118
0.0227363,1.70328,0.0571633,0,0,0,0.0571633,0.032471,0,0,0,0.000227363
0.0272732,1.84518,0.0441014,0,0,0,0.0441014,0.023343,0,0,0,0.000272732
0.0322226,1.99817,0.0340119,0,0,0,0.0340119,0.0167366,0,0,0,0.000322226
0.0375845,2.16308,0.0262212,0,0,0,0.0262212,0.011977,0,0,0,0.000375845
0.0433588,2.34074,0.0202077,0,0,0,0.0202077,0.00855916,0,0,0,0.000433588
0.0495455,2.53208,0.0155677,0,0,0,0.0155677,0.00611062,0,0,0,0.000495455
0.0561447,2.73807,0.0119888,0,0,0,0.0119888,0.00435946,0,0,0,0.000561447
0.0631564,2.95976,0.00922931,0,0,0,0.00922931,0.00310858,0,0,0,0.000631564
0.0705805,3.19823,0.00710242,0,0,0,0.00710242,0.00221582,0,0,0,0.000705805
0.078417,3.45466,0.00546369,0,0,0,0.00546369,0.00157904,0,0,0,0.00078417
0.086666,3.73031,0.00420154,0,0,0,0.00420154,0.00112506,0,0,0,0.00086666
0.0953275,4.0265,0.00322979,0,0,0,0.00322979,0.00080149,0,0,0,0.000953275
0.104401,4.34463,0.00248189,0,0,0,0.00248189,0.000570927,0,0,0,0.00104401
0.113888,4.68621,0.00190649,0,0,0,0.00190649,0.000406664,0,0,0,0.00113888
0.123786,5.05281,0.00146396,0,0,0,0.00146396,0.000289648,0,0,0,0.00123786
0.134098,5.44613,0.00112374,0,0,0,0.00112374,0.000206296,0,0,0,0.00134098
0.144821,5.86793,0.00086228,0,0,0,0.00086228,0.000146926,0,0,0,0.00144821
0.155958,6.32013,0.000661413,0,0,0,0.000661413,0.000104641,0,0,0,0.00155958
0.167506,6.80471,0.000507153,0,0,0,0.000507153,7.45242e-05,0,0,0,0.00167506
0.179467,7.32379,0.000388731,0,0,0,0.000388731,5.3075e-05,0,0,0,0.00179467
0.191841,7.87962,0.000297851,0,0,0,0.000297851,3.77988e-05,0,0,0,0.00191841
0.204627,8.47458,0.000228136,0,0,0,0.000228136,2.69193e-05,0,0,0,0.00204627
0.217825,9.11116,0.000174675,0,0,0,0.000174675,1.91712e-05,0,0,0,0.00217825
0.231436,9.79202,0.000133695,0,0,0,0.000133695,1.36533e-05,0,0,0,0.00231436
0.245459,10.52,0.000102293,0,0,0,0.000102293,9.72359e-06,0,0,0,0.00245459
0.259895,11.2979,7.82376e-05,0,0,0,7.82376e-05,6.92491e-06,0,0,0,0.00259895
0.274743,12.129,5.9817e-05,0,0,0,5.9817e-05,4.9317e-06,0,0,0,0.00274743
0.290004,13.0166,4.57166e-05,0,0,0,4.57166e-05,3.51217e-06,0,0,0,0.00290004
0.305677,13.964,3.49274e-05,0,0,0,3.49274e-05,2.50124e-06,0,0,0,0.00305677
0.321762,14.975,2.66751e-05,0,0,0,2.66751e-05,1.78131e-06,0,0,0,0.00321762
0.33826,16.0534,2.03653e-05,0,0,0,2.03653e-05,1.2686e-06,0,0,0,0.0033826
0.355171,17.2032,1.55425e-05,0,0,0,1.55425e-05,9.03463e-07,0,0,0,0.00355171
0.372494,18.4287,1.18574e-05,0,0,0,1.18574e-05,6.4342e-07,0,0,0,0.00372494
0.390229,19.7344,9.04282e-06,0,0,0,9.04282e-06,4.58227e-07,0,0,0,0.00390229
0.408377,21.1249,6.89384e-06,0,0,0,6.89384e-06,3.26337e-07,0,0,0,0.00408377
0.426937,22.6053,5.2536e-06,0,0,0,5.2536e-06,2.32406e-07,0,0,0,0.00426937
0.44591,24.1806,4.00212e-06,0,0,0,4.00212e-06,1.65509e-07,0,0,0,0.0044591
0.465295,25.8564,3.0477e-06,0,0,0,3.0477e-06,1.1787e-07,0,0,0,0.00465295
0.485092,27.6383,2.3201e-06,0,0,0,2.3201e-06,8.39449e-08,0,0,0,0.00485092
0.505303,29.5324,1.76556e-06,0,0,0,1.76556e-06,5.97839e-08,0,0,0,0.00505303
0.525925,31.5448,1.34306e-06,0,0,0,1.34306e-06,4.25761e-08,0,0,0,0.00525925
0.54696,33.6822,1.02126e-06,0,0,0,1.02126e-06,3.03203e-08,0,0,0,0.0054696
0.568407,35.9514,7.76301e-07,0,0,0,7.76301e-07,2.1593e-08,0,0,0,0.00568407
0.590267,38.3597,5.89916e-07,0,0,0,5.89916e-07,1.53785e-08,0,0,0,0.00590267
0.612539,40.9144,4.48129e-07,0,0,0,4.48129e-07,1.09528e-08,0,0,0,0.00612539
0.635224,43.6236,3.40278e-07,0,0,0,3.40278e-07,7.80031e-09,0,0,0,0.00635224
0.658321,46.4953,2.58272e-07,0,0,0,2.58272e-07,5.55479e-09,0,0,0,0.00658321
0.681831,49.5382,1.95945e-07,0,0,0,1.95945e-07,3.95544e-09,0,0,0,0.00681831
0.705753,52.7611,1.48625e-07,0,0,0,1.48625e-07,2.81694e-09,0,0,0,0.00705753
0.730088,56.1733,1.12703e-07,0,0,0,1.12703e-07,2.00635e-09,0,0,0,0.00730088
0.754835,59.7847,8.54364e-08,0,0,0,8.54364e-08,1.42907e-09,0,0,0,0.00754835
0.779994,63.6052,6.47336e-08,0,0,0,6.47336e-08,1.01774e-09,0,0,0,0.00779994
