t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
0,0.999984,0.0463747,1.64405e-05,7.62434e-07,2.70288e-10,1.25347e-11,7.90023e-15,3.66377e-16
0,0.998013,0.509116,0.00198275,0.00101146,3.92996e-06,2.00479e-06,1.39374e-08,7.10991e-09
0,0.992785,0.966856,0.00716338,0.0069763,5.1246e-05,4.99076e-05,6.67278e-07,6.49851e-07
0,0.984366,1.41516,0.0153909,0.0221265,0.000236123,0.000339458,6.78107e-06,9.7487e-06
0,0.972866,1.84979,0.0264054,0.0502068,0.000692832,0.00131734,3.53944e-05,6.72983e-05
0,0.95843,2.26681,0.0398708,0.0942996,0.0015718,0.0037175,0.000126974,0.000300309
0,0.941235,2.66263,0.0553957,0.156707,0.00301154,0.00851924,0.000357502,0.00101132
0,0.921484,3.03408,0.0725565,0.238899,0.00511057,0.0168271,0.000848765,0.00279464
0,0.899401,3.37844,0.0909218,0.341532,0.00790341,0.0296878,0.0017742,0.00666445
0,0.875221,3.69347,0.110076,0.464526,0.0113444,0.0478737,0.00335808,0.0141712
0,0.849191,3.9774,0.129641,0.607205,0.0153018,0.0716696,0.00586678,0.0274785
0,0.821554,4.22891,0.149291,0.768466,0.0195638,0.100704,0.00959165,0.0493726
0,0.792551,4.44712,0.168768,0.94698,0.023856,0.13386,0.0148246,0.0831831
0,0.762414,4.63153,0.187889,1.14139,0.0278681,0.169294,0.0218285,0.132604
0,0.731361,4.78199,0.206547,1.3505,0.0312872,0.20457,0.0308049,0.201417
0,0.699592,4.89863,0.224711,1.57345,0.0338334,0.236906,0.0418632,0.293132
0,0.667292,4.98184,0.242418,1.80984,0.0352936,0.263493,0.0549957,0.410585
0,0.634626,5.03219,0.259767,2.05979,0.0355475,0.281869,0.0700595,0.555528
0,0.60174,5.05039,0.276905,2.32405,0.0345849,0.29027,0.086771,0.728267
0,0.568763,5.03728,0.294014,2.60396,0.0325098,0.287925,0.104713,0.927395
0,0.535811,4.99382,0.311305,2.9014,0.0295309,0.275231,0.123353,1.14967
0,0.502985,4.92104,0.328997,3.2188,0.0259406,0.253794,0.142078,1.39004
0,0.470379,4.82006,0.347309,3.55894,0.0220834,0.226293,0.160229,1.64189
0,0.438079,4.69213,0.366449,3.92492,0.0183182,0.196201,0.177153,1.89743
0,0.406173,4.53864,0.386601,4.31995,0.0149791,0.167379,0.192247,2.1482
0,0.374745,4.36114,0.407916,4.74717,0.0123389,0.143595,0.205,2.38571
0,0.343889,4.16142,0.430501,5.20951,0.0105801,0.12803,0.21503,2.60209
0,0.313702,3.9415,0.454409,5.70939,0.0097774,0.122848,0.222112,2.79071
0,0.284295,3.70374,0.479633,6.24857,0.00989224,0.128874,0.226181,2.94664
0,0.255785,3.45084,0.506096,6.82782,0.0107814,0.145453,0.227338,3.06705
0,0.228305,3.18589,0.533646,7.44676,0.0122175,0.170489,0.225831,3.15136
0,0.201999,2.91237,0.562054,8.10357,0.0139196,0.200689,0.222028,3.20115
0,0.177018,2.63421,0.591011,8.79486,0.0155881,0.231967,0.216383,3.22
0,0.153525,2.35573,0.620134,9.5155,0.0169427,0.259973,0.209398,3.21306
0,0.131688,2.08165,0.648973,10.2586,0.0177546,0.280655,0.201584,3.18654
0,0.111675,1.81702,0.677024,11.0156,0.0178729,0.290804,0.193428,3.14719
0,0.0936543,1.56719,0.703744,11.7763,0.0172396,0.288483,0.185363,3.10181
0,0.0777865,1.33768,0.728571,12.5291,0.015892,0.273291,0.177751,3.05675
0,0.0642213,1.13414,0.75095,13.2617,0.0139535,0.246417,0.170875,3.01763
0,0.0530927,0.962193,0.770356,13.9611,0.0116137,0.210474,0.164938,2.98915
0,0.0445147,0.827344,0.786315,14.6143,0.00910042,0.169139,0.16007,2.97505
0,0.0385778,0.734861,0.79843,15.2091,0.00664797,0.126636,0.156344,2.97816
0,0.0353462,0.689663,0.806403,15.7343,0.0044664,0.0871469,0.153785,3.0006
0,0.034855,0.696214,0.810039,16.1802,0.00271499,0.0542307,0.152391,3.04393
0,0.0371103,0.758436,0.809267,16.5393,0.00148418,0.0303327,0.152138,3.1093
0,0.0420881,0.879646,0.804132,16.8065,0.000787805,0.0164652,0.152992,3.19754
0,0.049736,1.0625,0.794796,16.9791,0.000566739,0.0121071,0.154901,3.30912
