t,T+R,N_0,N_1,N_2,N_3
0,0.999996,3.29715e-26,5.31284e-31,5.47624e-36,3.62873e-33
1,0.999566,3.2782e-26,6.1124e-29,8.42598e-32,4.42724e-31
2,0.998418,3.25175e-26,2.13782e-28,1.26062e-30,1.63926e-30
3,0.996548,3.28711e-26,4.52207e-28,5.86222e-30,3.82534e-30
4,0.993949,3.23028e-26,7.86776e-28,1.70922e-29,7.84953e-30
5,0.990613,3.19318e-26,1.20982e-27,3.82254e-29,1.53815e-29
6,0.986528,3.04415e-26,1.76538e-27,7.31529e-29,2.9118e-29
7,0.981681,3.15117e-26,2.26909e-27,1.18684e-28,5.32251e-29
8,0.976055,3.05578e-26,2.98019e-27,1.78306e-28,9.25886e-29
9,0.969638,2.97788e-26,3.71104e-27,2.52777e-28,1.55968e-28
10,0.962418,2.95243e-26,4.52565e-27,3.47429e-28,2.43974e-28
11,0.954392,2.85831e-26,5.31644e-27,4.49008e-28,3.7464e-28
12,0.945565,2.87339e-26,5.90327e-27,5.72298e-28,5.29267e-28
13,0.935959,2.7895e-26,6.47033e-27,6.87844e-28,7.23537e-28
14,0.925611,2.644e-26,6.92538e-27,7.48729e-28,9.70523e-28
15,0.914581,2.5539e-26,7.71895e-27,8.14076e-28,1.22689e-27
16,0.902952,2.46972e-26,7.89021e-27,8.80075e-28,1.5463e-27
17,0.89083,2.26974e-26,8.3188e-27,9.63366e-28,1.88093e-27
18,0.878344,2.26246e-26,8.42366e-27,9.04082e-28,2.34843e-27
19,0.865644,2.10497e-26,9.92109e-27,9.87427e-28,2.83741e-27
20,0.852894,1.80238e-26,1.09431e-26,8.93931e-28,3.40142e-27
21,0.840269,1.7445e-26,1.13414e-26,8.78097e-28,4.03143e-27
22,0.827949,1.63053e-26,1.19955e-26,7.68768e-28,4.53799e-27
23,0.816105,1.39645e-26,1.26784e-26,7.07718e-28,5.47817e-27
24,0.8049,1.2634e-26,1.29048e-26,6.0551e-28,6.11449e-27
25,0.794474,1.10084e-26,1.4201e-26,5.62669e-28,7.07383e-27
26,0.784945,9.78927e-27,1.40635e-26,4.74945e-28,7.53718e-27
27,0.776399,9.64307e-27,1.35632e-26,3.88312e-28,7.81583e-27
28,0.768892,8.961e-27,1.4272e-26,3.1054e-28,8.19501e-27
29,0.762444,7.9594e-27,1.55756e-26,2.20792e-28,8.41604e-27
30,0.757048,6.63557e-27,1.64144e-26,2.22458e-28,8.54217e-27
31,0.752665,6.38585e-27,1.71131e-26,2.36228e-28,8.73391e-27
32,0.749236,5.15297e-27,1.71249e-26,2.43914e-28,8.24193e-27
33,0.74668,4.40347e-27,1.80047e-26,2.69449e-28,7.82833e-27
34,0.744908,4.23325e-27,1.96508e-26,3.85021e-28,7.75462e-27
35,0.743823,3.55883e-27,2.11279e-26,4.77902e-28,7.4572e-27
36,0.743328,2.65232e-27,2.0684e-26,5.68257e-28,6.84372e-27
37,0.743332,2.54761e-27,2.14983e-26,6.08902e-28,5.91974e-27
38,0.743748,2.10414e-27,2.14965e-26,5.70181e-28,5.38233e-27
39,0.744505,1.55766e-27,2.27346e-26,6.29809e-28,5.1798e-27
40,0.745542,1.31112e-27,2.3294e-26,6.06587e-28,4.7241e-27
41,0.746811,1.32242e-27,2.4258e-26,5.45009e-28,4.50207e-27
42,0.748278,1.14054e-27,2.46976e-26,3.74043e-28,4.15612e-27
43,0.749924,1.06914e-27,2.40547e-26,4.09238e-28,4.25692e-27
44,0.75174,1.14544e-27,2.78074e-26,2.66834e-28,4.15688e-27
45,0.753731,1.45439e-27,2.53973e-26,2.01949e-28,4.64571e-27
46,0.755915,1.77167e-27,2.58928e-26,1.37917e-28,4.25058e-27
47,0.75832,2.35801e-27,2.54556e-26,1.05224e-28,4.23778e-27
48,0.760985,3.06332e-27,2.56585e-26,9.02663e-29,4.68682e-27
49,0.763961,3.10794e-27,2.27513e-26,1.86832e-29,5.06941e-27
50,0.767308,3.72106e-27,2.22615e-26,9.8293e-29,5.40908e-27
51,0.771094,4.47713e-27,2.28112e-26,7.12277e-29,5.69408e-27
52,0.775392,5.4698e-27,2.17281e-26,1.04487e-28,5.80689e-27
53,0.780279,6.4474e-27,1.93346e-26,2.49427e-29,6.42979e-27
54,0.78583,6.28594e-27,1.88739e-26,4.61917e-29,6.50395e-27
55,0.792114,7.68584e-27,1.76567e-26,2.86061e-29,6.64246e-27
56,0.79919,9.9001e-27,1.7246e-26,3.48437e-29,6.81027e-27
57,0.807103,1.04394e-26,1.77948e-26,1.86343e-29,7.08771e-27
58,0.815876,1.12066e-26,1.78265e-26,3.29044e-29,7.10079e-27
59,0.825512,1.19013e-26,1.65423e-26,7.79601e-29,6.80064e-27
60,0.835987,1.46763e-26,1.6608e-26,1.38784e-28,7.11139e-27
61,0.847251,1.50453e-26,1.63314e-26,2.39105e-28,7.124e-27
62,0.85923,1.6431e-26,1.65701e-26,3.11974e-28,6.67729e-27
63,0.871828,1.50839e-26,1.48889e-26,4.89197e-28,5.56167e-27
64,0.88493,1.64793e-26,1.51746e-26,7.33189e-28,5.18581e-27
65,0.898407,1.74525e-26,1.35846e-26,9.37758e-28,4.97883e-27
66,0.912124,1.82629e-26,1.257e-26,1.10566e-27,3.96466e-27
67,0.925945,1.82605e-26,1.06986e-26,1.04413e-27,3.82787e-27
68,0.939738,1.867e-26,1.03206e-26,1.22852e-27,2.72516e-27
69,0.953381,1.97129e-26,8.55576e-27,1.4752e-27,2.56024e-27
70,0.966766,2.32139e-26,8.40946e-27,1.4623e-27,2.24069e-27
71,0.979801,2.20868e-26,6.02041e-27,1.33654e-27,1.94174e-27
72,0.99241,2.12834e-26,5.85021e-27,1.07123e-27,1.55359e-27
73,1.00453,2.41427e-26,4.81604e-27,1.17457e-27,1.33719e-27
74,1.01613,2.34863e-26,4.22109e-27,9.60848e-28,1.03433e-27
75,1.02715,2.52086e-26,4.36142e-27,7.20313e-28,1.07025e-27
76,1.03759,2.38301e-26,3.36611e-27,6.03636e-28,8.06565e-28
77,1.04741,2.35393e-26,3.18607e-27,5.38166e-28,6.25824e-28
78,1.05659,2.58963e-26,2.52417e-27,3.89274e-28,5.16267e-28
79,1.06511,2.99269e-26,1.77913e-27,4.50425e-28,3.70801e-28
80,1.07295,2.61558e-26,1.71643e-27,2.89967e-28,2.90107e-28
81,1.08008,2.76591e-26,1.69255e-27,3.26175e-28,2.13822e-28
82,1.08646,2.95798e-26,1.05572e-27,3.72584e-28,1.10952e-28
83,1.09207,2.93243e-26,5.47907e-28,4.15784e-28,7.60416e-29
84,1.09688,2.96759e-26,3.43156e-28,4.44194e-28,7.07726e-29
85,1.10087,3.34025e-26,1.12073e-28,6.47533e-28,9.46613e-29
86,1.10402,3.31848e-26,1.2708e-28,7.62027e-28,1.10631e-28
87,1.10632,2.90367e-26,1.65827e-29,5.03909e-28,1.27125e-28
88,1.10778,3.00341e-26,4.73177e-29,7.29962e-28,1.08073e-28
89,1.10841,2.78597e-26,2.01333e-28,6.66026e-28,2.64638e-28
90,1.10823,3.15076e-26,6.4181e-28,6.84415e-28,3.66154e-28
91,1.10726,3.09221e-26,8.80493e-28,5.82814e-28,3.95302e-28
