t,T+R,N_0,N_1,N_2,N_3
0,1,6.81981e-28,1.17596e-32,1.80562e-36,3.30028e-34
1,0.999994,6.82932e-28,1.50298e-30,1.61389e-33,3.96298e-32
2,0.999979,6.98361e-28,5.62562e-30,3.18975e-32,1.41157e-31
3,0.999954,7.0857e-28,1.23078e-29,1.63264e-31,3.04471e-31
4,0.999917,7.08492e-28,2.16219e-29,5.17509e-31,5.46612e-31
5,0.999867,6.95969e-28,3.35894e-29,1.22663e-30,9.30699e-31
6,0.999801,6.40895e-28,4.53853e-29,2.23216e-30,1.54562e-30
7,0.999715,6.68151e-28,6.17844e-29,3.92037e-30,2.57631e-30
8,0.999607,6.56197e-28,7.83296e-29,5.88091e-30,4.20245e-30
9,0.999472,6.19071e-28,9.37444e-29,7.62858e-30,6.76944e-30
10,0.999305,6.63189e-28,1.05878e-28,9.61851e-30,1.01669e-29
11,0.999103,6.40101e-28,1.18707e-28,1.15782e-29,1.46497e-29
12,0.998861,5.7352e-28,1.45823e-28,1.33895e-29,2.06989e-29
13,0.998578,5.69326e-28,1.6112e-28,1.3476e-29,2.73213e-29
14,0.998252,4.95242e-28,1.80031e-28,1.35017e-29,3.50033e-29
15,0.997885,4.99758e-28,1.96973e-28,1.47839e-29,4.31141e-29
16,0.997478,5.70412e-28,2.04078e-28,1.47431e-29,5.10045e-29
17,0.997039,4.79258e-28,2.2695e-28,1.49393e-29,5.81966e-29
18,0.996575,4.52925e-28,2.61945e-28,1.43259e-29,6.5291e-29
19,0.996096,4.27383e-28,2.90403e-28,1.40649e-29,7.93253e-29
20,0.995615,4.10606e-28,3.20027e-28,1.34599e-29,8.66183e-29
21,0.995143,3.94911e-28,3.4821e-28,1.34639e-29,9.2761e-29
22,0.994696,3.75631e-28,3.80509e-28,1.32685e-29,9.88128e-29
23,0.994286,3.19163e-28,4.04758e-28,1.57977e-29,1.12819e-28
24,0.993924,3.00376e-28,4.0919e-28,1.55851e-29,1.25466e-28
25,0.993622,2.68172e-28,4.52204e-28,1.68071e-29,1.26184e-28
26,0.993387,2.90915e-28,4.85912e-28,1.54182e-29,1.41588e-28
27,0.993224,2.50632e-28,5.22612e-28,1.56793e-29,1.53494e-28
28,0.993134,1.73357e-28,5.62183e-28,1.76086e-29,1.60777e-28
29,0.993117,1.62057e-28,5.84473e-28,1.67371e-29,1.58388e-28
30,0.993168,1.55548e-28,6.01254e-28,1.73606e-29,1.7342e-28
31,0.99328,1.46444e-28,6.07779e-28,1.37447e-29,1.62531e-28
32,0.993446,1.19834e-28,6.66931e-28,1.65363e-29,1.72424e-28
33,0.993656,9.61667e-29,6.44643e-28,1.34325e-29,1.73914e-28
34,0.9939,6.85876e-29,6.54379e-28,1.29761e-29,1.77662e-28
35,0.994167,9.38757e-29,6.95362e-28,1.00198e-29,1.70663e-28
36,0.994447,7.81986e-29,6.75263e-28,9.07823e-30,1.53735e-28
37,0.994733,8.71021e-29,7.98185e-28,8.11596e-30,1.69002e-28
38,0.995015,7.43994e-29,7.50645e-28,7.77141e-30,1.61741e-28
39,0.995288,7.75501e-29,7.91714e-28,3.54114e-30,1.47721e-28
40,0.995547,8.40904e-29,7.91421e-28,6.03257e-30,1.52836e-28
41,0.995788,9.53935e-29,8.19306e-28,6.8575e-30,1.38996e-28
42,0.996009,1.1121e-28,8.94638e-28,5.87389e-30,1.485e-28
43,0.996208,1.22415e-28,8.36924e-28,2.00769e-30,1.30407e-28
44,0.996386,1.3827e-28,8.80427e-28,2.61357e-30,1.32717e-28
45,0.996543,1.67739e-28,8.94681e-28,4.80743e-30,1.23384e-28
46,0.99668,1.86711e-28,9.15745e-28,4.23593e-30,1.22678e-28
47,0.9968,2.04469e-28,9.05008e-28,4.11345e-30,1.18762e-28
48,0.996905,2.44819e-28,9.29921e-28,1.49551e-30,1.08014e-28
49,0.997,2.76235e-28,9.15964e-28,-1.61105e-31,1.16715e-28
50,0.997089,3.39284e-28,9.00993e-28,2.68115e-30,1.13017e-28
51,0.997178,3.44041e-28,8.64889e-28,9.65938e-31,1.14135e-28
52,0.997273,4.11434e-28,7.9882e-28,1.03398e-30,1.35408e-28
53,0.997381,4.50903e-28,8.33973e-28,6.81887e-31,1.16842e-28
54,0.997507,5.17249e-28,9.10964e-28,2.4209e-30,1.0269e-28
55,0.997658,5.5961e-28,8.42389e-28,3.04555e-30,1.15058e-28
56,0.99784,5.85924e-28,7.19586e-28,1.99613e-30,1.27341e-28
57,0.998057,6.6952e-28,7.83961e-28,3.69303e-30,1.05263e-28
58,0.998312,6.97817e-28,8.01314e-28,6.86847e-30,9.76171e-29
59,0.998605,7.88391e-28,7.32088e-28,1.22853e-29,9.34664e-29
60,0.998937,8.02349e-28,7.181e-28,7.89339e-30,1.08011e-28
61,0.999303,9.21155e-28,5.59605e-28,1.07221e-29,9.6455e-29
62,0.999699,9.35069e-28,6.04352e-28,1.57782e-29,7.97233e-29
63,1.00012,1.01398e-27,5.88501e-28,1.76484e-29,6.5941e-29
64,1.00056,1.13091e-27,5.77101e-28,2.2903e-29,7.44888e-29
65,1.001,1.15624e-27,4.60149e-28,1.70724e-29,6.89246e-29
66,1.00145,1.01849e-27,3.69205e-28,2.50841e-29,6.91663e-29
67,1.00188,1.27289e-27,4.20995e-28,2.58445e-29,6.21567e-29
68,1.0023,1.25005e-27,3.29792e-28,2.45562e-29,3.7334e-29
69,1.0027,1.29271e-27,2.87534e-28,2.18259e-29,6.02833e-29
