E,T,R0,R1,R2,R3,R4,R5,R6,R7,R,N_R0,N_R1,N_R2,N_R3,N_R4,N_R5,N_R6,N_R7,E/V0
0.000464006,0.825603,0.587969,0,0,0,0,0,0,0,0.587969,0.415946,0,0,0,0,0,0,0,4.64006e-06
0.00128891,0.897298,0.455096,0,0,0,0,0,0,0,0.455096,0.336511,0,0,0,0,0,0,0,1.28891e-05
0.00252625,0.974866,0.352123,0,0,0,0,0,0,0,0.352123,0.265355,0,0,0,0,0,0,0,2.52625e-05
0.00417605,1.05876,0.272351,0,0,0,0,0,0,0,0.272351,0.204605,0,0,0,0,0,0,0,4.17605e-05
0.0062383,1.14945,0.210575,0,0,0,0,0,0,0,0.210575,0.154831,0,0,0,0,0,0,0,6.2383e-05
0.008713,1.24746,0.162752,0,0,0,0,0,0,0,0.162752,0.115409,0,0,0,0,0,0,0,8.713e-05
0.0116001,1.35335,0.125745,0,0,0,0,0,0,0,0.125745,0.0850151,0,0,0,0,0,0,0,0.000116001
0.0148997,1.46768,0.0971175,0,0,0,0,0,0,0,0.0971175,0.0620638,0,0,0,0,0,0,0,0.000148997
0.0186118,1.5911,0.0749803,0,0,0,0,0,0,0,0.0749803,0.0450039,0,0,0,0,0,0,0,0.000186118
0.0227363,1.72428,0.0578681,0,0,0,0,0,0,0,0.0578681,0.032471,0,0,0,0,0,0,0,0.000227363
0.0272732,1.86793,0.0446452,0,0,0,0,0,0,0,0.0446452,0.023343,0,0,0,0,0,0,0,0.000272732
0.0322226,2.02281,0.0344313,0,0,0,0,0,0,0,0.0344313,0.0167366,0,0,0,0,0,0,0,0.000322226
0.0375845,2.18975,0.0265445,0,0,0,0,0,0,0,0.0265445,0.011977,0,0,0,0,0,0,0,0.000375845
0.0433588,2.3696,0.0204569,0,0,0,0,0,0,0,0.0204569,0.00855916,0,0,0,0,0,0,0,0.000433588
0.0495455,2.5633,0.0157597,0,0,0,0,0,0,0,0.0157597,0.00611062,0,0,0,0,0,0,0,0.000495455
0.0561447,2.77183,0.0121366,0,0,0,0,0,0,0,0.0121366,0.00435946,0,0,0,0,0,0,0,0.000561447
0.0631564,2.99625,0.00934312,0,0,0,0,0,0,0,0.00934312,0.00310858,0,0,0,0,0,0,0,0.000631564
0.0705805,3.23766,0.00718999,0,0,0,0,0,0,0,0.00718999,0.00221582,0,0,0,0,0,0,0,0.000705805
0.078417,3.49726,0.00553106,0,0,0,0,0,0,0,0.00553106,0.00157904,0,0,0,0,0,0,0,0.00078417
