t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,1,1.08073e-27,2.18501e-32,6.88852e-35,2.87309e-34,3.20571e-37,4.53693e-35,3.17374e-37,4.73059e-36
1,1.00009,1.07942e-27,2.70027e-30,2.12214e-32,3.287e-32,7.13509e-35,4.01369e-33,2.4722e-34,1.13688e-33
2,1.00034,1.03869e-27,9.99198e-30,1.48476e-31,1.12989e-31,8.50524e-34,1.50535e-32,5.82044e-35,4.1994e-33
3,1.00075,1.03609e-27,2.27112e-29,5.35383e-31,2.35443e-31,2.5988e-33,3.63633e-32,4.61051e-34,9.11454e-33
4,1.00132,1.01801e-27,3.92327e-29,1.35331e-30,4.09548e-31,6.68405e-33,6.84353e-32,2.06447e-34,2.01732e-32
5,1.00205,9.95333e-28,5.87763e-29,2.88556e-30,6.62402e-31,1.80371e-32,1.17951e-31,5.22924e-34,3.01822e-32
6,1.00295,9.37983e-28,8.47085e-29,5.48715e-30,1.03264e-30,4.76297e-32,1.77391e-31,3.84123e-34,5.10743e-32
7,1.00403,8.76318e-28,1.1639e-28,9.15303e-30,1.59014e-30,9.99722e-32,2.701e-31,9.43296e-34,6.72169e-32
8,1.00529,8.88325e-28,1.4547e-28,1.44645e-29,2.4685e-30,1.77507e-31,3.86783e-31,1.37017e-33,1.05783e-31
9,1.00675,8.45584e-28,1.71898e-28,2.15252e-29,3.83611e-30,2.49577e-31,6.24356e-31,2.5025e-33,1.51096e-31
10,1.00842,7.55048e-28,1.95951e-28,3.10235e-29,5.86502e-30,3.50431e-31,9.80277e-31,4.07914e-33,2.42737e-31
11,1.01031,6.99088e-28,2.39082e-28,4.17501e-29,8.83551e-30,4.76565e-31,1.52271e-30,4.2699e-33,3.68043e-31
12,1.01243,6.59027e-28,2.65386e-28,5.27982e-29,1.31761e-29,6.39423e-31,2.22209e-30,7.58703e-33,5.74818e-31
13,1.01478,5.90452e-28,2.91528e-28,6.5848e-29,1.92567e-29,8.4307e-31,3.44043e-30,8.93233e-33,8.64704e-31
14,1.01738,5.82436e-28,3.17037e-28,8.16616e-29,2.74341e-29,1.03937e-30,4.83634e-30,1.31209e-32,1.25458e-30
15,1.02021,5.32269e-28,3.24489e-28,9.62213e-29,3.82023e-29,1.29076e-30,7.49286e-30,1.53767e-32,1.70704e-30
16,1.02327,4.85382e-28,3.35752e-28,1.05019e-28,5.29854e-29,1.64978e-30,1.02627e-29,1.69289e-32,2.38142e-30
17,1.02656,4.72912e-28,3.39943e-28,1.16551e-28,7.11549e-29,1.82188e-30,1.37871e-29,1.96892e-32,3.23355e-30
18,1.03005,4.57473e-28,3.33774e-28,1.22876e-28,9.39859e-29,2.05249e-30,1.78955e-29,2.56263e-32,4.22886e-30
19,1.03371,4.1204e-28,3.17402e-28,1.26567e-28,1.16249e-28,2.27049e-30,2.38388e-29,2.02337e-32,5.48228e-30
20,1.03748,3.80416e-28,3.25998e-28,1.24375e-28,1.46978e-28,2.46485e-30,3.23266e-29,1.88898e-32,6.91176e-30
21,1.04132,3.57733e-28,3.05152e-28,1.20859e-28,1.78056e-28,2.66034e-30,3.98889e-29,3.29666e-32,8.09317e-30
22,1.04517,3.41015e-28,2.94061e-28,1.0717e-28,2.14614e-28,3.07593e-30,4.92844e-29,2.18665e-32,1.08802e-29
23,1.04896,3.25957e-28,2.6037e-28,9.79484e-29,2.44185e-28,2.98426e-30,6.22858e-29,3.16885e-32,1.25424e-29
24,1.05265,2.99831e-28,2.61543e-28,9.11292e-29,2.78807e-28,2.87223e-30,7.48655e-29,2.50465e-32,1.43849e-29
25,1.05616,2.4255e-28,2.62955e-28,7.45576e-29,3.14522e-28,2.56827e-30,8.51804e-29,3.81175e-32,1.71073e-29
26,1.05946,2.02794e-28,2.38911e-28,6.67628e-29,3.42696e-28,2.16746e-30,9.468e-29,3.10437e-32,1.86003e-29
27,1.06248,1.95607e-28,2.69834e-28,5.63838e-29,3.77635e-28,2.11532e-30,9.9591e-29,2.83263e-32,2.0708e-29
28,1.06518,1.80894e-28,2.47036e-28,5.70635e-29,3.95165e-28,1.74451e-30,1.18097e-28,3.39216e-32,2.11017e-29
29,1.06753,1.5473e-28,2.5831e-28,6.35213e-29,4.18477e-28,2.2097e-30,1.21625e-28,2.37882e-32,2.35773e-29
30,1.06948,1.25444e-28,3.10261e-28,6.27479e-29,4.26286e-28,2.92787e-30,1.24215e-28,8.01659e-32,2.55963e-29
31,1.07102,1.05722e-28,3.52176e-28,8.40142e-29,4.24144e-28,2.37792e-30,1.27137e-28,3.62405e-32,2.58107e-29
32,1.07214,9.78927e-29,4.00784e-28,8.85834e-29,4.23392e-28,2.25745e-30,1.28132e-28,3.58411e-32,2.66768e-29
33,1.07287,9.13839e-29,4.55944e-28,1.08739e-28,4.14832e-28,2.43258e-30,1.31356e-28,8.87979e-32,2.62175e-29
34,1.07322,6.20611e-29,4.99043e-28,1.22348e-28,3.87383e-28,3.44679e-30,1.2912e-28,4.43891e-32,2.69588e-29
35,1.07322,4.59245e-29,6.56244e-28,1.30127e-28,3.64229e-28,3.58232e-30,1.25715e-28,6.51715e-32,2.41501e-29
36,1.07291,4.33635e-29,6.68639e-28,1.40666e-28,3.47328e-28,3.40035e-30,1.18333e-28,5.36106e-32,2.42529e-29
37,1.07233,2.93631e-29,8.51851e-28,1.49145e-28,3.18584e-28,5.20189e-30,1.0211e-28,1.04601e-31,2.41388e-29
38,1.07152,1.97255e-29,7.60673e-28,1.32187e-28,2.82936e-28,4.92278e-30,1.05652e-28,4.18316e-32,2.25013e-29
39,1.07051,1.80364e-29,9.39812e-28,1.45109e-28,2.36435e-28,3.76438e-30,9.94775e-29,1.16768e-31,2.04436e-29
40,1.06933,1.19513e-29,1.06289e-27,1.2125e-28,2.14303e-28,5.4881e-30,9.43291e-29,4.61381e-32,2.19927e-29
41,1.06803,9.85773e-30,1.27217e-27,1.21058e-28,1.88415e-28,3.81619e-30,8.14859e-29,8.19561e-32,2.07079e-29
42,1.06664,1.21964e-29,1.1902e-27,9.43171e-29,1.56215e-28,5.13986e-30,8.12149e-29,6.04687e-32,2.03815e-29
43,1.06517,1.98214e-29,1.22751e-27,8.58027e-29,1.25396e-28,4.95876e-30,7.91107e-29,6.37276e-32,1.99813e-29
44,1.06366,3.5054e-29,1.26638e-27,7.96992e-29,9.85965e-29,4.4932e-30,6.88193e-29,4.53594e-32,2.07342e-29
45,1.06212,4.64894e-29,1.51034e-27,6.10792e-29,7.72035e-29,4.32596e-30,6.54002e-29,7.14649e-32,2.30668e-29
46,1.06056,5.84067e-29,1.45131e-27,5.93123e-29,4.80598e-29,2.49281e-30,6.0256e-29,4.63393e-32,2.11329e-29
47,1.05899,7.38955e-29,1.49808e-27,5.28749e-29,3.85111e-29,2.51977e-30,6.05178e-29,8.5927e-32,2.3548e-29
48,1.05742,1.03958e-28,1.37511e-27,6.48757e-29,2.40479e-29,1.59459e-30,5.75852e-29,6.69813e-32,2.30234e-29
49,1.05585,1.32239e-28,1.48486e-27,8.64324e-29,9.24331e-30,1.34888e-30,5.56835e-29,3.41195e-32,2.32762e-29
50,1.0543,1.42172e-28,1.41632e-27,9.70768e-29,5.2527e-30,1.63039e-30,4.47604e-29,3.31198e-32,2.18065e-29
51,1.05275,1.75554e-28,1.50699e-27,1.20717e-28,2.17946e-30,2.16183e-30,3.88329e-29,9.09084e-32,2.37158e-29
52,1.0512,2.0414e-28,1.18556e-27,1.4163e-28,6.28561e-30,3.08868e-30,3.88247e-29,6.82551e-33,2.17243e-29
53,1.04964,2.33495e-28,1.22677e-27,1.74199e-28,1.29919e-29,3.66038e-30,2.8593e-29,1.7229e-32,1.97081e-29
54,1.04806,2.76937e-28,1.23517e-27,2.0809e-28,2.54608e-29,2.90608e-30,2.04664e-29,2.28104e-32,1.63121e-29
55,1.04644,2.75341e-28,8.989e-28,2.02775e-28,6.5815e-29,2.86253e-30,1.00917e-29,2.09422e-32,1.86509e-29
56,1.04479,2.97309e-28,9.1455e-28,2.25217e-28,8.17085e-29,2.63479e-30,6.13171e-30,2.73269e-32,1.78803e-29
57,1.04307,3.39914e-28,7.23928e-28,2.39891e-28,1.20183e-28,3.15526e-30,3.88208e-30,1.95847e-32,1.44243e-29
58,1.04129,3.87216e-28,6.34417e-28,2.09929e-28,1.61778e-28,2.96161e-30,3.5508e-30,3.81119e-32,1.25153e-29
59,1.03942,3.88461e-28,4.61699e-28,2.22049e-28,2.06094e-28,2.43652e-30,2.34776e-30,5.98395e-32,1.02747e-29
60,1.03744,3.78038e-28,4.38934e-28,2.07198e-28,2.71585e-28,2.79478e-30,4.57213e-30,5.64712e-33,9.54721e-30
61,1.03533,3.61778e-28,3.67222e-28,1.82393e-28,3.21998e-28,2.87314e-30,1.46591e-29,4.68866e-33,9.37871e-30
62,1.03307,4.41747e-28,2.43118e-28,1.72607e-28,3.49545e-28,1.35395e-30,1.15895e-29,3.71926e-32,7.47238e-30
63,1.03065,3.87014e-28,2.09924e-28,1.77138e-28,3.93186e-28,1.44806e-30,2.82853e-29,9.67924e-33,7.35141e-30
64,1.02804,4.25423e-28,1.54973e-28,1.77645e-28,4.31593e-28,1.57917e-30,2.69823e-29,1.09767e-32,5.30063e-30
65,1.02524,4.12264e-28,1.45841e-28,2.172e-28,4.50244e-28,1.88953e-30,2.9333e-29,2.45775e-32,6.94978e-30
66,1.02226,4.05617e-28,1.15774e-28,2.14656e-28,4.70646e-28,1.42969e-30,5.42418e-29,1.09778e-32,5.35268e-30
67,1.01912,4.48428e-28,8.74897e-29,2.46718e-28,4.45305e-28,2.32541e-30,4.03299e-29,3.86972e-33,5.1446e-30
68,1.01583,4.59231e-28,1.00589e-28,3.15238e-28,4.26294e-28,2.27517e-30,5.16584e-29,-3.91892e-34,4.73944e-30
69,1.01242,4.56616e-28,1.96996e-28,3.90678e-28,4.11195e-28,3.05235e-30,5.51974e-29,-3.15945e-33,4.08842e-30
70,1.00892,4.38807e-28,1.95535e-28,4.42641e-28,3.70612e-28,3.70696e-30,6.03552e-29,8.56731e-34,4.40834e-30
71,1.00536,4.93543e-28,2.11443e-28,4.58151e-28,3.49395e-28,2.3426e-30,5.73255e-29,1.78759e-32,3.14259e-30
72,1.00177,5.42878e-28,2.25619e-28,5.31677e-28,3.0254e-28,3.14612e-30,5.98095e-29,1.61888e-33,3.77838e-30
73,0.998188,5.35975e-28,2.62079e-28,6.0142e-28,2.68164e-28,4.66929e-30,4.91188e-29,2.85217e-32,2.42799e-30
74,0.994651,5.44813e-28,3.03196e-28,6.29022e-28,2.14024e-28,6.59133e-30,5.2505e-29,1.10262e-32,2.44205e-30
75,0.991197,5.06866e-28,3.26976e-28,6.29204e-28,1.85836e-28,8.19044e-30,4.82483e-29,1.64589e-32,1.90015e-30
76,0.987862,6.68593e-28,2.74455e-28,6.33632e-28,1.74601e-28,8.40917e-30,3.77754e-29,3.93957e-33,2.45012e-30
77,0.984678,6.46058e-28,3.06152e-28,6.0495e-28,1.52475e-28,7.26896e-30,4.48586e-29,2.58644e-32,9.52388e-31
78,0.981668,6.58022e-28,2.86416e-28,5.92607e-28,1.52575e-28,7.70145e-30,4.5294e-29,3.51565e-32,1.11647e-30
79,0.978844,6.49852e-28,3.50026e-28,5.38036e-28,1.48625e-28,6.89744e-30,3.62729e-29,1.14746e-32,1.12934e-30
80,0.976212,7.37013e-28,2.74644e-28,5.02883e-28,1.67818e-28,7.80844e-30,3.6276e-29,4.01891e-32,1.20847e-30
81,0.973769,7.69389e-28,2.43689e-28,4.48875e-28,1.68458e-28,5.76745e-30,3.3186e-29,5.11302e-32,1.11587e-30
82,0.971511,8.1896e-28,2.46889e-28,3.9561e-28,1.89763e-28,6.05366e-30,4.43989e-29,8.22058e-33,2.13179e-30
