t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,1,6.84078e-28,1.3933e-32,2.49821e-35,2.89842e-34,4.98243e-37,2.9989e-35,6.43283e-37,2.63173e-36
1,0.999994,6.57806e-28,1.78423e-30,9.72258e-33,3.1848e-32,2.84517e-34,3.19741e-33,1.05538e-34,4.46056e-34
2,0.999979,6.81966e-28,6.73909e-30,7.31486e-32,1.04368e-31,2.55658e-33,1.23689e-32,5.64867e-35,2.66929e-33
3,0.999954,6.57619e-28,1.4745e-29,2.62639e-31,2.0965e-31,6.53922e-33,3.47055e-32,3.23163e-34,6.5517e-33
4,0.999917,6.63406e-28,2.54151e-29,6.92765e-31,3.59268e-31,9.05467e-33,7.30103e-32,3.11992e-34,1.76418e-32
5,0.999866,6.30975e-28,3.85811e-29,1.45734e-30,5.78355e-31,8.89688e-33,1.40193e-31,4.45044e-34,3.15175e-32
6,0.999799,5.95938e-28,5.39253e-29,2.69848e-30,9.30236e-31,1.18718e-32,2.27333e-31,5.47774e-34,5.83363e-32
7,0.99971,6.08073e-28,7.18086e-29,4.36209e-30,1.47411e-30,2.4958e-32,3.56378e-31,7.29733e-34,8.85131e-32
8,0.999594,6.04322e-28,8.90059e-29,6.40165e-30,2.31712e-30,5.06937e-32,5.36348e-31,1.16501e-33,1.41201e-31
9,0.999444,5.61829e-28,1.06432e-28,8.72581e-30,3.58301e-30,8.25452e-32,8.1907e-31,1.28006e-33,2.18579e-31
10,0.999251,5.64982e-28,1.23358e-28,1.19026e-29,5.14499e-30,1.16994e-31,1.2211e-30,2.04033e-33,3.49505e-31
11,0.999008,5.45021e-28,1.35905e-28,1.48804e-29,7.34373e-30,1.47065e-31,1.85254e-30,2.06212e-33,5.3752e-31
12,0.998707,5.07788e-28,1.54917e-28,1.73713e-29,1.00341e-29,1.96984e-31,2.67638e-30,2.52289e-33,8.07641e-31
13,0.998341,4.92264e-28,1.70892e-28,1.97707e-29,1.38709e-29,2.39965e-31,3.84248e-30,2.0626e-33,1.16885e-30
14,0.997903,4.40703e-28,1.86223e-28,2.05795e-29,1.79426e-29,2.67349e-31,5.34352e-30,4.68559e-33,1.57521e-30
15,0.997386,4.50347e-28,1.97901e-28,2.38543e-29,2.25586e-29,2.55387e-31,7.08135e-30,2.26839e-33,2.09022e-30
16,0.996788,4.11151e-28,2.00689e-28,2.35132e-29,2.78244e-29,2.17781e-31,8.86833e-30,4.4128e-33,2.7273e-30
17,0.996105,3.99758e-28,2.24767e-28,2.41722e-29,3.28033e-29,1.89388e-31,1.08553e-29,2.87646e-33,3.40423e-30
18,0.995342,4.20404e-28,2.45519e-28,2.41451e-29,4.08227e-29,1.3344e-31,1.32549e-29,5.48238e-33,4.13169e-30
19,0.99451,3.3641e-28,2.62671e-28,2.16451e-29,4.85771e-29,1.38198e-31,1.486e-29,5.25784e-33,4.9653e-30
20,0.993626,3.37184e-28,2.9851e-28,2.39617e-29,5.16863e-29,1.91945e-31,1.71487e-29,7.60459e-33,5.79202e-30
21,0.99271,3.12539e-28,3.01758e-28,2.19863e-29,5.96779e-29,2.32555e-31,1.87233e-29,7.23368e-33,6.77841e-30
22,0.991786,2.98518e-28,3.12149e-28,2.07532e-29,6.83784e-29,3.90566e-31,2.18213e-29,1.92799e-33,7.83293e-30
23,0.990877,2.8634e-28,3.28909e-28,2.09433e-29,8.13412e-29,4.44303e-31,2.6078e-29,7.01979e-33,9.19395e-30
24,0.990003,2.47074e-28,3.61382e-28,1.69808e-29,8.14166e-29,4.81333e-31,2.94346e-29,1.38464e-33,1.06342e-29
25,0.989186,2.3625e-28,3.77536e-28,1.79597e-29,9.30391e-29,3.97302e-31,3.15869e-29,8.59763e-33,1.17886e-29
26,0.988441,2.03363e-28,3.74443e-28,1.6376e-29,9.35733e-29,2.96157e-31,3.54995e-29,7.40056e-34,1.29497e-29
27,0.987789,1.99997e-28,4.04612e-28,1.62098e-29,1.02009e-28,1.16211e-31,3.99333e-29,1.39602e-32,1.42358e-29
28,0.987246,1.7954e-28,4.33537e-28,1.60158e-29,1.15242e-28,6.46486e-32,4.08957e-29,2.10513e-32,1.37154e-29
29,0.986829,1.53705e-28,4.34156e-28,1.63233e-29,1.14913e-28,6.30375e-32,4.20199e-29,1.21553e-33,1.43913e-29
30,0.986551,1.35741e-28,4.54339e-28,1.14492e-29,1.11315e-28,8.35351e-32,4.41519e-29,1.38701e-32,1.35173e-29
31,0.986415,1.14588e-28,4.41156e-28,1.06331e-29,1.35107e-28,1.86181e-31,4.47725e-29,1.48242e-32,1.46358e-29
32,0.98642,1.00274e-28,4.7668e-28,9.6393e-30,1.35936e-28,2.18739e-31,4.47282e-29,7.18568e-33,1.36612e-29
33,0.986555,7.98929e-29,5.12437e-28,1.15453e-29,1.23688e-28,1.97551e-31,4.90444e-29,1.21429e-32,1.25196e-29
34,0.986805,7.45071e-29,4.64992e-28,9.53243e-30,1.34787e-28,2.75955e-31,4.56128e-29,5.23309e-33,1.31118e-29
35,0.987151,5.07292e-29,5.27547e-28,9.5789e-30,1.43927e-28,2.81641e-31,4.28873e-29,6.25776e-33,1.14051e-29
36,0.987576,5.5847e-29,5.44814e-28,9.8215e-30,1.45908e-28,5.37568e-31,4.11303e-29,1.93197e-32,1.01696e-29
37,0.988062,4.89054e-29,5.69841e-28,6.89309e-30,1.44559e-28,4.65082e-31,3.98861e-29,6.1965e-32,8.55699e-30
38,0.988592,4.48236e-29,5.54905e-28,6.00387e-30,1.45582e-28,9.11921e-31,3.65002e-29,1.58283e-32,8.86882e-30
39,0.989149,3.33024e-29,5.84737e-28,5.78204e-30,1.43297e-28,1.09472e-30,3.07501e-29,2.24758e-32,7.33966e-30
40,0.98972,5.21278e-29,6.19153e-28,2.54927e-30,1.3364e-28,8.30605e-31,2.93e-29,1.79853e-32,6.82629e-30
41,0.99029,4.5712e-29,6.57319e-28,3.39876e-30,1.48982e-28,5.25157e-31,2.42155e-29,1.71419e-32,7.5444e-30
42,0.990848,4.81739e-29,6.46273e-28,2.77856e-30,1.4289e-28,8.03201e-31,2.23735e-29,-5.18265e-34,6.16302e-30
43,0.991384,4.96615e-29,6.26539e-28,2.17655e-30,1.31361e-28,6.29845e-31,2.12909e-29,3.47884e-32,7.19298e-30
44,0.991893,6.5218e-29,6.28173e-28,3.10897e-30,1.29268e-28,6.87699e-31,1.60788e-29,8.51943e-33,6.62956e-30
45,0.992372,8.81756e-29,5.75221e-28,4.07899e-30,1.23653e-28,1.06288e-30,1.3733e-29,6.14877e-33,6.83588e-30
46,0.992817,1.00389e-28,6.18905e-28,1.99167e-30,1.21438e-28,7.39452e-31,1.25042e-29,-5.05676e-33,7.88086e-30
47,0.993227,9.28746e-29,4.89479e-28,8.99979e-30,1.11046e-28,9.63215e-31,1.06868e-29,-1.00374e-32,8.60076e-30
48,0.993599,9.95643e-29,5.52499e-28,7.98828e-30,1.16674e-28,1.15721e-30,9.41457e-30,-3.88852e-33,8.97219e-30
49,0.993934,1.45913e-28,5.31993e-28,1.11555e-29,1.056e-28,8.95622e-31,1.13931e-29,-1.76481e-33,8.71559e-30
50,0.99423,1.81773e-28,4.60474e-28,2.05643e-29,1.036e-28,6.08845e-31,1.09917e-29,-2.12475e-33,1.01976e-29
51,0.994491,1.8494e-28,4.44655e-28,1.98241e-29,8.46759e-29,6.83545e-31,1.22343e-29,-4.79244e-34,9.4628e-30
52,0.994721,2.09692e-28,4.62744e-28,2.17237e-29,9.6542e-29,8.10424e-31,1.4533e-29,4.46212e-33,1.02521e-29
53,0.994925,2.25332e-28,4.09285e-28,1.9331e-29,7.89974e-29,3.01857e-31,1.70662e-29,5.925e-33,1.06599e-29
