t,Norm_0,AvgX_0,Norm_1,AvgX_1
0,0.999984,0.0463747,1.64408e-05,7.62451e-07
1,0.998012,0.509116,0.00198801,0.00101414
2,0.992767,0.966839,0.00723266,0.00704377
3,0.984285,1.41504,0.0157154,0.022593
4,0.97262,1.84932,0.0273796,0.052059
5,0.957853,2.26544,0.0421473,0.0996837
6,0.94008,2.65936,0.0599201,0.169506
7,0.919421,3.02728,0.0805792,0.265315
8,0.896013,3.36572,0.103987,0.390608
9,0.870014,3.67149,0.129986,0.548549
10,0.841595,3.94182,0.158405,0.741929
11,0.810948,4.17431,0.189052,0.973137
12,0.778276,4.36701,0.221724,1.24412
13,0.743798,4.51843,0.256202,1.55638
14,0.707744,4.62757,0.292256,1.91091
15,0.670355,4.69391,0.329645,2.30822
16,0.631879,4.71746,0.368121,2.7483
17,0.592575,4.69875,0.407425,3.23063
18,0.552704,4.63883,0.447296,3.75414
19,0.512533,4.53927,0.487467,4.31728
20,0.472329,4.40216,0.527671,4.91796
21,0.432361,4.23008,0.567639,5.55359
22,0.392896,4.02608,0.607104,6.2211
23,0.354198,3.7937,0.645802,6.91698
24,0.316524,3.53689,0.683476,7.63727
25,0.280126,3.26,0.719874,8.37761
26,0.245248,2.96775,0.754752,9.13329
27,0.212121,2.66518,0.787879,9.89926
28,0.180967,2.35761,0.819033,10.6702
29,0.151995,2.05059,0.848005,11.4406
30,0.125397,1.74985,0.874603,12.2046
31,0.10135,1.46125,0.89865,12.9565
32,0.0800166,1.19073,0.919983,13.6903
33,0.0615378,0.944252,0.938462,14.4
34,0.0460373,0.727732,0.953963,15.0797
35,0.0336184,0.546992,0.966382,15.7236
36,0.0243642,0.407705,0.975636,16.326
37,0.0183364,0.315329,0.981664,16.8815
38,0.0155753,0.275058,0.984425,17.3848
39,0.0160992,0.291765,0.983901,17.8311
40,0.0199048,0.369947,0.980095,18.2159
41,0.0269665,0.513678,0.973034,18.5351
42,0.0372372,0.72656,0.962763,18.7851
43,0.0506484,1.01168,0.949352,18.9629
44,0.0671106,1.37156,0.932889,19.0658
45,0.0865138,1.80815,0.913486,19.092
46,0.108729,2.32275,0.891271,19.0401
47,0.133607,2.91603,0.866393,18.9095
48,0.160982,3.58798,0.839018,18.7002
49,0.190671,4.33791,0.809329,18.4128
50,0.222477,5.16442,0.777523,18.0488
51,0.256187,6.06541,0.743813,17.6103
52,0.291576,7.0381,0.708424,17.1001
53,0.328407,8.07899,0.671593,16.5215
54,0.366435,9.18391,0.633565,15.8789
55,0.405406,10.348,0.594594,15.1771
56,0.44506,11.5659,0.55494,14.4214
57,0.485132,12.8315,0.514868,13.618
58,0.525355,14.1381,0.474645,12.7735
59,0.565459,15.4787,0.434541,11.895
60,0.605178,16.8455,0.394822,10.9901
61,0.644247,18.2306,0.355753,10.067
62,0.682403,19.6255,0.317597,9.1339
63,0.719394,21.0216,0.280606,8.19966
64,0.754971,22.4098,0.245029,7.27318
65,0.788898,23.7811,0.211102,6.3636
66,0.820947,25.1261,0.179053,5.48014
67,0.850906,26.4358,0.149094,4.63204
68,0.878573,27.7008,0.121427,3.82851
69,0.903764,28.9121,0.0962357,3.07865
70,0.926312,30.0607,0.0736881,2.39133
71,0.946065,31.1382,0.0539351,1.77518
72,0.962892,32.1361,0.0371083,1.23847
73,0.97668,33.0466,0.0233202,0.789053
74,0.987337,33.8624,0.0126627,0.43429
75,0.994793,34.5767,0.00520709,0.180987
