t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,0.999984,0.0463747,1.64405e-05,7.62434e-07,2.703e-10,1.25353e-11
1,0.998013,0.509116,0.00198274,0.00101146,3.95088e-06,2.01546e-06
2,0.992785,0.966856,0.00716298,0.00697591,5.22482e-05,5.08836e-05
3,0.984367,1.41516,0.0153868,0.0221206,0.000246323,0.000354122
4,0.97287,1.8498,0.0263838,0.0501657,0.000746187,0.00141879
5,0.958444,2.26684,0.0397926,0.0941145,0.00176374,0.00417146
6,0.941273,2.66274,0.0551727,0.156076,0.00355382,0.0100533
7,0.921577,3.03438,0.0720194,0.237131,0.00640337,0.0210837
8,0.899601,3.37919,0.0897804,0.337244,0.010619,0.0398884
9,0.875612,3.69512,0.107874,0.455233,0.0165135,0.0696875
10,0.849899,3.98072,0.125709,0.588791,0.0243916,0.114244
11,0.82276,4.23511,0.142704,0.734564,0.0345359,0.177772
12,0.7945,4.45805,0.158307,0.888285,0.0471927,0.264805
13,0.765427,4.64983,0.172014,1.04495,0.0625592,0.380036
14,0.735845,4.81131,0.183383,1.19905,0.0807718,0.528124
15,0.70605,4.94385,0.192055,1.34479,0.101896,0.713487
16,0.676323,5.04926,0.197759,1.47642,0.125918,0.940076
17,0.646931,5.12976,0.200326,1.58846,0.152743,1.21116
18,0.618122,5.18788,0.199692,1.67601,0.182186,1.52908
19,0.590118,5.22642,0.195903,1.73503,0.213979,1.89512
20,0.563122,5.24836,0.18911,1.76252,0.247769,2.30923
21,0.537309,5.25685,0.179565,1.7568,0.283126,2.77001
22,0.512831,5.25508,0.167615,1.71758,0.319554,3.27453
23,0.489816,5.24626,0.153689,1.64611,0.356495,3.81831
24,0.468366,5.2336,0.138283,1.5452,0.393351,4.39537
25,0.448565,5.22022,0.121944,1.41914,0.429491,4.99826
26,0.430475,5.20919,0.105253,1.27367,0.464272,5.61818
27,0.414142,5.20346,0.0888038,1.11577,0.497055,6.24522
28,0.399597,5.20588,0.0731845,0.953435,0.527218,6.86851
29,0.386861,5.21921,0.0589573,0.795403,0.554181,7.47655
30,0.375945,5.24612,0.0466398,0.650834,0.577415,8.05753
31,0.366854,5.28922,0.0366877,0.528955,0.596459,8.59961
32,0.359588,5.35104,0.0294792,0.438682,0.610933,9.09131
33,0.354148,5.43413,0.0253026,0.38825,0.62055,9.52188
34,0.350532,5.54102,0.0243459,0.384846,0.625122,9.88159
35,0.348741,5.67423,0.0266904,0.43427,0.624568,10.1621
36,0.348778,5.83635,0.032308,0.540634,0.618914,10.3567
37,0.350645,6.02997,0.0410612,0.706123,0.608294,10.4607
38,0.354347,6.25772,0.0527075,0.930808,0.592946,10.4713
39,0.359889,6.52223,0.0669069,1.21255,0.573204,10.3881
40,0.367275,6.82613,0.0832328,1.54695,0.549492,10.2128
41,0.376505,7.17197,0.101186,1.92746,0.522309,9.94936
42,0.387573,7.56221,0.120209,2.34548,0.492218,9.604
43,0.400466,7.99912,0.139707,2.79059,0.459827,9.18484
44,0.415158,8.48473,0.159066,3.25088,0.425776,8.70174
45,0.431612,9.02073,0.17767,3.71332,0.390719,8.16607
46,0.449773,9.60842,0.194925,4.16414,0.355302,7.59027
47,0.469569,10.2486,0.210276,4.58938,0.320155,6.98755
48,0.490907,10.9414,0.223226,4.9753,0.285867,6.37144
49,0.513671,11.6864,0.233353,5.30894,0.252977,5.7554
50,0.537724,12.4823,0.240319,5.57857,0.221958,5.15236
51,0.562903,13.3271,0.243887,5.7742,0.19321,4.57439
52,0.589024,14.218,0.243926,5.88792,0.167049,4.03227
53,0.615881,15.151,0.240415,5.91434,0.143704,3.5352
54,0.643244,16.1215,0.233444,5.85077,0.123312,3.09056
55,0.670868,17.124,0.22321,5.69747,0.105922,2.70368
56,0.698491,18.1519,0.210013,5.45768,0.0914957,2.37773
57,0.725841,19.1981,0.194244,5.13766,0.0799149,2.11371
58,0.752637,20.2547,0.176373,4.74647,0.0709906,1.91047
59,0.778595,21.313,0.156932,4.2958,0.0644728,1.76486
60,0.803435,22.3641,0.136502,3.79962,0.0600635,1.67191
61,0.826881,23.3987,0.115689,3.27372,0.0574302,1.62513
62,0.848671,24.4073,0.0951082,2.73526,0.0562206,1.61687
63,0.868561,25.3804,0.0753614,2.20215,0.0560774,1.63865
64,0.886328,26.3088,0.0570194,1.6925,0.056653,1.68163
65,0.901774,27.1837,0.0406026,1.22395,0.0576233,1.73703
66,0.914734,27.9966,0.0265652,0.813061,0.0587004,1.7966
67,0.925076,28.7401,0.0152801,0.474718,0.0596437,1.853
68,0.932704,29.4075,0.00702756,0.221574,0.0602689,1.90024
