t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
0,0.999984,0.0463747,1.64405e-05,7.62434e-07,2.70288e-10,1.25347e-11,7.8994e-15,3.66338e-16,5.19517e-19,2.40929e-20
1,0.998013,0.509116,0.00198275,0.00101146,3.93005e-06,2.00484e-06,1.3761e-08,7.01992e-09,1.10121e-10,5.61758e-11
2,0.992785,0.966856,0.00716338,0.0069763,5.12613e-05,4.99225e-05,6.36973e-07,6.20337e-07,1.88578e-08,1.83653e-08
3,0.984366,1.41516,0.0153908,0.0221264,0.000236457,0.000339939,6.12666e-06,8.8079e-06,4.05069e-07,5.82341e-07
4,0.972866,1.84979,0.0264045,0.0502051,0.000695832,0.00132304,2.96232e-05,5.63251e-05,3.54579e-06,6.74191e-06
5,0.958431,2.26681,0.0398659,0.094288,0.00158809,0.00375602,9.63163e-05,0.0002278,1.86529e-05,4.41164e-05
6,0.941238,2.66264,0.055376,0.156651,0.00307542,0.00869996,0.000240378,0.000679998,7.0395e-05,0.000199138
7,0.921492,3.0341,0.0724934,0.238692,0.00530991,0.0174834,0.000494515,0.00162824,0.000209762,0.000690663
8,0.899423,3.37853,0.0907508,0.34089,0.00842778,0.0316575,0.000875195,0.00328752,0.000522913,0.00196423
9,0.875276,3.6937,0.109669,0.462809,0.0125521,0.0529706,0.00136979,0.00578055,0.00113247,0.00477908
10,0.849311,3.97796,0.128768,0.603119,0.017802,0.0833803,0.00193211,0.00904955,0.00218702,0.0102434
11,0.821794,4.23014,0.147573,0.759626,0.0243044,0.125106,0.00249004,0.0128173,0.00383824,0.0197572
12,0.793,4.44963,0.165621,0.929323,0.0322053,0.180708,0.00296351,0.0166287,0.00621025,0.0348466
13,0.763203,4.63632,0.182465,1.10844,0.0416756,0.253171,0.00328708,0.0199684,0.00936947,0.0569178
14,0.732678,4.7906,0.197678,1.29252,0.0529104,0.345953,0.00342828,0.0224157,0.0133049,0.0869941
15,0.701695,4.91335,0.210865,1.4765,0.0661185,0.46297,0.0033952,0.0237736,0.0179264,0.125523
16,0.670517,5.00592,0.221667,1.65491,0.0815034,0.608484,0.00323073,0.0241199,0.0230816,0.172322
17,0.6394,5.07004,0.229778,1.82199,0.0992358,0.786878,0.00299651,0.0237604,0.0285903,0.226703
18,0.608584,5.10783,0.234957,1.97199,0.119422,1.00231,0.00275347,0.0231098,0.034283,0.287737
19,0.578297,5.12172,0.237046,2.09941,0.142073,1.25828,0.00254657,0.0225539,0.0400373,0.354593
20,0.548748,5.11439,0.235978,2.19934,0.167076,1.55717,0.00239848,0.0223542,0.0458003,0.426864
21,0.520125,5.08873,0.231789,2.26775,0.194179,1.89978,0.00231243,0.022624,0.0515945,0.504784
22,0.492596,5.04772,0.224623,2.30175,0.222994,2.28506,0.00228041,0.0233678,0.0575074,0.589289
23,0.466302,4.99442,0.214726,2.29986,0.253013,2.70994,0.00229121,0.0245404,0.0636681,0.681929
24,0.441364,4.93187,0.202438,2.26208,0.283646,3.16951,0.00233399,0.0260803,0.070218,0.784627
25,0.417875,4.86307,0.188181,2.18997,0.314269,3.65734,0.00239687,0.0278938,0.0772791,0.899344
26,0.395908,4.7909,0.172433,2.08662,0.344272,4.16606,0.00246326,0.029808,0.0849235,1.02766
27,0.375513,4.71811,0.155716,1.95648,0.373113,4.68797,0.00251041,0.0315419,0.0931476,1.17035
28,0.356723,4.64732,0.138565,1.80521,0.400346,5.21563,0.00251341,0.0327443,0.101853,1.32692
29,0.339554,4.58098,0.12152,1.63944,0.425636,5.74232,0.00245443,0.0331132,0.110836,1.49531
30,0.32401,4.52139,0.105099,1.4666,0.448759,6.26221,0.00233332,0.0325603,0.119798,1.67172
31,0.310085,4.47074,0.0897953,1.29465,0.469581,6.77032,0.00217374,0.0313405,0.128364,1.85073
32,0.297768,4.43109,0.0760636,1.1319,0.488022,7.26227,0.00202029,0.030064,0.136127,2.02571
33,0.287042,4.40444,0.064315,0.986866,0.50402,7.73381,0.00192577,0.0295495,0.142698,2.18959
34,0.277892,4.39276,0.0549119,0.868017,0.5175,8.18036,0.00193261,0.0305497,0.147763,2.33576
35,0.270303,4.398,0.0481626,0.783635,0.528351,8.5966,0.00205577,0.0334486,0.151127,2.45893
36,0.264266,4.42215,0.0443153,0.74156,0.536409,8.97613,0.00227436,0.0380586,0.152735,2.55583
37,0.259772,4.46726,0.0435506,0.748932,0.541466,9.31149,0.00253625,0.0436154,0.152675,2.62552
38,0.256824,4.53547,0.0459734,0.811884,0.543285,9.59434,0.00277411,0.0489904,0.151144,2.66919
39,0.255426,4.62906,0.0516037,0.935208,0.541634,9.81597,0.0029271,0.0530475,0.14841,2.68961
40,0.255592,4.7504,0.0603699,1.12203,0.536322,9.96801,0.00295964,0.0550074,0.144756,2.69042
41,0.257341,4.90203,0.0721039,1.37349,0.527242,10.0433,0.0028707,0.0546833,0.140443,2.67526
42,0.260696,5.08661,0.08654,1.68854,0.5144,10.0368,0.00269108,0.0525075,0.135673,2.6472
43,0.265683,5.3069,0.103321,2.06378,0.497944,9.9462,0.00247134,0.0493638,0.130581,2.60829
44,0.272332,5.56574,0.122005,2.49346,0.478163,9.77238,0.00226639,0.0463191,0.125234,2.55945
45,0.280668,5.866,0.142086,2.96962,0.455477,9.51952,0.0021232,0.0443752,0.119645,2.50059
46,0.290717,6.21053,0.163011,3.48237,0.430409,9.19476,0.00207517,0.0443315,0.113788,2.43084
47,0.302494,6.60208,0.184198,4.02022,0.403542,8.80752,0.0021428,0.0467678,0.107623,2.34893
48,0.316008,7.04322,0.205066,4.57055,0.375476,8.36865,0.00233698,0.0520869,0.101113,2.25362
49,0.331256,7.5363,0.225051,5.12008,0.346786,7.88962,0.0026603,0.0605238,0.0942473,2.14419
50,0.34822,8.08332,0.243624,5.6553,0.317995,7.38169,0.00310423,0.0720593,0.0870571,2.02088
51,0.366867,8.68585,0.260305,6.16292,0.289556,6.85545,0.00364313,0.0862536,0.0796283,1.88526
52,0.387146,9.34498,0.274675,6.63014,0.261849,6.32054,0.00422948,0.102092,0.0721013,1.74039
53,0.408984,10.0612,0.286377,7.04501,0.235185,5.78569,0.00479529,0.117967,0.0646587,1.59064
54,0.432291,10.8344,0.295122,7.39661,0.209825,5.2588,0.00526222,0.131886,0.0575004,1.44112
55,0.456952,11.6638,0.300692,7.67521,0.185985,4.74729,0.00555887,0.141891,0.050812,1.29698
56,0.482833,12.5475,0.302937,7.87254,0.163856,4.25819,0.0056397,0.146561,0.0447336,1.16251
57,0.509777,13.4833,0.301779,7.9819,0.143608,3.79835,0.00549816,0.145424,0.0393383,1.04048
58,0.537607,14.4679,0.297211,7.99842,0.125386,3.37435,0.00516837,0.139089,0.034628,0.931894
59,0.566124,15.4969,0.289303,7.91928,0.109314,2.99232,0.00471415,0.129043,0.0305451,0.836132
60,0.595113,16.5653,0.278202,7.74393,0.0954769,2.65766,0.00420939,0.117171,0.0269992,0.75154
61,0.62434,17.6673,0.264133,7.47433,0.0839129,2.37453,0.00371732,0.105191,0.0238961,0.676202
62,0.653561,18.796,0.247401,7.1151,0.0745982,2.1454,0.00327626,0.0942234,0.021164,0.608665
63,0.682518,19.944,0.228381,6.67358,0.0674374,1.97061,0.00289665,0.0846438,0.018767,0.548395
64,0.710947,21.103,0.20752,6.15981,0.0622591,1.84804,0.00256853,0.0762416,0.0167055,0.49587
65,0.738582,22.2643,0.185317,5.58632,0.0588201,1.77311,0.00227466,0.0685687,0.0150062,0.452356
66,0.765158,23.4186,0.162314,4.96783,0.0568193,1.73903,0.00200237,0.0612851,0.0137059,0.419485
