t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
0,0.999984,0.0463747,1.64405e-05,7.62434e-07,2.70288e-10,1.25347e-11,7.8994e-15,3.66338e-16,5.19372e-19,2.40861e-20,8.74481e-23,4.05545e-24
1,0.998013,0.509116,0.00198275,0.00101146,3.93005e-06,2.00484e-06,1.37632e-08,7.021e-09,1.06446e-10,5.43012e-11,2.19662e-12,1.12056e-12
2,0.992785,0.966856,0.00716338,0.0069763,5.12608e-05,4.9922e-05,6.38264e-07,6.21595e-07,1.66654e-08,1.62302e-08,1.29723e-09,1.26335e-09
3,0.984366,1.41516,0.0153908,0.0221264,0.000236434,0.000339906,6.18496e-06,8.89171e-06,3.09584e-07,4.45069e-07,5.55532e-08,7.98652e-08
4,0.972866,1.84979,0.0264046,0.0502052,0.000695482,0.00132238,3.04738e-05,5.79424e-05,2.21902e-06,4.2192e-06,7.53542e-07,1.43277e-06
5,0.958431,2.26681,0.0398666,0.0942896,0.00158526,0.00374934,0.00010285,0.000243252,9.06855e-06,2.14483e-05,5.27293e-06,1.24711e-05
6,0.941237,2.66263,0.0553797,0.156662,0.00306033,0.00865726,0.000273406,0.000773429,2.53233e-05,7.16362e-05,2.38291e-05,6.74092e-05
7,0.921491,3.0341,0.0725087,0.238742,0.00524958,0.0172848,0.000618658,0.00203699,5.35513e-05,0.000176323,7.87609e-05,0.000259328
8,0.899418,3.3785,0.0908018,0.341081,0.00823378,0.0309287,0.0012489,0.00469126,9.19281e-05,0.000345312,0.000205955,0.000773632
9,0.87526,3.69363,0.109813,0.463416,0.0120255,0.0507483,0.00231575,0.00977255,0.000135372,0.000571275,0.000450208,0.0018999
10,0.849269,3.97777,0.129123,0.604781,0.0165546,0.0775376,0.00401512,0.0188058,0.000179633,0.000841358,0.000858,0.00401866
11,0.8217,4.22966,0.148359,0.763669,0.0216623,0.111506,0.00657966,0.0338685,0.000224478,0.00115549,0.00147455,0.00759016
