t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
0,0.999984,0.0463747,1.64405e-05,7.62434e-07,2.70288e-10,1.25347e-11,7.8994e-15,3.66338e-16,5.19372e-19,2.40861e-20,8.7378e-23,4.0522e-24,4.0863e-26,1.89468e-27
1,0.998013,0.509116,0.00198275,0.00101146,3.93005e-06,2.00484e-06,1.37631e-08,7.02097e-09,1.06575e-10,5.43673e-11,1.99442e-12,1.01741e-12,1.16559e-13,5.94602e-14
2,0.992785,0.966856,0.00716338,0.0069763,5.12608e-05,4.99221e-05,6.3814e-07,6.21474e-07,1.69258e-08,1.64837e-08,9.16603e-10,8.92664e-10,2.12517e-10,2.06967e-10
3,0.984366,1.41516,0.0153908,0.0221264,0.000236438,0.000339911,6.17365e-06,8.87545e-06,3.3151e-07,4.76591e-07,2.65645e-08,3.81901e-08,1.53513e-08,2.20696e-08
4,0.972866,1.84979,0.0264046,0.0502052,0.00069557,0.00132255,3.02134e-05,5.74472e-05,2.67768e-06,5.09129e-06,2.19137e-07,4.16662e-07,2.63386e-07,5.00797e-07
5,0.958431,2.26681,0.0398664,0.0942891,0.00158625,0.00375168,0.000100115,0.000236785,1.33897e-05,3.16684e-05,8.88074e-07,2.10041e-06,1.9922e-06,4.7118e-06
6,0.941238,2.66263,0.0553783,0.156658,0.00306699,0.00867611,0.000256208,0.000724778,4.95161e-05,0.000140075,2.39295e-06,6.76934e-06,9.06435e-06,2.56418e-05
7,0.921491,3.0341,0.0725016,0.238719,0.00528102,0.0173883,0.000543288,0.00178883,0.000147525,0.00048574,5.17548e-06,1.70408e-05,2.99073e-05,9.84728e-05
8,0.89942,3.37851,0.0907749,0.34098,0.00834763,0.0313564,0.000995888,0.00374088,0.000371356,0.00139493,9.80103e-06,3.68159e-05,8.00767e-05,0.000300794
9,0.875269,3.69367,0.109729,0.463062,0.0123622,0.0521692,0.00162254,0.0068472,0.000816285,0.00344476,1.64987e-05,6.96253e-05,0.000184558,0.000778844
10,0.849293,3.97788,0.1289,0.603734,0.0174037,0.0815145,0.00239479,0.0112166,0.00160727,0.00752806,2.47273e-05,0.000115817,0.000376628,0.00176403
11,0.821758,4.22996,0.147834,0.760968,0.0235465,0.121204,0.00324543,0.0167057,0.00288898,0.0148709,3.3642e-05,0.00017317,0.000693099,0.00356769
12,0.792932,4.44925,0.166097,0.931994,0.0308749,0.173243,0.00407905,0.0228881,0.00480373,0.0269544,4.26283e-05,0.000239194,0.00117021,0.00656623
13,0.763084,4.63559,0.183274,1.11336,0.0394944,0.239921,0.00479351,0.0291197,0.00746283,0.0453353,5.087e-05,0.000309025,0.0018397,0.0111758
14,0.73248,4.7893,0.198974,1.30099,0.0495388,0.323908,0.00530506,0.034687,0.0109246,0.0714303,5.7103e-05,0.000373367,0.00271983,0.0177835
15,0.701382,4.91117,0.212831,1.49027,0.0611693,0.428315,0.005568,0.0389879,0.0151827,0.106311,6.05607e-05,0.000424053,0.00380615,0.0266511
16,0.670045,5.00239,0.22451,1.67614,0.0745667,0.556697,0.00558391,0.0416881,0.0201595,0.150506,6.16211e-05,0.000460048,0.00507335,0.0378764
17,0.638714,5.0646,0.233715,1.85321,0.0899165,0.712982,0.00539847,0.0428065,0.0257105,0.203868,6.10554e-05,0.000484131,0.00648492,0.0514214
18,0.607622,5.09976,0.240199,2.01598,0.107385,0.90128,0.00508652,0.0426911,0.0316514,0.265649,5.93814e-05,0.000498386,0.00799678,0.0671167
19,0.576991,5.11015,0.243775,2.15901,0.127092,1.12559,0.00472973,0.0418891,0.0377987,0.334766,5.72051e-05,0.00050664,0.00955737,0.0846454
20,0.547024,5.09833,0.244329,2.27718,0.149079,1.38943,0.00439579,0.0409693,0.0439986,0.410072,5.53206e-05,0.000515595,0.0111189,0.103629
21,0.517908,5.06704,0.241834,2.36602,0.173283,1.69534,0.00412608,0.0403681,0.0501415,0.490567,5.41517e-05,0.000529802,0.0126536,0.123798
22,0.48981,5.01917,0.236354,2.42196,0.199516,2.04448,0.00393349,0.0403072,0.0561761,0.575647,5.36684e-05,0.00054995,0.0141563,0.145062
23,0.462876,4.95772,0.228055,2.44263,0.227453,2.43617,0.00380896,0.0407966,0.0621207,0.665356,5.37616e-05,0.000575824,0.0156333,0.167444
24,0.437228,4.88566,0.217199,2.42702,0.256635,2.86768,0.00373285,0.0417115,0.0680518,0.760421,5.4208e-05,0.000605729,0.0170996,0.191073
25,0.412968,4.80597,0.204139,2.37569,0.286497,3.33414,0.00368571,0.0428929,0.0740737,0.862041,5.45914e-05,0.000635314,0.0185826,0.216257
26,0.390175,4.72152,0.189305,2.29079,0.3164,3.82877,0.00365371,0.0442137,0.0802931,0.97163,5.47385e-05,0.000662393,0.020119,0.243461
27,0.368906,4.63509,0.173189,2.17602,0.34568,4.34328,0.00362825,0.0455869,0.0868038,1.09064,5.49029e-05,0.000689824,0.0217386,0.273134
