t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_7,AvgX_7
0,0.999984,0.0463747,1.64405e-05,7.62434e-07,2.70288e-10,1.25347e-11,7.8994e-15,3.66338e-16,5.19372e-19,2.40861e-20,8.73781e-23,4.0522e-24,4.07752e-26,1.89097e-27,5.60656e-29,2.59644e-30
1,0.998013,0.509116,0.00198275,0.00101146,3.93005e-06,2.00484e-06,1.37631e-08,7.02097e-09,1.06564e-10,5.43616e-11,2.01517e-12,1.028e-12,8.77166e-14,4.47468e-14,1.58762e-14,8.09891e-15
2,0.992785,0.966856,0.00716338,0.0069763,5.12608e-05,4.9922e-05,6.38167e-07,6.215e-07,1.68571e-08,1.64169e-08,1.02961e-09,1.00272e-09,8.11694e-11,7.90495e-11,6.56353e-11,6.39211e-11
3,0.984366,1.41516,0.0153908,0.0221264,0.000236437,0.000339909,6.17808e-06,8.88183e-06,3.21527e-07,4.62238e-07,4.03319e-08,5.79825e-08,2.52473e-09,3.62964e-09,5.66663e-09,8.14654e-09
4,0.972866,1.84979,0.0264046,0.0502052,0.000695528,0.00132246,3.03526e-05,5.77119e-05,2.39945e-06,4.56227e-06,5.35996e-07,1.01913e-06,2.13956e-08,4.06812e-08,9.98991e-08,1.89946e-07
5,0.958431,2.26681,0.0398665,0.0942894,0.00158567,0.00375031,0.000101851,0.00024089,1.03192e-05,2.44062e-05,3.79426e-06,8.97389e-06,9.82942e-08,2.32478e-07,8.02779e-07,1.89867e-06
6,0.941237,2.66263,0.0553792,0.15666,0.00306259,0.00866365,0.000268277,0.000758919,3.05874e-05,8.65276e-05,1.76241e-05,4.98561e-05,3.00494e-07,8.50058e-07,3.99543e-06,1.13025e-05
7,0.921491,3.0341,0.0725064,0.238734,0.00525855,0.0173143,0.000599637,0.00197437,6.90163e-05,0.000227243,6.04378e-05,0.000198997,6.90873e-07,2.27477e-06,1.42491e-05,4.69167e-05
8,0.899419,3.37851,0.0907943,0.341053,0.00826169,0.0310336,0.00119345,0.00448298,0.000126392,0.000474771,0.000164664,0.000618533,1.27877e-06,4.80347e-06,3.97692e-05,0.000149386
9,0.875262,3.69364,0.109792,0.463329,0.0120973,0.0510513,0.00218175,0.00920708,0.000197019,0.00083143,0.000375102,0.00158295,2.007e-06,8.46961e-06,9.19053e-05,0.000387844
10,0.849275,3.97779,0.129074,0.604552,0.016713,0.0782795,0.00373707,0.0175035,0.000272139,0.00127463,0.000742001,0.00347535,2.78722e-06,1.30547e-05,0.000183386,0.000858936
11,0.821713,4.22973,0.148256,0.76314,0.0219698,0.113089,0.0060718,0.0312543,0.000345614,0.00177903,0.00131378,0.00676263,3.55736e-06,1.83113e-05,0.00032624,0.0016793
12,0.792831,4.44868,0.167011,0.937122,0.0276446,0.155118,0.00942585,0.0528897,0.000417239,0.00234119,0.00213464,0.0119778,4.32258e-06,2.42546e-05,0.000531363,0.00298155
13,0.762875,4.63433,0.185083,1.12435,0.0334443,0.203168,0.0140411,0.0852968,0.000491607,0.00298642,0.00324926,0.0197386,5.13044e-06,3.11664e-05,0.000809649,0.00491846
14,0.732083,4.7867,0.202293,1.32269,0.0390327,0.255215,0.0201279,0.131606,0.000573956,0.0037528,0.00470974,0.0307945,6.04353e-06,3.95155e-05,0.00117415,0.00767718
15,0.700673,4.9062,0.218536,1.53022,0.0440647,0.308547,0.0278349,0.194903,0.000665745,0.00466163,0.00657834,0.0460623,7.07558e-06,4.95441e-05,0.00164073,0.0114886
16,0.668848,4.99345,0.233783,1.74537,0.0482219,0.360013,0.0372317,0.277963,0.000761695,0.00568663,0.00891984,0.0665933,8.18325e-06,6.10941e-05,0.0022262,0.0166203
17,0.63679,5.04935,0.24807,1.96704,0.0512434,0.406328,0.0483103,0.38307,0.000849792,0.00673832,0.0117835,0.0934361,9.24512e-06,7.33081e-05,0.00294361,0.023341
18,0.604662,5.07491,0.26149,2.19468,0.0529486,0.444397,0.0609971,0.511947,0.000915201,0.00768126,0.0151804,0.127409,1.012e-05,8.49367e-05,0.00379609,0.0318605
19,0.572606,5.07131,0.274183,2.42832,0.0532508,0.471619,0.0751648,0.665702,0.000947169,0.00838866,0.0190655,0.168855,1.06993e-05,9.47591e-05,0.00477236,0.0422666
20,0.540743,5.03979,0.286324,2.66858,0.0521643,0.486178,0.0906303,0.844685,0.000944703,0.00880475,0.0233365,0.217499,1.09745e-05,0.000102283,0.00584592,0.0544847
21,0.50918,4.98164,0.298117,2.91668,0.0498058,0.487284,0.107139,1.04821,0.000916651,0.00896821,0.0278508,0.272483,1.10281e-05,0.000107896,0.00698027,0.0682927
22,0.478005,4.89821,0.309782,3.17439,0.0463901,0.475368,0.124342,1.27416,0.000875917,0.00897569,0.0324575,0.332598,1.09746e-05,0.000112459,0.00813651,0.0833764
23,0.447296,4.79085,0.321548,3.444,0.0422174,0.452177,0.14179,1.51866,0.000832513,0.00891678,0.0370243,0.396555,1.08938e-05,0.000116681,0.00928148,0.0994111
24,0.417119,4.66096,0.333646,3.72821,0.0376509,0.420717,0.158942,1.77604,0.000790577,0.00883404,0.0414506,0.463176,1.08063e-05,0.000120751,0.0103903,0.116103
25,0.387534,4.50997,0.346298,4.03008,0.0330844,0.385024,0.17522,2.03914,0.000750424,0.00873314,0.0456584,0.531355,1.07041e-05,0.00012457,0.0114445,0.133187
26,0.358597,4.33939,0.35971,4.35287,0.0289033,0.349761,0.19007,2.30004,0.000712729,0.00862476,0.0495713,0.599865,1.06027e-05,0.000128304,0.0124258,0.150365
27,0.330363,4.15083,0.374066,4.69993,0.0254452,0.319704,0.203029,2.55095,0.000681589,0.00856379,0.0530944,0.667102,1.05561e-05,0.000132632,0.0133108,0.167242
28,0.302891,3.94601,0.389519,5.07459,0.0229669,0.299209,0.213768,2.78493,0.000664878,0.00866191,0.0561101,0.730993,1.06709e-05,0.000139018,0.0140696,0.183296
