E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
0.000464006,1.30143,0.92684,0,0,0,0.92684,0.415946,0,0,0,4.64006e-06
0.00128891,1.41445,0.717387,0,0,0,0.717387,0.336511,0,0,0,1.28891e-05
0.00252625,1.53672,0.555066,0,0,0,0.555066,0.265355,0,0,0,2.52625e-05
0.00417605,1.66896,0.429318,0,0,0,0.429318,0.204605,0,0,0,4.17605e-05
0.0062383,1.81193,0.331938,0,0,0,0.331938,0.154831,0,0,0,6.2383e-05
0.008713,1.96643,0.256553,0,0,0,0.256553,0.115409,0,0,0,8.713e-05
0.0116001,2.13333,0.198217,0,0,0,0.198217,0.0850151,0,0,0,0.000116001
0.0148997,2.31357,0.15309,0,0,0,0.15309,0.0620638,0,0,0,0.000148997
0.0186118,2.50812,0.118194,0,0,0,0.118194,0.0450039,0,0,0,0.000186118
0.0227363,2.71806,0.09122,0,0,0,0.09122,0.032471,0,0,0,0.000227363
0.0272732,2.94449,0.0703762,0,0,0,0.0703762,0.023343,0,0,0,0.000272732
0.0322226,3.18864,0.0542756,0,0,0,0.0542756,0.0167366,0,0,0,0.000322226
0.0375845,3.45179,0.0418433,0,0,0,0.0418433,0.011977,0,0,0,0.000375845
0.0433588,3.7353,0.032247,0,0,0,0.032247,0.00855915,0,0,0,0.000433588
0.0495455,4.04064,0.0248426,0,0,0,0.0248426,0.00611062,0,0,0,0.000495455
0.0561447,4.36936,0.0191315,0,0,0,0.0191315,0.00435946,0,0,0,0.000561447
0.0631564,4.72311,0.014728,0,0,0,0.014728,0.00310858,0,0,0,0.000631564
0.0705805,5.10366,0.0113339,0,0,0,0.0113339,0.00221582,0,0,0,0.000705805
0.078417,5.51288,0.00871884,0,0,0,0.00871884,0.00157904,0,0,0,0.00078417
0.086666,5.95275,0.00670472,0,0,0,0.00670472,0.00112506,0,0,0,0.00086666
0.0953275,6.4254,0.00515402,0,0,0,0.00515402,0.000801488,0,0,0,0.000953275
0.104401,6.93307,0.00396054,0,0,0,0.00396054,0.000570927,0,0,0,0.00104401
0.113888,7.47815,0.00304234,0,0,0,0.00304234,0.000406665,0,0,0,0.00113888
0.123786,8.06317,0.00233616,0,0,0,0.00233616,0.000289648,0,0,0,0.00123786
0.134098,8.69081,0.00179325,0,0,0,0.00179325,0.000206296,0,0,0,0.00134098
0.144821,9.36392,0.00137601,0,0,0,0.00137601,0.000146926,0,0,0,0.00144821
0.155958,10.0855,0.00105546,0,0,0,0.00105546,0.00010464,0,0,0,0.00155958
0.167506,10.8588,0.000809301,0,0,0,0.000809301,7.45239e-05,0,0,0,0.00167506
0.179467,11.6871,0.000620328,0,0,0,0.000620328,5.3075e-05,0,0,0,0.00179467
0.191841,12.5741,0.000475308,0,0,0,0.000475308,3.7799e-05,0,0,0,0.00191841
0.204627,13.5235,0.000364057,0,0,0,0.000364057,2.69195e-05,0,0,0,0.00204627
0.217825,14.5394,0.000278744,0,0,0,0.000278744,1.91713e-05,0,0,0,0.00217825
0.231436,15.6259,0.000213347,0,0,0,0.000213347,1.36532e-05,0,0,0,0.00231436
0.245459,16.7875,0.000163236,0,0,0,0.000163236,9.72354e-06,0,0,0,0.00245459
0.259895,18.029,0.00012485,0,0,0,0.00012485,6.9249e-06,0,0,0,0.00259895
0.274743,19.3552,9.54549e-05,0,0,0,9.54549e-05,4.93171e-06,0,0,0,0.00274743
0.290004,20.7716,7.29537e-05,0,0,0,7.29537e-05,3.51218e-06,0,0,0,0.00290004
0.305677,22.2835,5.57362e-05,0,0,0,5.57362e-05,2.50123e-06,0,0,0,0.00305677
0.321762,23.8968,4.25673e-05,0,0,0,4.25673e-05,1.7813e-06,0,0,0,0.00321762
0.33826,25.6176,3.24985e-05,0,0,0,3.24985e-05,1.2686e-06,0,0,0,0.0033826
0.355171,27.4525,2.48026e-05,0,0,0,2.48026e-05,9.03474e-07,0,0,0,0.00355171
0.372494,29.4081,1.89222e-05,0,0,0,1.89222e-05,6.43434e-07,0,0,0,0.00372494
0.390229,31.4917,1.44304e-05,0,0,0,1.44304e-05,4.5823e-07,0,0,0,0.00390229
0.408377,33.7107,1.10008e-05,0,0,0,1.10008e-05,3.26331e-07,0,0,0,0.00408377
0.426937,36.073,8.38334e-06,0,0,0,8.38334e-06,2.32399e-07,0,0,0,0.00426937
0.44591,38.5869,6.38649e-06,0,0,0,6.38649e-06,1.65509e-07,0,0,0,0.0044591
0.465295,41.2611,4.86355e-06,0,0,0,4.86355e-06,1.17873e-07,0,0,0,0.00465295
0.485092,44.1046,3.70241e-06,0,0,0,3.70241e-06,8.39462e-08,0,0,0,0.00485092
0.505303,47.1271,2.81742e-06,0,0,0,2.81742e-06,5.97835e-08,0,0,0,0.00505303
0.525925,50.3385,2.14316e-06,0,0,0,2.14316e-06,4.25749e-08,0,0,0,0.00525925
0.54696,53.7493,1.62972e-06,0,0,0,1.62972e-06,3.03206e-08,0,0,0,0.0054696
0.568407,57.3705,1.23886e-06,0,0,0,1.23886e-06,2.1594e-08,0,0,0,0.00568407
