t,T+R,N_0,N_1,N_2,N_3
0,0.999999,3.30385e-26,1.78625e-31,7.76821e-34,3.8114e-33
1,0.999905,3.32494e-26,2.28077e-29,5.09899e-32,4.2273e-31
2,0.999653,3.30951e-26,8.90628e-29,1.15858e-31,1.38441e-30
3,0.999243,3.34752e-26,2.04073e-28,3.16682e-31,2.65133e-30
4,0.998674,3.34739e-26,3.76194e-28,1.13191e-30,3.9843e-30
5,0.997947,3.29593e-26,5.78784e-28,3.46685e-30,5.17677e-30
6,0.997061,3.26662e-26,8.431e-28,8.64698e-30,6.0875e-30
7,0.996014,3.23299e-26,1.13613e-27,1.76281e-29,6.65881e-30
8,0.994806,3.23005e-26,1.44925e-27,3.42441e-29,6.88574e-30
9,0.993436,3.22036e-26,1.81834e-27,5.77199e-29,6.79556e-30
10,0.991902,3.17858e-26,2.17863e-27,9.40771e-29,6.48685e-30
11,0.990204,3.28879e-26,2.46931e-27,1.42798e-28,6.64634e-30
12,0.988339,3.15063e-26,2.78632e-27,2.05363e-28,7.72622e-30
13,0.986307,3.05779e-26,3.1299e-27,2.82587e-28,1.10069e-29
14,0.984105,3.01691e-26,3.3223e-27,3.69438e-28,1.73212e-29
15,0.981733,3.06991e-26,3.63729e-27,4.63533e-28,2.89051e-29
16,0.979189,3.0198e-26,3.90795e-27,5.8224e-28,4.63284e-29
17,0.97647,2.95399e-26,4.07252e-27,7.07344e-28,7.18094e-29
18,0.973576,2.74217e-26,4.09222e-27,8.20704e-28,1.07203e-28
19,0.970506,2.7744e-26,4.45607e-27,9.43341e-28,1.50745e-28
20,0.967257,2.78629e-26,4.69691e-27,1.03863e-27,2.10347e-28
21,0.96383,2.70031e-26,4.98106e-27,1.15981e-27,2.74676e-28
22,0.960223,2.46189e-26,4.72359e-27,1.23677e-27,3.57007e-28
23,0.956437,2.26079e-26,4.67202e-27,1.35782e-27,4.55984e-28
24,0.95247,2.15405e-26,4.60198e-27,1.38992e-27,5.66421e-28
25,0.948323,2.15022e-26,4.74634e-27,1.48799e-27,6.97737e-28
26,0.943998,2.15001e-26,4.5851e-27,1.479e-27,8.49889e-28
27,0.939495,2.30106e-26,4.73969e-27,1.52008e-27,1.0112e-27
28,0.934817,2.18879e-26,4.24974e-27,1.49742e-27,1.2133e-27
29,0.929966,2.05695e-26,4.5706e-27,1.54941e-27,1.39091e-27
30,0.924947,2.05881e-26,4.40749e-27,1.53981e-27,1.62281e-27
31,0.919762,2.29248e-26,4.74199e-27,1.67955e-27,1.88404e-27
32,0.914418,2.09896e-26,5.31916e-27,1.72945e-27,2.1283e-27
33,0.908921,1.90998e-26,5.64442e-27,1.74946e-27,2.48289e-27
34,0.903276,1.83725e-26,5.70413e-27,1.73085e-27,2.79575e-27
35,0.897493,1.9236e-26,6.1793e-27,1.74564e-27,3.18035e-27
36,0.891581,1.95155e-26,6.28388e-27,1.79922e-27,3.52684e-27
37,0.885548,1.91791e-26,6.24633e-27,1.71089e-27,3.93503e-27
38,0.879406,1.67715e-26,7.62508e-27,1.71616e-27,4.34087e-27
39,0.873167,1.73324e-26,7.75489e-27,1.65452e-27,4.77308e-27
40,0.866844,1.8802e-26,7.97093e-27,1.72514e-27,5.12396e-27
41,0.86045,1.68806e-26,8.55055e-27,1.68777e-27,5.55485e-27
42,0.854,1.65493e-26,8.30564e-27,1.72657e-27,5.67508e-27
43,0.84751,1.5513e-26,9.2298e-27,1.71376e-27,5.94746e-27
44,0.840995,1.42926e-26,9.61206e-27,1.71155e-27,6.58325e-27
45,0.834473,1.47322e-26,9.31664e-27,1.87809e-27,6.76688e-27
46,0.827961,1.24988e-26,9.23773e-27,1.66574e-27,6.93234e-27
47,0.821478,1.29652e-26,9.60557e-27,1.87434e-27,7.24143e-27
48,0.815041,1.18154e-26,9.60566e-27,1.93715e-27,7.66175e-27
49,0.80867,1.21948e-26,9.9665e-27,1.78547e-27,7.24034e-27
50,0.802383,1.1532e-26,9.7592e-27,2.22373e-27,8.12356e-27
51,0.7962,1.15351e-26,1.08399e-26,2.20135e-27,7.88676e-27
52,0.79014,9.9295e-27,1.04719e-26,2.36184e-27,8.61981e-27
53,0.78422,1.00856e-26,1.0405e-26,2.39285e-27,8.77536e-27
54,0.778461,7.85759e-27,1.10002e-26,2.61075e-27,9.19958e-27
55,0.772879,1.06351e-26,1.21261e-26,2.70832e-27,9.26777e-27
56,0.767493,9.53618e-27,1.21299e-26,3.0897e-27,9.95582e-27
57,0.762318,8.45987e-27,1.20742e-26,3.38699e-27,1.07883e-26
58,0.757372,8.80369e-27,1.2966e-26,3.4374e-27,1.14363e-26
59,0.75267,8.63693e-27,1.321e-26,3.77225e-27,1.18845e-26
60,0.748225,8.84978e-27,1.39406e-26,4.23402e-27,1.27051e-26
61,0.744051,7.87955e-27,1.41058e-26,4.33458e-27,1.38772e-26
62,0.74016,7.02758e-27,1.46183e-26,5.05628e-27,1.43499e-26
63,0.736564,6.76849e-27,1.55682e-26,5.09687e-27,1.48813e-26
64,0.733271,7.25749e-27,1.36462e-26,4.98934e-27,1.57498e-26
65,0.73029,6.81145e-27,1.4226e-26,5.13369e-27,1.53289e-26
66,0.727629,5.91704e-27,1.35782e-26,5.47313e-27,1.55732e-26
