t,T+R,N_0,N_1,N_2,N_3
0,1,1.99416e-25,7.82653e-31,6.0633e-33,1.42089e-31
1,1.00005,2.0414e-25,8.72334e-29,4.43019e-31,1.69387e-29
2,1.00018,2.12657e-25,3.02216e-28,1.09805e-30,5.81409e-29
3,1.0004,2.10631e-25,6.35453e-28,2.99882e-30,1.13393e-28
4,1.0007,2.07589e-25,1.14028e-27,1.02927e-29,1.67374e-28
5,1.00109,2.01914e-25,1.83192e-27,3.0901e-29,2.03516e-28
6,1.00157,1.97441e-25,2.77686e-27,7.4099e-29,2.10082e-28
7,1.00213,1.95536e-25,4.0965e-27,1.51256e-28,1.84291e-28
8,1.00279,1.87014e-25,5.67448e-27,2.65989e-28,1.32942e-28
9,1.00354,1.88455e-25,7.0534e-27,4.19329e-28,7.52097e-29
10,1.00438,1.85319e-25,8.66862e-27,6.1282e-28,3.06289e-29
11,1.00533,1.88686e-25,1.04739e-26,7.97983e-28,1.60281e-29
12,1.00638,1.86104e-25,1.17508e-26,1.01985e-27,3.37322e-29
13,1.00754,1.94445e-25,1.25861e-26,1.27128e-27,7.46227e-29
14,1.00881,1.85759e-25,1.35591e-26,1.54332e-27,1.18794e-28
15,1.0102,1.83167e-25,1.44608e-26,1.84707e-27,1.40128e-28
16,1.01171,1.86683e-25,1.583e-26,2.22609e-27,1.55573e-28
17,1.01334,1.81909e-25,1.71959e-26,2.68219e-27,1.60496e-28
18,1.0151,1.82516e-25,1.96847e-26,3.30835e-27,2.04627e-28
19,1.017,1.75366e-25,2.25446e-26,3.9302e-27,3.24168e-28
20,1.01904,1.72578e-25,2.55794e-26,4.52733e-27,5.18256e-28
21,1.02122,1.72446e-25,2.8337e-26,5.20352e-27,7.99072e-28
22,1.02355,1.77522e-25,2.95448e-26,6.05347e-27,1.12421e-27
23,1.02603,1.63527e-25,3.16296e-26,6.92619e-27,1.39574e-27
24,1.02867,1.6382e-25,3.38096e-26,7.58914e-27,1.78891e-27
25,1.03147,1.47017e-25,3.40514e-26,8.30591e-27,2.08535e-27
26,1.03442,1.55039e-25,3.62979e-26,9.91462e-27,2.54872e-27
27,1.03754,1.51839e-25,3.56216e-26,1.07596e-26,3.34015e-27
28,1.04082,1.45944e-25,3.84542e-26,1.18461e-26,4.4038e-27
29,1.04426,1.40555e-25,3.95439e-26,1.25387e-26,5.32905e-27
30,1.04785,1.38952e-25,4.03635e-26,1.29891e-26,6.84715e-27
31,1.0516,1.39702e-25,4.07287e-26,1.36621e-26,7.97537e-27
32,1.0555,1.33825e-25,4.27916e-26,1.4552e-26,9.21367e-27
33,1.05955,1.32797e-25,4.14312e-26,1.47314e-26,1.02691e-26
34,1.06373,1.28412e-25,4.74661e-26,1.54875e-26,1.13188e-26
35,1.06803,1.16905e-25,4.58419e-26,1.61593e-26,1.25876e-26
36,1.07245,1.19623e-25,4.75039e-26,1.83032e-26,1.43197e-26
37,1.07696,1.17482e-25,5.06047e-26,1.93773e-26,1.59948e-26
38,1.08156,1.14176e-25,5.15577e-26,1.83526e-26,1.93794e-26
39,1.08624,1.08813e-25,5.23267e-26,1.79581e-26,2.40644e-26
40,1.09096,1.12476e-25,5.33851e-26,1.84492e-26,2.5317e-26
41,1.09571,1.05434e-25,5.03908e-26,1.85423e-26,2.98539e-26
42,1.10048,1.05371e-25,5.04889e-26,1.70353e-26,3.44532e-26
43,1.10523,1.0695e-25,5.4059e-26,1.54668e-26,3.52974e-26
44,1.10995,1.01774e-25,5.50065e-26,1.61932e-26,3.97412e-26
