E,T,R0,R1,R2,R3,R4,R5,R6,R7,R,N_R0,N_R1,N_R2,N_R3,N_R4,N_R5,N_R6,N_R7,E/V0
0.000464006,2.27792,1.62227,0,0,0,0,0,0,0,1.62227,0.415946,0,0,0,0,0,0,0,4.64006e-06
0.00128891,2.47574,1.25566,0,0,0,0,0,0,0,1.25566,0.336511,0,0,0,0,0,0,0,1.28891e-05
0.00252625,2.68976,0.971544,0,0,0,0,0,0,0,0.971544,0.265355,0,0,0,0,0,0,0,2.52625e-05
0.00417605,2.92122,0.751445,0,0,0,0,0,0,0,0.751445,0.204605,0,0,0,0,0,0,0,4.17605e-05
0.0062383,3.17146,0.580998,0,0,0,0,0,0,0,0.580998,0.154831,0,0,0,0,0,0,0,6.2383e-05
0.008713,3.44188,0.44905,0,0,0,0,0,0,0,0.44905,0.115409,0,0,0,0,0,0,0,8.713e-05
0.0116001,3.73402,0.346943,0,0,0,0,0,0,0,0.346943,0.0850151,0,0,0,0,0,0,0,0.000116001
0.0148997,4.04949,0.267957,0,0,0,0,0,0,0,0.267957,0.0620638,0,0,0,0,0,0,0,0.000148997
0.0186118,4.39002,0.206878,0,0,0,0,0,0,0,0.206878,0.0450039,0,0,0,0,0,0,0,0.000186118
0.0227363,4.75747,0.159664,0,0,0,0,0,0,0,0.159664,0.032471,0,0,0,0,0,0,0,0.000227363
0.0272732,5.15381,0.123181,0,0,0,0,0,0,0,0.123181,0.023343,0,0,0,0,0,0,0,0.000272732
0.0322226,5.58115,0.0949995,0,0,0,0,0,0,0,0.0949995,0.0167366,0,0,0,0,0,0,0,0.000322226
0.0375845,6.04174,0.0732391,0,0,0,0,0,0,0,0.0732391,0.011977,0,0,0,0,0,0,0,0.000375845
0.0433588,6.53798,0.0564427,0,0,0,0,0,0,0,0.0564427,0.00855916,0,0,0,0,0,0,0,0.000433588
0.0495455,7.07242,0.0434826,0,0,0,0,0,0,0,0.0434826,0.00611062,0,0,0,0,0,0,0,0.000495455
0.0561447,7.64778,0.0334862,0,0,0,0,0,0,0,0.0334862,0.00435947,0,0,0,0,0,0,0,0.000561447
0.0631564,8.26696,0.0257786,0,0,0,0,0,0,0,0.0257786,0.00310858,0,0,0,0,0,0,0,0.000631564
0.0705805,8.93304,0.0198379,0,0,0,0,0,0,0,0.0198379,0.00221581,0,0,0,0,0,0,0,0.000705805
0.078417,9.6493,0.0152608,0,0,0,0,0,0,0,0.0152608,0.00157904,0,0,0,0,0,0,0,0.00078417
0.086666,10.4192,0.0117354,0,0,0,0,0,0,0,0.0117354,0.00112506,0,0,0,0,0,0,0,0.00086666
0.0953275,11.2465,0.00902121,0,0,0,0,0,0,0,0.00902121,0.000801491,0,0,0,0,0,0,0,0.000953275
0.104401,12.1351,0.00693222,0,0,0,0,0,0,0,0.00693222,0.000570928,0,0,0,0,0,0,0,0.00104401
0.113888,13.0892,0.00532505,0,0,0,0,0,0,0,0.00532505,0.000406664,0,0,0,0,0,0,0,0.00113888
0.123786,14.1131,0.00408902,0,0,0,0,0,0,0,0.00408902,0.000289647,0,0,0,0,0,0,0,0.00123786
0.134098,15.2117,0.00313876,0,0,0,0,0,0,0,0.00313876,0.000206296,0,0,0,0,0,0,0,0.00134098
0.144821,16.3899,0.00240846,0,0,0,0,0,0,0,0.00240846,0.000146927,0,0,0,0,0,0,0,0.00144821
0.155958,17.6529,0.00184741,0,0,0,0,0,0,0,0.00184741,0.000104641,0,0,0,0,0,0,0,0.00155958
0.167506,19.0064,0.00141654,0,0,0,0,0,0,0,0.00141654,7.45239e-05,0,0,0,0,0,0,0,0.00167506
0.179467,20.4562,0.00108577,0,0,0,0,0,0,0,0.00108577,5.30747e-05,0,0,0,0,0,0,0,0.00179467
0.191841,22.0088,0.000831936,0,0,0,0,0,0,0,0.000831936,3.77988e-05,0,0,0,0,0,0,0,0.00191841
0.204627,23.6705,0.000637216,0,0,0,0,0,0,0,0.000637216,2.69195e-05,0,0,0,0,0,0,0,0.00204627
0.217825,25.4486,0.000487895,0,0,0,0,0,0,0,0.000487895,1.91714e-05,0,0,0,0,0,0,0,0.00217825
0.231436,27.3503,0.000373428,0,0,0,0,0,0,0,0.000373428,1.36533e-05,0,0,0,0,0,0,0,0.00231436
0.245459,29.3835,0.000285714,0,0,0,0,0,0,0,0.000285714,9.72352e-06,0,0,0,0,0,0,0,0.00245459
0.259895,31.5565,0.000218525,0,0,0,0,0,0,0,0.000218525,6.92484e-06,0,0,0,0,0,0,0,0.00259895
0.274743,33.8779,0.000167075,0,0,0,0,0,0,0,0.000167075,4.93167e-06,0,0,0,0,0,0,0,0.00274743
0.290004,36.3569,0.000127692,0,0,0,0,0,0,0,0.000127692,3.51218e-06,0,0,0,0,0,0,0,0.00290004
0.305677,39.0032,9.75571e-05,0,0,0,0,0,0,0,9.75571e-05,2.50125e-06,0,0,0,0,0,0,0,0.00305677
0.321762,41.827,7.45071e-05,0,0,0,0,0,0,0,7.45071e-05,1.78131e-06,0,0,0,0,0,0,0,0.00321762
0.33826,44.8391,5.68828e-05,0,0,0,0,0,0,0,5.68828e-05,1.2686e-06,0,0,0,0,0,0,0,0.0033826
0.355171,48.0506,4.3412e-05,0,0,0,0,0,0,0,4.3412e-05,9.03463e-07,0,0,0,0,0,0,0,0.00355171
0.372494,51.4736,3.31194e-05,0,0,0,0,0,0,0,3.31194e-05,6.43425e-07,0,0,0,0,0,0,0,0.00372494
0.390229,55.1205,2.52579e-05,0,0,0,0,0,0,0,2.52579e-05,4.58229e-07,0,0,0,0,0,0,0,0.00390229
0.408377,59.0045,1.92553e-05,0,0,0,0,0,0,0,1.92553e-05,3.26336e-07,0,0,0,0,0,0,0,0.00408377
0.426937,63.1393,1.46739e-05,0,0,0,0,0,0,0,1.46739e-05,2.32405e-07,0,0,0,0,0,0,0,0.00426937
0.44591,67.5394,1.11785e-05,0,0,0,0,0,0,0,1.11785e-05,1.6551e-07,0,0,0,0,0,0,0,0.0044591
0.465295,72.2201,8.51263e-06,0,0,0,0,0,0,0,8.51263e-06,1.17871e-07,0,0,0,0,0,0,0,0.00465295
0.485092,77.1972,6.48027e-06,0,0,0,0,0,0,0,6.48027e-06,8.39444e-08,0,0,0,0,0,0,0,0.00485092
0.505303,82.4875,4.93137e-06,0,0,0,0,0,0,0,4.93137e-06,5.97832e-08,0,0,0,0,0,0,0,0.00505303
0.525925,88.1085,3.75131e-06,0,0,0,0,0,0,0,3.75131e-06,4.2576e-08,0,0,0,0,0,0,0,0.00525925
0.54696,94.0786,2.85257e-06,0,0,0,0,0,0,0,2.85257e-06,3.03212e-08,0,0,0,0,0,0,0,0.0054696
0.568407,100.417,2.16837e-06,0,0,0,0,0,0,0,2.16837e-06,2.15937e-08,0,0,0,0,0,0,0,0.00568407
0.590267,107.143,1.6477e-06,0,0,0,0,0,0,0,1.6477e-06,1.53785e-08,0,0,0,0,0,0,0,0.00590267
0.612539,114.279,1.25161e-06,0,0,0,0,0,0,0,1.25161e-06,1.09523e-08,0,0,0,0,0,0,0,0.00612539
0.635224,121.846,9.50375e-07,0,0,0,0,0,0,0,9.50375e-07,7.7998e-09,0,0,0,0,0,0,0,0.00635224
0.658321,129.867,7.21362e-07,0,0,0,0,0,0,0,7.21362e-07,5.55461e-09,0,0,0,0,0,0,0,0.00658321
0.681831,138.366,5.47336e-07,0,0,0,0,0,0,0,5.47336e-07,3.95571e-09,0,0,0,0,0,0,0,0.00681831
0.705753,147.368,4.15171e-07,0,0,0,0,0,0,0,4.15171e-07,2.81724e-09,0,0,0,0,0,0,0,0.00705753
0.730088,156.899,3.1482e-07,0,0,0,0,0,0,0,3.1482e-07,2.00651e-09,0,0,0,0,0,0,0,0.00730088
0.754835,166.986,2.3862e-07,0,0,0,0,0,0,0,2.3862e-07,1.42898e-09,0,0,0,0,0,0,0,0.00754835
0.779994,177.657,1.80783e-07,0,0,0,0,0,0,0,1.80783e-07,1.01759e-09,0,0,0,0,0,0,0,0.00779994
0.805566,188.942,1.36913e-07,0,0,0,0,0,0,0,1.36913e-07,7.24627e-10,0,0,0,0,0,0,0,0.00805566
0.83155,200.871,1.03665e-07,0,0,0,0,0,0,0,1.03665e-07,5.16079e-10,0,0,0,0,0,0,0,0.0083155
