t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,1,9.03703e-28,4.338e-33,8.68155e-34,8.87512e-36,9.06972e-38,2.64249e-34,6.81855e-36,9.4723e-35
1,0.999987,8.89591e-28,5.11187e-31,1.13535e-31,4.86274e-34,1.01881e-34,3.23148e-32,7.25992e-34,1.11505e-32
2,0.999954,8.94576e-28,1.84381e-30,4.40424e-31,5.02923e-34,1.56107e-33,1.17827e-31,2.14338e-33,3.80004e-32
3,0.999899,8.81386e-28,3.79773e-30,1.00905e-30,4.75296e-34,7.67944e-33,2.54127e-31,3.46901e-33,7.47501e-32
4,0.999824,8.8998e-28,6.61976e-30,1.83095e-30,3.86033e-33,2.33656e-32,4.34808e-31,4.26394e-33,1.14802e-31
5,0.999727,8.85415e-28,9.28794e-30,2.91205e-30,1.67682e-32,5.43999e-32,6.49527e-31,5.14724e-33,1.53222e-31
6,0.999608,9.18626e-28,1.24387e-29,4.24157e-30,4.81302e-32,1.06697e-31,8.84286e-31,8.47601e-33,1.87792e-31
7,0.999467,9.22907e-28,1.5587e-29,5.8414e-30,1.07516e-31,1.85566e-31,1.12224e-30,1.87313e-32,2.18372e-31
8,0.999303,9.57272e-28,1.92825e-29,7.55356e-30,2.03119e-31,2.95699e-31,1.34521e-30,4.23645e-32,2.45213e-31
9,0.999117,9.64229e-28,2.27719e-29,9.55349e-30,3.41346e-31,4.40394e-31,1.53473e-30,8.69824e-32,2.67286e-31
10,0.998907,9.88748e-28,2.4617e-29,1.17349e-29,5.20813e-31,6.19752e-31,1.67384e-30,1.59913e-31,2.81588e-31
11,0.998672,9.57897e-28,2.81799e-29,1.43159e-29,7.21574e-31,8.33015e-31,1.74914e-30,2.66593e-31,2.83709e-31
12,0.998413,9.74659e-28,3.21841e-29,1.68897e-29,9.70373e-31,1.07306e-30,1.74832e-30,4.08711e-31,2.69482e-31
13,0.998128,9.83782e-28,3.45513e-29,1.94763e-29,1.20927e-30,1.3335e-30,1.67041e-30,5.82303e-31,2.37019e-31
14,0.997817,9.65564e-28,3.7586e-29,2.26307e-29,1.44198e-30,1.60891e-30,1.51804e-30,7.77767e-31,1.88485e-31
15,0.997478,9.86994e-28,3.91046e-29,2.59863e-29,1.61268e-30,1.86569e-30,1.3147e-30,9.78016e-31,1.3108e-31
16,0.99711,9.68553e-28,3.86544e-29,3.01075e-29,1.60859e-30,2.11297e-30,1.09053e-30,1.16332e-30,7.69887e-32
17,0.996712,9.4222e-28,4.26382e-29,3.37494e-29,1.64398e-30,2.30243e-30,8.95562e-31,1.30881e-30,4.12604e-32
18,0.996284,9.39636e-28,4.09531e-29,3.73236e-29,1.71006e-30,2.47284e-30,7.81738e-31,1.39117e-30,3.97877e-32
19,0.995823,9.66456e-28,4.11159e-29,4.03067e-29,1.44791e-30,2.60632e-30,7.86588e-31,1.40069e-30,8.57989e-32
20,0.995329,9.15091e-28,4.24227e-29,4.57367e-29,1.42279e-30,2.67384e-30,9.33537e-31,1.32976e-30,1.88943e-31
21,0.9948,8.83918e-28,4.46636e-29,5.0077e-29,1.27207e-30,2.68021e-30,1.20102e-30,1.17862e-30,3.52078e-31
22,0.994234,9.24978e-28,4.22898e-29,5.27871e-29,1.42323e-30,2.67897e-30,1.56512e-30,9.85171e-31,5.73004e-31
23,0.993629,8.86871e-28,5.06263e-29,5.85874e-29,1.62567e-30,2.69156e-30,1.97998e-30,7.75526e-31,8.47503e-31
24,0.992984,8.94367e-28,5.19705e-29,6.04887e-29,2.2114e-30,2.78422e-30,2.35552e-30,5.76307e-31,1.16415e-30
25,0.992297,8.81051e-28,5.09669e-29,6.74604e-29,3.04103e-30,2.92773e-30,2.69373e-30,4.26085e-31,1.52512e-30
26,0.991565,8.81799e-28,5.50324e-29,6.96808e-29,3.934e-30,3.02884e-30,2.8633e-30,3.17491e-31,1.9335e-30
27,0.990787,8.30576e-28,6.15666e-29,7.44802e-29,5.54793e-30,3.39863e-30,2.86914e-30,2.86227e-31,2.38828e-30
28,0.98996,8.44058e-28,7.00236e-29,7.71521e-29,6.98904e-30,3.77922e-30,2.8497e-30,3.39703e-31,2.93416e-30
29,0.989082,8.41704e-28,5.48786e-29,8.2354e-29,9.8797e-30,4.05318e-30,2.84441e-30,4.28024e-31,3.61795e-30
30,0.98815,8.14158e-28,7.36698e-29,8.32202e-29,1.09258e-29,4.5121e-30,2.85825e-30,5.7713e-31,4.49777e-30
31,0.987162,8.0926e-28,7.70712e-29,8.73186e-29,1.31078e-29,4.9069e-30,2.9333e-30,7.10304e-31,5.64698e-30
32,0.986115,7.7247e-28,8.42932e-29,8.57125e-29,1.60475e-29,5.34001e-30,3.56458e-30,8.70257e-31,7.04797e-30
33,0.985006,7.93115e-28,8.44853e-29,8.31835e-29,1.70087e-29,5.73331e-30,4.41289e-30,9.75633e-31,8.60006e-30
34,0.983832,7.96391e-28,8.5452e-29,8.7485e-29,1.59566e-29,5.93318e-30,5.71572e-30,1.12768e-30,1.09365e-29
35,0.982591,7.7078e-28,8.41423e-29,8.16834e-29,1.66378e-29,6.3502e-30,7.40068e-30,1.22617e-30,1.3417e-29
36,0.98128,7.19593e-28,8.02074e-29,8.15924e-29,1.57252e-29,6.98284e-30,9.40043e-30,1.2678e-30,1.66151e-29
37,0.979897,7.56054e-28,9.12548e-29,8.04777e-29,1.3783e-29,7.35082e-30,1.18726e-29,1.51751e-30,1.94949e-29
38,0.978437,7.49551e-28,8.85928e-29,7.94487e-29,1.28808e-29,7.88747e-30,1.4458e-29,1.69177e-30,2.30925e-29
39,0.9769,7.3155e-28,8.36863e-29,8.03705e-29,1.17064e-29,9.28288e-30,1.68429e-29,1.68434e-30,2.70387e-29
40,0.975282,7.09294e-28,6.66508e-29,7.75359e-29,1.0819e-29,9.98037e-30,1.9121e-29,1.83714e-30,3.07235e-29
41,0.973582,6.34919e-28,7.53341e-29,8.61148e-29,1.19356e-29,1.13958e-29,2.29262e-29,1.79802e-30,3.46826e-29
