t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,1,1.99073e-25,9.18087e-31,1.67663e-33,7.43444e-34,1.9819e-36,1.51857e-33,1.39575e-34,6.74248e-32
1,1.00005,2.04395e-25,1.09097e-28,4.95236e-31,1.53668e-31,1.78937e-34,1.88788e-31,1.20154e-31,7.90717e-30
2,1.00018,2.0946e-25,3.89343e-28,2.70872e-30,1.01615e-30,4.90088e-33,1.33943e-30,1.0781e-30,2.6131e-29
3,1.0004,2.13543e-25,8.38299e-28,6.65934e-30,3.36484e-30,2.95384e-32,4.85251e-30,4.0463e-30,4.83613e-29
4,1.0007,2.13526e-25,1.43026e-27,1.05937e-29,7.60452e-30,1.06695e-31,1.10757e-29,1.00581e-29,6.74339e-29
5,1.00109,2.06755e-25,2.25645e-27,1.27763e-29,1.34478e-29,2.67138e-31,1.81582e-29,1.94787e-29,7.83799e-29
6,1.00157,2.05832e-25,3.29041e-27,1.62131e-29,2.05943e-29,4.75965e-31,2.27669e-29,3.17131e-29,7.99769e-29
7,1.00213,2.02317e-25,4.53458e-27,2.85974e-29,3.00778e-29,5.94929e-31,2.21873e-29,4.52207e-29,7.43578e-29
8,1.00279,1.99577e-25,6.05773e-27,6.16563e-29,4.49312e-29,4.69541e-31,1.62709e-29,5.78304e-29,6.52874e-29
9,1.00354,1.87193e-25,7.81908e-27,1.24173e-28,6.9863e-29,2.24312e-31,7.82756e-30,6.7278e-29,5.63012e-29
10,1.00439,1.87099e-25,9.85388e-27,2.31104e-28,1.08446e-28,6.33413e-31,1.29606e-30,7.18262e-29,4.96816e-29
11,1.00533,1.87092e-25,1.11747e-26,3.82921e-28,1.58397e-28,3.18484e-30,7.3426e-31,7.0728e-29,4.65099e-29
12,1.00639,1.84811e-25,1.27947e-26,5.74847e-28,2.16643e-28,9.57598e-30,8.36557e-30,6.44205e-29,4.73158e-29
13,1.00755,1.81314e-25,1.3699e-26,7.93242e-28,2.77251e-28,2.09533e-29,2.42436e-29,5.42324e-29,5.2568e-29
14,1.00882,1.81963e-25,1.47111e-26,1.1082e-27,3.15487e-28,3.60777e-29,4.69593e-29,4.20505e-29,6.252e-29
15,1.01021,1.80452e-25,1.55317e-26,1.47461e-27,3.42773e-28,5.3006e-29,7.49687e-29,2.96315e-29,7.64555e-29
16,1.01173,1.9043e-25,1.66501e-26,1.89093e-27,3.59083e-28,6.51612e-29,1.06273e-28,1.84291e-29,9.20287e-29
17,1.01338,1.86295e-25,1.79995e-26,2.36621e-27,3.60517e-28,7.28096e-29,1.38759e-28,9.67021e-30,1.05257e-28
18,1.01516,1.77335e-25,2.03073e-26,2.91172e-27,3.58473e-28,7.25059e-29,1.6843e-28,3.89446e-30,1.11405e-28
19,1.01709,1.73065e-25,2.24019e-26,3.44971e-27,3.55378e-28,6.93186e-29,1.92277e-28,1.13316e-30,1.07125e-28
20,1.01916,1.73894e-25,2.39919e-26,4.13026e-27,3.50948e-28,7.21563e-29,2.00641e-28,9.5048e-31,9.26828e-29
21,1.0214,1.75792e-25,2.85787e-26,5.00396e-27,3.42969e-28,8.93556e-29,1.89171e-28,2.3698e-30,7.25475e-29
