t,Norm_0,AvgX_0,Norm_1,AvgX_1
0,0.999996,0.0463753,4.11022e-06,1.90613e-07
1,0.999503,0.509876,0.00049725,0.000253662
2,0.998189,0.972119,0.00181145,0.00176414
3,0.996056,1.43196,0.00394441,0.00567061
4,0.993108,1.88828,0.0068924,0.0131051
5,0.98935,2.33994,0.0106503,0.0251893
6,0.984789,2.78583,0.0152115,0.0430313
7,0.979432,3.22488,0.0205681,0.0677224
8,0.973289,3.65599,0.0267106,0.100334
9,0.966372,4.07813,0.0336285,0.141914
10,0.958691,4.49027,0.0413095,0.193483
11,0.95026,4.89141,0.0497403,0.256036
12,0.941094,5.28061,0.0589062,0.330531
13,0.931209,5.65692,0.068791,0.417893
14,0.920622,6.01947,0.0793777,0.519009
15,0.909352,6.3674,0.0906477,0.634726
16,0.897419,6.69991,0.102581,0.765847
17,0.884842,7.01625,0.115158,0.913127
18,0.871645,7.3157,0.128355,1.07728
19,0.85785,7.5976,0.14215,1.25896
20,0.843482,7.86135,0.156518,1.45877
21,0.828565,8.1064,0.171435,1.67726
22,0.813125,8.33225,0.186875,1.91494
23,0.79719,8.53846,0.20281,2.17223
24,0.780788,8.72465,0.219212,2.44952
25,0.763946,8.89051,0.236054,2.74711
26,0.746694,9.03578,0.253306,3.06526
27,0.729063,9.16028,0.270937,3.40417
28,0.711084,9.26387,0.288916,3.76395
29,0.692787,9.3465,0.307213,4.14467
30,0.674204,9.40818,0.325796,4.54631
31,0.655369,9.44896,0.344631,4.96881
32,0.636314,9.46901,0.363686,5.41203
33,0.617072,9.46851,0.382928,5.87575
34,0.597677,9.44775,0.402323,6.35971
35,0.578163,9.40706,0.421837,6.86355
36,0.558563,9.34685,0.441437,7.38689
37,0.538913,9.26759,0.461087,7.92924
38,0.519246,9.16982,0.480754,8.49006
39,0.499597,9.05413,0.500403,9.06875
40,0.48,8.9212,0.52,9.66466
41,0.460489,8.77176,0.539511,10.277
42,0.441098,8.60657,0.558902,10.9051
43,0.421862,8.4265,0.578138,11.548
44,0.402814,8.23245,0.597186,12.2049
45,0.383987,8.02536,0.616013,12.8748
46,0.365413,7.80626,0.634587,13.5566
47,0.347127,7.57621,0.652873,14.2493
48,0.329158,7.33632,0.670842,14.9518
49,0.31154,7.08775,0.68846,15.663
50,0.294301,6.83169,0.705699,16.3816
51,0.277474,6.5694,0.722526,17.1063
52,0.261087,6.30215,0.738913,17.836
53,0.245168,6.03126,0.754832,18.5693
54,0.229745,5.75808,0.770255,19.3048
55,0.214847,5.48398,0.785153,20.0411
56,0.200497,5.21038,0.799503,20.777
57,0.186722,4.9387,0.813278,21.5108
58,0.173545,4.67039,0.826455,22.2412
59,0.160991,4.4069,0.839009,22.9668
60,0.149079,4.14971,0.850921,23.6859
61,0.137832,3.90031,0.862168,24.3973
62,0.127269,3.66018,0.872731,25.0993
63,0.117408,3.4308,0.882592,25.7904
64,0.108267,3.21368,0.891733,26.4693
65,0.0998609,3.01027,0.900139,27.1344
66,0.0922055,2.82207,0.907795,27.7842
67,0.0853137,2.65051,0.914686,28.4173
68,0.0791975,2.49704,0.920802,29.0323
69,0.0738677,2.36308,0.926132,29.6276
70,0.0693335,2.25002,0.930666,30.202
71,0.0656029,2.15921,0.934397,30.7541
