t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,0.999996,0.0463753,4.1102e-06,1.90612e-07,1.68939e-11,7.83463e-13
1,0.999503,0.509876,0.00049692,0.000253494,2.47237e-07,1.26123e-07
2,0.99819,0.97212,0.00180707,0.00175988,3.28035e-06,3.19468e-06
3,0.996061,1.43197,0.00392367,0.00564081,1.55481e-05,2.23525e-05
4,0.993123,1.88831,0.00682912,0.0129848,4.74505e-05,9.02215e-05
5,0.989387,2.34003,0.0104993,0.0248321,0.000113226,0.000267795
6,0.984866,2.78605,0.0149037,0.0421605,0.0002308,0.000652901
7,0.979573,3.22534,0.0200057,0.0658707,0.000421584,0.00138811
8,0.973527,3.65688,0.0257631,0.0967745,0.000710251,0.00266793
9,0.966747,4.07972,0.0321281,0.135582,0.00112446,0.00474527
10,0.959257,4.49292,0.0390481,0.182892,0.00169455,0.00793686
11,0.951081,4.89564,0.0464658,0.239181,0.00245322,0.0126278
12,0.942245,5.28706,0.0543201,0.304798,0.00343514,0.0192751
13,0.932777,5.66645,0.0625463,0.379957,0.00467659,0.0284094
14,0.922708,6.03311,0.0710766,0.464733,0.00621504,0.0406369
15,0.91207,6.38643,0.0798412,0.559058,0.00808871,0.0566381
16,0.900896,6.72587,0.0887683,0.662723,0.0103361,0.0771671
17,0.889219,7.05095,0.0977852,0.775376,0.0129958,0.103048
18,0.877076,7.36128,0.106819,0.896526,0.0161054,0.135172
19,0.864503,7.65652,0.115795,1.02555,0.0197018,0.174491
20,0.851536,7.93642,0.124643,1.16169,0.0238204,0.222009
21,0.838214,8.20081,0.133291,1.30408,0.0284944,0.278779
22,0.824574,8.44957,0.141671,1.45173,0.0337548,0.345891
23,0.810655,8.68267,0.149716,1.60356,0.0396298,0.424462
24,0.796493,8.90014,0.157363,1.7584,0.0461443,0.515624
25,0.782127,9.10209,0.164554,1.91501,0.0533197,0.620515
26,0.767594,9.28869,0.171233,2.07209,0.0611736,0.740264
27,0.752931,9.46016,0.17735,2.22831,0.069719,0.875981
28,0.738174,9.6168,0.182861,2.38228,0.0789647,1.02874
29,0.723359,9.75896,0.187727,2.53265,0.0889146,1.19956
30,0.708519,9.88702,0.191914,2.67806,0.0995674,1.38941
31,0.693688,10.0014,0.195395,2.81716,0.110917,1.59918
32,0.678898,10.1027,0.19815,2.94868,0.122952,1.82965
33,0.66418,10.1913,0.200166,3.0714,0.135654,2.08152
34,0.649562,10.2679,0.201435,3.18417,0.149003,2.35536
35,0.635074,10.333,0.201957,3.28596,0.162969,2.65161
36,0.62074,10.3873,0.201739,3.37585,0.177521,2.97058
37,0.606587,10.4314,0.200795,3.45304,0.192618,3.31242
38,0.592636,10.4659,0.199146,3.51689,0.208219,3.67712
39,0.578909,10.4915,0.196818,3.56691,0.224273,4.06448
40,0.565426,10.5089,0.193844,3.60277,0.240729,4.47416
41,0.552206,10.5189,0.190265,3.62432,0.257529,4.90562
42,0.539263,10.5219,0.186125,3.63162,0.274611,5.35813
43,0.526615,10.5189,0.181475,3.62489,0.29191,5.83077
44,0.514272,10.5104,0.176371,3.60455,0.309357,6.32244
