t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
0,0.999996,0.0463753,4.1102e-06,1.90612e-07,1.68938e-11,7.83458e-13,6.94376e-17,3.2202e-18
1,0.999503,0.509876,0.00049692,0.000253494,2.47053e-07,1.26029e-07,1.22924e-10,6.27074e-11
2,0.99819,0.97212,0.00180708,0.00175988,3.27144e-06,3.186e-06,5.93966e-09,5.78454e-09
3,0.996061,1.43197,0.00392371,0.00564086,1.54562e-05,2.22204e-05,6.12715e-08,8.8086e-08
4,0.993123,1.88831,0.00682932,0.0129852,4.69608e-05,8.92904e-05,3.26521e-07,6.20841e-07
5,0.989387,2.34003,0.0105,0.0248338,0.000111422,0.000263528,1.20289e-06,2.84499e-06
6,0.984865,2.78605,0.0149058,0.0421664,0.000225554,0.000638061,3.4983e-06,9.89623e-06
7,0.979572,3.22534,0.0200109,0.0658878,0.000408645,0.0013455,8.62936e-06,2.8413e-05
8,0.973525,3.65687,0.0257744,0.096817,0.000681986,0.00256176,1.88523e-05,7.08153e-05
9,0.966744,4.0797,0.0321506,0.135677,0.00106822,0.00450793,3.75148e-05,0.000158314
10,0.95925,4.49289,0.0390897,0.183087,0.00159065,0.00745019,6.93199e-05,0.000324677
11,0.951069,4.89558,0.0465383,0.239554,0.00227249,0.0116975,0.000120591,0.000620739
12,0.942224,5.28695,0.05444,0.305471,0.00313616,0.0175974,0.000199532,0.0011196
13,0.932745,5.66625,0.0627365,0.381112,0.00420249,0.0255294,0.000316462,0.00192245
14,0.922658,6.03278,0.0713676,0.466635,0.00549005,0.0358966,0.00048403,0.00316482
15,0.911996,6.38591,0.0802726,0.562079,0.00701444,0.049116,0.000717386,0.00502322
16,0.900787,6.72506,0.0893905,0.667368,0.00878769,0.0656068,0.0010343,0.00772187
17,0.889066,7.04974,0.0986609,0.782319,0.0108177,0.0857777,0.00145525,0.0115393
18,0.876864,7.3595,0.108025,0.906647,0.0131078,0.110014,0.00200341,0.0168145
19,0.864215,7.65397,0.117424,1.03997,0.0156565,0.138662,0.00270456,0.0239531
20,0.851152,7.93284,0.126804,1.18183,0.0184569,0.172021,0.00358704,0.0334316
