t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
0,0.999996,0.0463753,4.1102e-06,1.90612e-07,1.68938e-11,7.83458e-13,6.94372e-17,3.22018e-18,2.85402e-22,1.32359e-23
1,0.999503,0.509876,0.00049692,0.000253494,2.47053e-07,1.26029e-07,1.22827e-10,6.26575e-11,6.1116e-14,3.11771e-14
2,0.99819,0.97212,0.00180708,0.00175988,3.27145e-06,3.18601e-06,5.92246e-09,5.76778e-09,1.07542e-11,1.04733e-11
3,0.996061,1.43197,0.00392371,0.00564086,1.54564e-05,2.22206e-05,6.08853e-08,8.75308e-08,2.41425e-10,3.47081e-10
4,0.993123,1.88831,0.00682932,0.0129852,4.69626e-05,8.92938e-05,3.22928e-07,6.14011e-07,2.24637e-09,4.27122e-09
5,0.989387,2.34003,0.0105,0.0248338,0.000111433,0.000263552,1.18246e-06,2.79668e-06,1.27747e-08,3.02138e-08
6,0.984865,2.78605,0.0149057,0.0421664,0.000225596,0.000638181,3.41359e-06,9.65659e-06,5.29981e-08,1.49925e-07
7,0.979572,3.22534,0.0200108,0.0658877,0.000408786,0.00134597,8.34732e-06,2.74844e-05,1.76513e-07,5.81187e-07
8,0.973525,3.65688,0.0257743,0.0968166,0.000682385,0.00256326,1.80538e-05,6.78158e-05,4.99958e-07,1.878e-06
9,0.966744,4.0797,0.0321503,0.135676,0.00106922,0.00451214,3.5519e-05,0.000149892,1.25021e-06,5.27593e-06
10,0.95925,4.49289,0.0390891,0.183083,0.00159291,0.00746078,6.48015e-05,0.000303514,2.83187e-06,1.32638e-05
11,0.951069,4.89558,0.0465369,0.239546,0.00227721,0.0117218,0.000111154,0.00057216,5.91821e-06,3.04637e-05
12,0.942225,5.28695,0.0544373,0.305455,0.00314538,0.0176492,0.000181098,0.00101616,1.15677e-05,6.49079e-05
13,0.932745,5.66625,0.0627315,0.381082,0.00421951,0.0256327,0.000282436,0.00171575,2.1367e-05,0.000129801
14,0.922659,6.03279,0.0713588,0.466578,0.00551998,0.0360922,0.000424201,0.00277363,3.76e-05,0.000245847
15,0.911997,6.38592,0.0802577,0.561974,0.00706489,0.0494693,0.000616527,0.004317,6.344e-05,0.000444215
16,0.900791,6.72508,0.0893661,0.667186,0.00886966,0.0662187,0.000870448,0.00649855,0.000103161,0.000770178
17,0.889071,7.04978,0.0986223,0.782013,0.0109466,0.0867996,0.00119762,0.00949639,0.000162365,0.00128745
18,0.876872,7.35957,0.107965,0.906149,0.0133046,0.111665,0.00160999,0.0135126,0.000248207,0.00208319
19,0.864227,7.65407,0.117335,1.03918,0.0159492,0.141255,0.00211937,0.0187704,0.000369626,0.00327361
20,0.851169,7.933,0.126674,1.18062,0.0188821,0.175984,0.00273705,0.0255096,0.000537554,0.00501007
21,0.837734,8.19611,0.135926,1.32986,0.0221016,0.216235,0.00347326,0.0339812,0.000765102,0.00748551
22,0.823955,8.44322,0.145039,1.48624,0.0256023,0.262351,0.00433675,0.0444395,0.00106771,0.010941
23,0.809866,8.67422,0.153961,1.64903,0.0293755,0.314632,0.00533432,0.0571342,0.00146322,0.0156721
24,0.795501,8.88906,0.162647,1.81744,0.0334098,0.373326,0.00647037,0.072301,0.00197195,0.0220349
25,0.780894,9.08774,0.171053,1.99064,0.0376906,0.438629,0.00774659,0.0901518,0.00261663,0.0304513
26,0.766077,9.27033,0.179138,2.16776,0.0422014,0.510681,0.00916158,0.110865,0.00342228,0.0414131
27,0.751083,9.43694,0.186867,2.34788,0.0469234,0.589567,0.0107107,0.134575,0.00441602,0.0554848
28,0.735943,9.58773,0.194208,2.5301,0.0518367,0.675319,0.0123861,0.161364,0.00562677,0.0733046
29,0.720688,9.72292,0.201131,2.71349,0.05692,0.767917,0.0141765,0.191258,0.00708486,0.0955831
30,0.705347,9.84276,0.207612,2.89713,0.0621516,0.867293,0.0160675,0.224214,0.00882158,0.123101
31,0.68995,9.94754,0.213631,3.08008,0.0675094,0.973336,0.0180418,0.260123,0.0108686,0.156701
32,0.674523,10.0376,0.219168,3.26145,0.0729718,1.0859,0.0200797,0.298807,0.0132574,0.197283
33,0.659094,10.1133,0.224211,3.44036,0.0785173,1.20479,0.0221595,0.340021,0.0160184,0.24579
34,0.643687,10.175,0.228749,3.61594,0.0841254,1.32981,0.0242581,0.38346,0.0191805,0.303195
35,0.628326,10.2233,0.232775,3.78739,0.0897766,1.46072,0.0263518,0.42876,0.0227704,0.370488
36,0.613036,10.2584,0.236284,3.95391,0.0954526,1.59728,0.0284168,0.475519,0.0268113,0.448653
37,0.597836,10.2809,0.239275,4.11477,0.101137,1.73923,0.0304302,0.523303,0.0313228,0.538652
38,0.582747,10.2912,0.24175,4.26927,0.106813,1.8863,0.0323706,0.571661,0.0363198,0.641403
39,0.567788,10.29,0.243713,4.41678,0.112468,2.03825,0.0342189,0.620145,0.0418122,0.757759
40,0.552977,10.2776,0.24517,4.5567,0.118089,2.19479,0.035959,0.668329,0.0478042,0.888482
41,0.538331,10.2546,0.246132,4.68851,0.123666,2.35568,0.0375782,0.71582,0.0542936,1.03423
42,0.523863,10.2215,0.246609,4.81175,0.129188,2.52067,0.039068,0.762283,0.0612721,1.19552
43,0.509589,10.1788,0.246615,4.92602,0.134648,2.68952,0.0404241,0.807452,0.0687245,1.37274
44,0.49552,10.1271,0.246166,5.03098,0.140038,2.86201,0.0416465,0.851145,0.0766291,1.5661
45,0.481668,10.0669,0.24528,5.12637,0.145354,3.03791,0.0427403,0.893277,0.0849577,1.77563
46,0.468043,9.99873,0.243976,5.21202,0.15059,3.21704,0.0437145,0.933865,0.0936757,2.00118
47,0.454654,9.92305,0.242277,5.28781,0.155744,3.39919,0.0445824,0.973033,0.102743,2.24241
48,0.441508,9.84039,0.240205,5.35372,0.160813,3.58421,0.045361,1.01101,0.112113,2.4988
49,0.428612,9.75122,0.237787,5.40982,0.165794,3.77194,0.0460702,1.04813,0.121737,2.76961
50,0.415971,9.65602,0.235049,5.45624,0.170688,3.96222,0.0467325,1.08481,0.13156,3.05394
51,0.403589,9.55525,0.23202,5.49323,0.175494,4.15495,0.0473717,1.12156,0.141526,3.35073
52,0.391469,9.44935,0.22873,5.52113,0.180213,4.35001,0.0480122,1.15893,0.151575,3.65874
53,0.379615,9.33872,0.225213,5.54036,0.184846,4.54731,0.0486782,1.19751,0.161648,3.97662
54,0.368026,9.22378,0.221502,5.55147,0.189395,4.74678,0.0493926,1.23792,0.171684,4.3029
55,0.356703,9.10489,0.217632,5.55509,0.193862,4.94836,0.0501763,1.28076,0.181626,4.63603
