t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
0,0.999996,0.0463753,4.1102e-06,1.90612e-07,1.68938e-11,7.83458e-13,6.94372e-17,3.22018e-18,2.85402e-22,1.32355e-23,1.17305e-27,5.43967e-29
1,0.999503,0.509876,0.00049692,0.000253494,2.47053e-07,1.26029e-07,1.22827e-10,6.26575e-11,6.10653e-14,3.11513e-14,3.03856e-17,1.55006e-17
2,0.99819,0.97212,0.00180708,0.00175988,3.27145e-06,3.18601e-06,5.92248e-09,5.7678e-09,1.07217e-11,1.04417e-11,1.94706e-14,1.8962e-14
3,0.996061,1.43197,0.00392371,0.00564086,1.54564e-05,2.22206e-05,6.08862e-08,8.75321e-08,2.39841e-10,3.44803e-10,9.51206e-13,1.36749e-12
4,0.993123,1.88831,0.00682932,0.0129852,4.69626e-05,8.92938e-05,3.22943e-07,6.14038e-07,2.22064e-09,4.22229e-09,1.54524e-11,2.93809e-11
5,0.989387,2.34003,0.0105,0.0248338,0.000111433,0.000263552,1.18259e-06,2.79698e-06,1.25489e-08,2.96797e-08,1.3564e-10,3.20805e-10
6,0.984865,2.78605,0.0149057,0.0421664,0.000225596,0.00063818,3.41435e-06,9.65875e-06,5.16626e-08,1.46147e-07,8.02675e-10,2.27066e-09
7,0.979572,3.22534,0.0200108,0.0658877,0.000408784,0.00134596,8.35074e-06,2.74956e-05,1.70512e-07,5.61427e-07,3.60918e-09,1.18836e-08
8,0.973525,3.65688,0.0257743,0.0968166,0.00068238,0.00256324,1.80663e-05,6.7863e-05,4.77937e-07,1.79529e-06,1.32522e-08,4.97794e-08
9,0.966744,4.0797,0.0321504,0.135676,0.0010692,0.00451208,3.55584e-05,0.000150058,1.18107e-06,4.98418e-06,4.16381e-08,1.75714e-07
10,0.95925,4.49289,0.0390891,0.183084,0.00159286,0.00746058,6.49109e-05,0.000304026,2.64011e-06,1.23656e-05,1.156e-07,5.41442e-07
11,0.951069,4.89558,0.0465369,0.239547,0.00227711,0.0117213,0.000111428,0.000573572,5.43734e-06,2.79884e-05,2.90182e-07,1.4937e-06
12,0.942225,5.28695,0.0544374,0.305456,0.00314514,0.0176478,0.00018173,0.00101971,1.04588e-05,5.86858e-05,6.69915e-07,3.75899e-06
13,0.932745,5.66625,0.0627316,0.381083,0.00421899,0.0256296,0.000283793,0.00172399,1.89849e-05,0.000115329,1.4409e-06,8.75319e-06
14,0.922659,6.03279,0.071359,0.466579,0.00551892,0.0360853,0.000426944,0.00279156,3.27844e-05,0.00021436,2.91672e-06,1.90709e-05
15,0.911997,6.38592,0.0802581,0.561977,0.00706285,0.0494549,0.000621784,0.00435381,5.42055e-05,0.000379553,5.60128e-06,3.92209e-05
16,0.900791,6.72508,0.089367,0.667192,0.0088659,0.0661906,0.000880067,0.00657036,8.62546e-05,0.000643956,1.02712e-05,7.66823e-05
17,0.889071,7.04978,0.0986238,0.782025,0.0109399,0.0867469,0.00121451,0.00963034,0.000132655,0.00105187,1.808e-05,0.000143363
18,0.876872,7.35956,0.107968,0.906171,0.0132933,0.111571,0.00163859,0.0137526,0.000197875,0.00166076,3.06854e-05,0.000257542
19,0.864226,7.65407,0.117339,1.03922,0.0159306,0.14109,0.00216622,0.0191853,0.000287122,0.00254291,5.03989e-05,0.000446361
