t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
0,0.999996,0.0463753,4.1102e-06,1.90612e-07,1.68938e-11,7.83458e-13,6.94372e-17,3.22018e-18,2.85402e-22,1.32353e-23,1.17313e-27,5.44011e-29,1.91048e-32,-1.95169e-33
1,0.999503,0.509876,0.00049692,0.000253494,2.47053e-07,1.26029e-07,1.22827e-10,6.26575e-11,6.10654e-14,3.11513e-14,3.03597e-17,1.54874e-17,1.5107e-20,7.7065e-21
2,0.99819,0.97212,0.00180708,0.00175988,3.27145e-06,3.18601e-06,5.92248e-09,5.7678e-09,1.07218e-11,1.04418e-11,1.94101e-14,1.89032e-14,3.52509e-17,3.43302e-17
3,0.996061,1.43197,0.00392371,0.00564086,1.54564e-05,2.22206e-05,6.08862e-08,8.75321e-08,2.39845e-10,3.44809e-10,9.44785e-13,1.35826e-12,3.74754e-15,5.38759e-15
4,0.993123,1.88831,0.00682932,0.0129852,4.69626e-05,8.92938e-05,3.22943e-07,6.14038e-07,2.22075e-09,4.2225e-09,1.52704e-11,2.90349e-11,1.06286e-13,2.0209e-13
5,0.989387,2.34003,0.0105,0.0248338,0.000111433,0.000263552,1.18259e-06,2.79698e-06,1.25504e-08,2.96834e-08,1.33175e-10,3.14976e-10,1.44003e-12,3.40584e-12
6,0.984865,2.78605,0.0149057,0.0421664,0.000225596,0.00063818,3.41435e-06,9.65873e-06,5.16756e-08,1.46183e-07,7.81887e-10,2.21185e-09,1.21546e-11,3.43838e-11
7,0.979572,3.22534,0.0200108,0.0658877,0.000408784,0.00134596,8.35071e-06,2.74955e-05,1.7059e-07,5.61686e-07,3.4831e-09,1.14685e-08,7.37796e-11,2.42927e-10
8,0.973525,3.65688,0.0257743,0.0968166,0.00068238,0.00256324,1.80662e-05,6.78624e-05,4.78311e-07,1.79669e-06,1.26527e-08,4.75275e-08,3.51162e-10,1.31908e-09
9,0.966744,4.0797,0.0321504,0.135676,0.0010692,0.00451208,3.55578e-05,0.000150055,1.18255e-06,4.9904e-06,3.92741e-08,1.65738e-07,1.38622e-09,5.84992e-09
