t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_7,AvgX_7
0,0.999996,0.0463753,4.1102e-06,1.90612e-07,1.68938e-11,7.83458e-13,6.94372e-17,3.22018e-18,2.85401e-22,1.32357e-23,1.17319e-27,5.44021e-29,4.29322e-33,5.85626e-35,8.90427e-33,-4.31274e-34
1,0.999503,0.509876,0.00049692,0.000253494,2.47053e-07,1.26029e-07,1.22827e-10,6.26575e-11,6.10654e-14,3.11513e-14,3.03597e-17,1.54874e-17,1.50938e-20,7.69982e-21,7.5107e-24,3.83142e-24
2,0.99819,0.97212,0.00180708,0.00175988,3.27145e-06,3.18601e-06,5.92248e-09,5.7678e-09,1.07218e-11,1.04418e-11,1.94102e-14,1.89033e-14,3.51392e-17,3.42215e-17,6.38197e-20,6.21529e-20
3,0.996061,1.43197,0.00392371,0.00564086,1.54564e-05,2.22206e-05,6.08862e-08,8.75321e-08,2.39845e-10,3.44809e-10,9.44803e-13,1.35828e-12,3.72172e-15,5.35047e-15,1.4764e-17,2.12252e-17
4,0.993123,1.88831,0.00682932,0.0129852,4.69626e-05,8.92938e-05,3.22943e-07,6.14038e-07,2.22075e-09,4.2225e-09,1.52712e-11,2.90365e-11,1.05008e-13,1.99661e-13,7.31022e-16,1.38995e-15
5,0.989387,2.34003,0.0105,0.0248338,0.000111433,0.000263552,1.18259e-06,2.79698e-06,1.25504e-08,2.96833e-08,1.33193e-10,3.15018e-10,1.41333e-12,3.3427e-12,1.52868e-14,3.61552e-14
6,0.984865,2.78605,0.0149057,0.0421664,0.000225596,0.00063818,3.41435e-06,9.65873e-06,5.16755e-08,1.46183e-07,7.82101e-10,2.21246e-09,1.18335e-11,3.34754e-11,1.84032e-13,5.20601e-13
7,0.979572,3.22534,0.0200108,0.0658877,0.000408784,0.00134596,8.35071e-06,2.74955e-05,1.7059e-07,5.61683e-07,3.48485e-09,1.14742e-08,7.1151e-11,2.34272e-10,1.50798e-12,4.96518e-12
8,0.973525,3.65688,0.0257743,0.0968166,0.00068238,0.00256324,1.80662e-05,6.78624e-05,4.78306e-07,1.79667e-06,1.26634e-08,4.75679e-08,3.34964e-10,1.25823e-09,9.30336e-12,3.49464e-11
9,0.966744,4.0797,0.0321504,0.135676,0.0010692,0.00451208,3.55578e-05,0.000150055,1.18252e-06,4.99029e-06,3.93273e-08,1.65963e-07,1.306e-09,5.51138e-09,4.61388e-11,1.94708e-10
10,0.95925,4.49289,0.0390891,0.183084,0.00159287,0.00746058,6.49086e-05,0.000304016,2.645e-06,1.23885e-05,1.07788e-07,5.04852e-07,4.38274e-09,2.05277e-08,1.92395e-10,9.01131e-10
11,0.951069,4.89558,0.0465369,0.239547,0.00227711,0.0117213,0.000111422,0.000573537,5.45198e-06,2.80638e-05,2.66795e-07,1.37331e-06,1.30131e-08,6.69844e-08,6.96621e-10,3.58582e-09
12,0.942225,5.28695,0.0544374,0.305456,0.00314514,0.0176478,0.000181712,0.00101961,1.04984e-05,5.89081e-05,6.06638e-07,3.40393e-06,3.48917e-08,1.95782e-07,2.24298e-09,1.25857e-08
13,0.932745,5.66625,0.0627316,0.381083,0.004219,0.0256296,0.000283748,0.00172372,1.90833e-05,0.000115927,1.28374e-06,7.79847e-06,8.5807e-08,5.21261e-07,6.53977e-09,3.97279e-08
14,0.922659,6.03279,0.071359,0.466579,0.00551895,0.0360855,0.000426839,0.00279088,3.30116e-05,0.000215845,2.55404e-06,1.66995e-05,1.95905e-07,1.28092e-06,1.75125e-08,1.14505e-07
15,0.911997,6.38592,0.0802581,0.561977,0.00706292,0.0494554,0.000621555,0.00435221,5.46974e-05,0.000382998,4.81607e-06,3.37227e-05,4.19251e-07,2.93565e-06,4.35574e-08,3.04994e-07
16,0.900791,6.72508,0.0893669,0.667192,0.00886604,0.0661917,0.000879596,0.00656685,8.72614e-05,0.000651472,8.66386e-06,6.46823e-05,8.47583e-07,6.32785e-06,1.01541e-07,7.5808e-07
17,0.889071,7.04978,0.0986238,0.782025,0.0109402,0.0867492,0.00121359,0.00962302,0.000134615,0.00106742,1.49492e-05,0.000118538,1.62907e-06,1.29175e-05,2.2352e-07,1.77237e-06
18,0.876872,7.35956,0.107968,0.90617,0.0132939,0.111575,0.00163686,0.0137381,0.000201527,0.00169141,2.48518e-05,0.000208581,2.99255e-06,2.51164e-05,4.67482e-07,3.92356e-06
19,0.864226,7.65407,0.117339,1.03922,0.0159316,0.141099,0.0021631,0.0191576,0.000293656,0.00260078,3.99546e-05,0.00035386,5.27737e-06,4.67393e-05,9.3376e-07,8.2699e-06
20,0.851169,7.93299,0.126681,1.18068,0.018854,0.175722,0.0028061,0.0261532,0.00041756,0.00389171,6.23215e-05,0.000580843,8.96816e-06,8.35844e-05,1.78909e-06,1.66745e-05
21,0.837733,8.1961,0.135937,1.32996,0.022058,0.215808,0.00357935,0.0350191,0.000580658,0.00568096,9.45736e-05,0.000925276,1.47333e-05,0.000144146,3.30054e-06,3.22914e-05
22,0.823953,8.4432,0.145054,1.4864,0.0255364,0.261676,0.0044957,0.0460683,0.00079116,0.00810717,0.000139959,0.00143419,2.34647e-05,0.000240447,5.88164e-06,6.02703e-05
23,0.809863,8.67419,0.153985,1.64928,0.0292781,0.313589,0.00556703,0.0596267,0.00105795,0.0113314,0.000202414,0.002168,3.63163e-05,0.000388973,1.0153e-05,0.000108745
24,0.795497,8.88902,0.162681,1.81783,0.0332688,0.37175,0.00680387,0.0760276,0.00139042,0.0155368,0.000286607,0.0032026,5.47372e-05,0.000611643,1.7019e-05,0.000190173
25,0.780888,9.08768,0.171102,1.99122,0.0374903,0.436298,0.00821513,0.0956045,0.00179831,0.020928,0.000397967,0.00463139,8.04957e-05,0.000936778,2.77627e-05,0.000323091
26,0.766069,9.27024,0.179207,2.1686,0.0419219,0.507299,0.00980777,0.118684,0.00229142,0.0277286,0.00054269,0.00656712,0.00011569,0.00139997,4.41576e-05,0.000534354
27,0.751072,9.43681,0.186963,2.34909,0.0465399,0.584749,0.0115867,0.14558,0.00287943,0.0361784,0.000727724,0.00914345,0.000162743,0.00204478,6.85974e-05,0.000861889
28,0.735928,9.58754,0.194338,2.5318,0.0513186,0.66857,0.0135543,0.176583,0.00357158,0.0465299,0.000960727,0.0125162,0.000224377,0.00292314,0.000104239,0.001358
29,0.720668,9.72265,0.201306,2.71585,0.0562303,0.758613,0.0157109,0.211958,0.00437643,0.0590431,0.00125,0.016864,0.000303565,0.00409545,0.000155154,0.00209321
30,0.705321,9.84239,0.207844,2.90035,0.0612459,0.854655,0.018054,0.251934,0.00530155,0.0739804,0.00160442,0.0223889,0.000403469,0.00563021,0.000226491,0.00316056
31,0.689915,9.94704,0.213933,3.08443,0.0663353,0.956407,0.0205787,0.296699,0.00635329,0.0916003,0.00203329,0.0293155,0.00052735,0.00760322,0.00032462,0.0046803
32,0.674478,10.0369,0.219558,3.26725,0.0714679,1.06352,0.0232778,0.346398,0.00753654,0.112152,0.00254625,0.0378909,0.000678473,0.0100964,0.000457282,0.00680484
33,0.659036,10.1124,0.224708,3.44798,0.0766132,1.17557,0.0261417,0.401125,0.00885452,0.135866,0.00315312,0.0483823,0.000859993,0.013196,0.0006337,0.00972365
34,0.643613,10.1739,0.229376,3.62585,0.0817406,1.29211,0.0291585,0.460922,0.0103086,0.162953,0.00386374,0.0610758,0.00107485,0.0169907,0.000864661,0.0136681
35,0.628233,10.2217,0.233557,3.80012,0.0868204,1.41262,0.0323146,0.525778,0.0118983,0.193592,0.00468778,0.0762731,0.00132567,0.0215695,0.00116256,0.0189156
36,0.61292,10.2564,0.237251,3.97009,0.0918238,1.53656,0.0355943,0.595626,0.013621,0.22793,0.00563463,0.0942884,0.00161466,0.0270193,0.00154138,0.0257931
37,0.597692,10.2784,0.240458,4.13511,0.0967233,1.66333,0.0389806,0.670343,0.0154723,0.266074,0.00671314,0.115445,0.00194354,0.0334227,0.00201664,0.0346798
38,0.582572,10.2881,0.243184,4.2946,0.101493,1.79235,0.0424552,0.749753,0.0174457,0.308089,0.00793151,0.140069,0.00231352,0.0408565,0.00260521,0.0460077
39,0.567576,10.2861,0.245436,4.44802,0.106109,1.923,0.0459985,0.833626,0.0195332,0.353999,0.00929708,0.16849,0.00272526,0.0493895,0.00332515,0.0602613
40,0.552722,10.2728,0.247224,4.59487,0.110548,2.05464,0.0495904,0.92168,0.0217252,0.403781,0.0108162,0.201028,0.00317888,0.0590822,0.00419542,0.0779755
41,0.538026,10.2487,0.248558,4.73472,0.114792,2.18665,0.0532099,1.01358,0.0240107,0.457375,0.012494,0.237996,0.00367402,0.0699856,0.00523555,0.0997309
42,0.523502,10.2144,0.249451,4.86722,0.118823,2.31843,0.0568358,1.10896,0.0263781,0.514681,0.0143345,0.27969,0.0042099,0.0821423,0.00646523,0.126148
43,0.509165,10.1703,0.249919,4.99202,0.122625,2.44937,0.0604465,1.20739,0.028815,0.575567,0.0163401,0.326386,0.0047854,0.0955861,0.00790394,0.157878
44,0.495026,10.117,0.249977,5.10888,0.126186,2.5789,0.0640204,1.30841,0.0313091,0.639876,0.0185119,0.378334,0.00539914,0.110344,0.00957042,0.195594
45,0.481096,10.055,0.249643,5.21756,0.129496,2.70648,0.0675358,1.41151,0.0338485,0.707437,0.0208493,0.435753,0.00604959,0.126437,0.0114822,0.23998
46,0.467385,9.98467,0.248932,5.3179,0.132549,2.83161,0.0709713,1.51615,0.0364218,0.778072,0.0233504,0.498831,0.00673518,0.143882,0.0136553,0.291716
47,0.453903,9.90666,0.247864,5.40977,0.135339,2.95383,0.0743056,1.62176,0.039019,0.85161,0.0260116,0.567716,0.00745431,0.162694,0.0161035,0.351466
48,0.440657,9.82142,0.246458,5.49309,0.137865,3.07274,0.0775175,1.72772,0.0416319,0.927898,0.0288277,0.642516,0.00820548,0.182885,0.018838,0.419863
49,0.427654,9.72943,0.244731,5.56781,0.140127,3.188,0.0805864,1.8334,0.0442541,1.00681,0.0317924,0.723299,0.0089873,0.204467,0.0218672,0.497494
50,0.4149,9.63117,0.242703,5.63393,0.142131,3.29933,0.0834919,1.93812,0.0468814,1.08827,0.0348977,0.810089,0.00979849,0.227455,0.0251962,0.584886
51,0.4024,9.52711,0.240391,5.69144,0.143883,3.40652,0.0862142,2.04118,0.0495123,1.17224,0.0381348,0.90287,0.0106379,0.25186,0.0288267,0.682493
52,0.390159,9.41772,0.237814,5.7404,0.14539,3.50945,0.0887341,2.14188,0.0521477,1.25875,0.0414937,1.00158,0.0115046,0.277699,0.0327565,0.790681
