t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
0,0.999996,0.0463753,4.11022e-06,1.90613e-07,1.6894e-11,7.83465e-13
1,0.999503,0.509876,0.00049725,0.000253662,2.47319e-07,1.26165e-07
2,0.998189,0.972119,0.00181145,0.00176414,3.28432e-06,3.19854e-06
3,0.996056,1.43196,0.00394441,0.00567061,1.55891e-05,2.24114e-05
4,0.993108,1.88828,0.0068924,0.0131051,4.76696e-05,9.06382e-05
5,0.98935,2.33994,0.0106503,0.0251893,0.000114037,0.000269711
6,0.984789,2.78583,0.0152115,0.0430313,0.000233167,0.000659598
7,0.979432,3.22488,0.0205681,0.0677224,0.000427455,0.00140744
8,0.973289,3.65599,0.0267106,0.100334,0.000723155,0.0027164
9,0.966372,4.07813,0.0336285,0.141914,0.00115031,0.00485438
10,0.958691,4.49027,0.0413095,0.193483,0.0017427,0.00816236
11,0.95026,4.89141,0.0497403,0.256036,0.00253769,0.0130626
12,0.941094,5.28061,0.0589062,0.330531,0.00357623,0.0200667
13,0.931209,5.65692,0.068791,0.417893,0.00490264,0.0297826
14,0.920622,6.01947,0.0793777,0.519009,0.0065646,0.0429225
15,0.909352,6.3674,0.0906477,0.634726,0.00861295,0.0603089
16,0.897419,6.69991,0.102581,0.765847,0.0111016,0.0828817
17,0.884842,7.01625,0.115158,0.913127,0.0140873,0.111704
18,0.871645,7.3157,0.128355,1.07728,0.0176297,0.147966
19,0.85785,7.5976,0.14215,1.25896,0.021791,0.192993
20,0.843482,7.86135,0.156518,1.45877,0.0266358,0.248249
21,0.828565,8.1064,0.171435,1.67726,0.032231,0.315337
22,0.813125,8.33225,0.186875,1.91494,0.0386456,0.396008
23,0.79719,8.53846,0.20281,2.17223,0.0459505,0.492161
24,0.780788,8.72465,0.219212,2.44952,0.0542184,0.605845
25,0.763946,8.89051,0.236054,2.74711,0.0635235,0.739262
26,0.746694,9.03578,0.253306,3.06526,0.0739412,0.894766
27,0.729063,9.16028,0.270937,3.40417,0.0855483,1.07487
28,0.711084,9.26387,0.288916,3.76395,0.0984222,1.28223
29,0.692787,9.3465,0.307213,4.14467,0.112641,1.51966
30,0.674204,9.40818,0.325796,4.54631,0.128284,1.79014
31,0.655369,9.44896,0.344631,4.96881,0.14543,2.09678
32,0.636314,9.46901,0.363686,5.41203,0.164159,2.44285
33,0.617072,9.46851,0.382928,5.87575,0.184548,2.83175
34,0.597677,9.44775,0.402323,6.35971,0.206676,3.26703
35,0.578163,9.40706,0.421837,6.86355,0.230623,3.75237
36,0.558563,9.34685,0.441437,7.38689,0.256464,4.2916
37,0.538913,9.26759,0.461087,7.92924,0.284275,4.88863
38,0.519246,9.16982,0.480754,8.49006,0.314133,5.54754
39,0.499597,9.05413,0.500403,9.06875,0.346109,6.27249
40,0.48,8.9212,0.52,9.66466,0.380276,7.06775
41,0.460489,8.77176,0.539511,10.277,0.416702,7.93768
42,0.441098,8.60657,0.558902,10.9051,0.455457,8.88673
43,0.421862,8.4265,0.578138,11.548,0.496604,9.91944
44,0.402814,8.23245,0.597186,12.2049,0.540207,11.0404
45,0.383987,8.02536,0.616013,12.8748,0.586325,12.2543
46,0.365413,7.80626,0.634587,13.5566,0.635015,13.5657
47,0.347127,7.57621,0.652873,14.2493,0.686332,14.9795
48,0.329158,7.33632,0.670842,14.9518,0.740324,16.5004
49,0.31154,7.08775,0.68846,15.663,0.79704,18.1332
50,0.294301,6.83169,0.705699,16.3816,0.856522,19.8827
51,0.277474,6.5694,0.722526,17.1063,0.91881,21.7535
