t,T+R,N_0,N_1,N_2
0,1,2.07365e-32,1.10975e-34,2.91919e-34
1,1.00002,6.1812e-32,1.04471e-32,4.61375e-32
2,1.00007,7.27999e-32,2.49968e-32,2.04853e-31
3,1.00016,4.2601e-31,3.74897e-32,5.17191e-31
4,1.00031,3.604e-31,3.81916e-32,1.00293e-30
5,1.00052,8.30589e-31,8.99645e-32,1.66758e-30
6,1.00082,5.48799e-32,1.70074e-31,2.48224e-30
7,1.00123,1.4106e-30,1.88029e-31,3.39586e-30
8,1.00178,5.23457e-30,3.06705e-31,4.39666e-30
9,1.0025,3.385e-30,6.72937e-31,5.35015e-30
10,1.00344,5.35712e-30,9.69631e-31,6.24741e-30
11,1.00462,1.49309e-30,1.60774e-30,6.88645e-30
12,1.00609,6.61339e-30,1.84027e-30,7.07463e-30
13,1.00791,6.71277e-30,2.40656e-30,7.25929e-30
14,1.01012,9.61057e-30,2.59187e-30,7.02891e-30
15,1.01278,9.85785e-30,3.35773e-30,6.90787e-30
16,1.01594,5.70082e-30,3.58482e-30,6.61542e-30
17,1.01967,1.10488e-29,4.3681e-30,6.35461e-30
18,1.02403,1.26738e-29,4.33482e-30,6.35941e-30
19,1.02908,1.0765e-29,5.48994e-30,6.3529e-30
20,1.03491,7.84569e-30,7.46198e-30,7.85459e-30
21,1.04157,7.76011e-30,5.55141e-30,9.57511e-30
22,1.04914,7.94775e-30,7.01852e-30,1.17581e-29
23,1.0577,9.61387e-30,7.14737e-30,1.62393e-29
24,1.06732,8.08956e-30,1.28939e-29,1.95353e-29
25,1.07809,7.99736e-30,1.62609e-29,2.17842e-29
26,1.09009,1.03225e-29,2.10129e-29,2.44967e-29
27,1.10339,1.47829e-29,1.85522e-29,2.5965e-29
28,1.11808,1.48265e-29,2.10739e-29,3.01494e-29
29,1.13423,1.29709e-29,2.48586e-29,3.13833e-29
30,1.15195,6.4361e-30,2.84054e-29,3.30295e-29
31,1.17129,1.06324e-29,1.67626e-29,3.44992e-29
32,1.19236,3.17353e-30,1.77936e-29,3.39055e-29
33,1.21524,5.53449e-30,2.50842e-29,3.11531e-29
34,1.23999,3.45042e-30,2.85277e-29,3.06121e-29
