t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_L0,Norm_L1
0,0.999992,0.0463751,4.11022E-06,1.90613E-07,4.11022E-06,1.90613E-07,0.999992,8.22044E-06
1,0.999006,0.509623,0.000497167,0.00025362,0.000497167,0.00025362,0.999006,0.000994334
2,0.996379,0.970357,0.00181035,0.00176307,0.00181035,0.00176307,0.996379,0.0036207
3,0.992122,1.42631,0.00393921,0.00566315,0.00393921,0.00566315,0.992122,0.00787842
4,0.986247,1.87523,0.00687653,0.0130749,0.00687653,0.0130749,0.986247,0.01375306
5,0.978775,2.31493,0.0106124,0.0250996,0.0106124,0.0250996,0.978775,0.0212248
6,0.969732,2.74324,0.015134,0.0428121,0.015134,0.0428121,0.969732,0.030268
7,0.959148,3.15809,0.0204262,0.0672552,0.0204262,0.0672552,0.959148,0.0408524
8,0.947058,3.55746,0.0264709,0.0994334,0.0264709,0.0994334,0.947058,0.0529418
9,0.933505,3.93943,0.0332477,0.140307,0.0332477,0.140307,0.933505,0.0664954
10,0.918533,4.30218,0.0407337,0.190786,0.0407337,0.190786,0.918533,0.0814674
11,0.902193,4.644,0.0489033,0.251727,0.0489033,0.251727,0.902193,0.0978066
12,0.884542,4.96329,0.057729,0.323925,0.057729,0.323925,0.884542,0.115458
13,0.865638,5.25859,0.0671808,0.408111,0.0671808,0.408111,0.865638,0.1343616
14,0.845547,5.52859,0.0772266,0.504944,0.0772266,0.504944,0.845547,0.1544532
15,0.824335,5.7721,0.0878325,0.615014,0.0878325,0.615014,0.824335,0.175665
16,0.802075,5.9881,0.0989625,0.73883,0.0989625,0.73883,0.802075,0.197925
17,0.778843,6.17573,0.110579,0.87682,0.110579,0.87682,0.778843,0.221158
18,0.754716,6.33431,0.122642,1.02933,0.122642,1.02933,0.754716,0.245284
19,0.729778,6.46332,0.135111,1.19662,0.135111,1.19662,0.729778,0.270222
20,0.704111,6.5624,0.147944,1.37886,0.147944,1.37886,0.704111,0.295888
21,0.677805,6.63141,0.161098,1.57613,0.161098,1.57613,0.677805,0.322196
22,0.650947,6.67037,0.174527,1.78841,0.174527,1.78841,0.650947,0.349054
23,0.623628,6.67948,0.188186,2.0156,0.188186,2.0156,0.623628,0.376372
24,0.595942,6.65915,0.202029,2.25751,0.202029,2.25751,0.595942,0.404058
25,0.567982,6.60996,0.216009,2.51383,0.216009,2.51383,0.567982,0.432018
26,0.539843,6.53266,0.230079,2.78419,0.230079,2.78419,0.539843,0.460158
27,0.51162,6.42822,0.24419,3.06811,0.24419,3.06811,0.51162,0.48838
28,0.483409,6.29777,0.258296,3.36503,0.258296,3.36503,0.483409,0.516592
29,0.455306,6.14261,0.272347,3.67428,0.272347,3.67428,0.455306,0.544694
30,0.427405,5.96422,0.286297,3.99513,0.286297,3.99513,0.427405,0.572594
31,0.399802,5.76426,0.300099,4.32676,0.300099,4.32676,0.399802,0.600198
32,0.37259,5.54453,0.313705,4.66825,0.313705,4.66825,0.37259,0.62741
33,0.345862,5.30699,0.327069,5.01863,0.327069,5.01863,0.345862,0.654138
34,0.319707,5.05375,0.340147,5.37685,0.340147,5.37685,0.319707,0.680294
35,0.294215,4.78705,0.352893,5.74178,0.352893,5.74178,0.294215,0.705786
36,0.269472,4.50927,0.365264,6.11224,0.365264,6.11224,0.269472,0.730528
37,0.245561,4.22287,0.377219,6.48698,0.377219,6.48698,0.245561,0.754438
38,0.222565,3.93046,0.388718,6.86471,0.388718,6.86471,0.222565,0.777436
39,0.20056,3.63473,0.39972,7.24408,0.39972,7.24408,0.20056,0.79944
40,0.179622,3.33843,0.410189,7.62372,0.410189,7.62372,0.179622,0.820378
41,0.159821,3.0444,0.420089,8.0022,0.420089,8.0022,0.159821,0.840178
42,0.141225,2.75554,0.429387,8.37807,0.429387,8.37807,0.141225,0.858774
43,0.123897,2.47478,0.438052,8.74988,0.438052,8.74988,0.123897,0.876104
44,0.107894,2.20507,0.446053,9.11614,0.446053,9.11614,0.107894,0.892106
45,0.0932727,1.94941,0.453364,9.47535,0.453364,9.47535,0.0932727,0.906728
46,0.0800813,1.71076,0.459959,9.82604,0.459959,9.82604,0.0800813,0.919918
47,0.0683647,1.49209,0.465818,10.1667,0.465818,10.1667,0.0683647,0.931636
48,0.0581627,1.29634,0.470919,10.4959,0.470919,10.4959,0.0581627,0.941838
49,0.0495099,1.12639,0.475245,10.8122,0.475245,10.8122,0.0495099,0.95049
50,0.0424357,0.98507,0.478782,11.1141,0.478782,11.1141,0.0424357,0.957564
51,0.0369639,0.875147,0.481518,11.4003,0.481518,11.4003,0.0369639,0.963036
52,0.0331132,0.799291,0.483443,11.6694,0.483443,11.6694,0.0331132,0.966886
53,0.0308965,0.760071,0.484552,11.9202,0.484552,11.9202,0.0308965,0.969104
54,0.0303215,0.759944,0.484839,12.1515,0.484839,12.1515,0.0303215,0.969678
55,0.0313901,0.801236,0.484305,12.3619,0.484305,12.3619,0.0313901,0.96861
56,0.0340986,0.886131,0.482951,12.5506,0.482951,12.5506,0.0340986,0.965902
57,0.0384378,1.01666,0.480781,12.7164,0.480781,12.7164,0.0384378,0.961562
58,0.0443931,1.19469,0.477803,12.8585,0.477803,12.8585,0.0443931,0.955606
59,0.0519443,1.4219,0.474028,12.9759,0.474028,12.9759,0.0519443,0.948056
60,0.0610657,1.6998,0.469467,13.0679,0.469467,13.0679,0.0610657,0.938934
61,0.0717265,2.02968,0.464137,13.1339,0.464137,13.1339,0.0717265,0.928274
62,0.0838904,2.41264,0.458055,13.1734,0.458055,13.1734,0.0838904,0.91611
63,0.0975164,2.84955,0.451242,13.1858,0.451242,13.1858,0.0975164,0.902484
64,0.112558,3.34106,0.443721,13.171,0.443721,13.171,0.112558,0.887442
65,0.128965,3.88759,0.435518,13.1285,0.435518,13.1285,0.128965,0.871036
66,0.14668,4.48933,0.42666,13.0585,0.42666,13.0585,0.14668,0.85332
67,0.165645,5.14623,0.417178,12.9608,0.417178,12.9608,0.165645,0.834356
68,0.185795,5.85797,0.407103,12.8357,0.407103,12.8357,0.185795,0.814206
69,0.207061,6.62402,0.39647,12.6833,0.39647,12.6833,0.207061,0.79294
70,0.229371,7.44357,0.385314,12.5042,0.385314,12.5042,0.229371,0.770628
71,0.25265,8.31557,0.373675,12.2989,0.373675,12.2989,0.25265,0.74735
72,0.27682,9.23873,0.36159,12.0679,0.36159,12.0679,0.27682,0.72318
73,0.301797,10.2115,0.349102,11.8121,0.349102,11.8121,0.301797,0.698204
74,0.327497,11.2321,0.336251,11.5323,0.336251,11.5323,0.327497,0.672502
75,0.353834,12.2985,0.323083,11.2296,0.323083,11.2296,0.353834,0.646166
76,0.380717,13.4083,0.309641,10.9051,0.309641,10.9051,0.380717,0.619282
77,0.408056,14.5592,0.295972,10.5601,0.295972,10.5601,0.408056,0.591944
78,0.435758,15.7484,0.282121,10.1959,0.282121,10.1959,0.435758,0.564242
79,0.46373,16.9729,0.268135,9.81399,0.268135,9.81399,0.46373,0.53627
80,0.491875,18.2296,0.254062,9.41593,0.254062,9.41593,0.491875,0.508124
81,0.5201,19.5152,0.23995,9.00341,0.23995,9.00341,0.5201,0.4799
82,0.548308,20.8261,0.225846,8.5782,0.225846,8.5782,0.548308,0.451692
83,0.576403,22.1586,0.211798,8.14213,0.211798,8.14213,0.576403,0.423596
84,0.604291,23.5088,0.197855,7.69716,0.197855,7.69716,0.604291,0.39571
85,0.631876,24.8727,0.184062,7.24528,0.184062,7.24528,0.631876,0.368124
86,0.659066,26.2463,0.170467,6.78858,0.170467,6.78858,0.659066,0.340934
87,0.685768,27.6251,0.157116,6.32917,0.157116,6.32917,0.685768,0.314232
88,0.711892,29.0049,0.144054,5.86925,0.144054,5.86925,0.711892,0.288108
89,0.737348,30.3811,0.131326,5.41105,0.131326,5.41105,0.737348,0.262652
90,0.762052,31.7494,0.118974,4.95682,0.118974,4.95682,0.762052,0.237948
91,0.785918,33.105,0.107041,4.50885,0.107041,4.50885,0.785918,0.214082
92,0.808867,34.4434,0.0955666,4.06944,0.0955666,4.06944,0.808867,0.1911332
93,0.83082,35.7599,0.0845902,3.64091,0.0845902,3.64091,0.83082,0.1691804
94,0.851702,37.05,0.0741488,3.22556,0.0741488,3.22556,0.851702,0.1482976
95,0.871444,38.3091,0.0642779,2.82569,0.0642779,2.82569,0.871444,0.1285558
96,0.889978,39.5325,0.0550109,2.44357,0.0550109,2.44357,0.889978,0.1100218
97,0.907242,40.7159,0.0463792,2.08144,0.0463792,2.08144,0.907242,0.0927584
98,0.923176,41.8548,0.0384121,1.74152,0.0384121,1.74152,0.923176,0.0768242
99,0.937727,42.9448,0.0311366,1.42596,0.0311366,1.42596,0.937727,0.0622732
100,0.950845,43.9819,0.0245774,1.13684,0.0245774,1.13684,0.950845,0.0491548
101,0.962487,44.9619,0.0187567,0.876205,0.0187567,0.876205,0.962487,0.0375134
102,0.972612,45.8809,0.0136942,0.645994,0.0136942,0.645994,0.972612,0.0273884
103,0.981186,46.7353,0.00940706,0.448072,0.00940706,0.448072,0.981186,0.01881412
104,0.98818,47.5214,0.00590987,0.284205,0.00590987,0.284205,0.98818,0.01181974
105,0.993571,48.236,0.00321446,0.156056,0.00321446,0.156056,0.993571,0.00642892
106,0.99734,48.876,0.00132996,0.0651766,0.00132996,0.0651766,0.99734,0.00265992
107,0.999474,49.4385,0.00026277,0.0129978,0.00026277,0.0129978,0.999474,0.00052554
108,0.999967,49.9208,1.65001E-05,0.000823726,1.65001E-05,0.000823726,0.999967,3.30002E-05
109,0.998816,50.3207,0.000591988,0.0298246,0.000591988,0.0298246,0.998816,0.001183976
110,0.996025,50.6361,0.00198728,0.10103,0.00198728,0.10103,0.996025,0.00397456
111,0.991605,50.8652,0.00419765,0.215322,0.00419765,0.215322,0.991605,0.0083953
112,0.985569,51.0065,0.0072156,0.373432,0.0072156,0.373432,0.985569,0.0144312
113,0.977938,51.059,0.0110309,0.575933,0.0110309,0.575933,0.977938,0.0220618
114,0.968739,51.0217,0.0156306,0.823238,0.0156306,0.823238,0.968739,0.0312612
115,0.958002,50.8943,0.0209992,1.11559,0.0209992,1.11559,0.958002,0.0419984
116,0.945763,50.6764,0.0271184,1.45307,0.0271184,1.45307,0.945763,0.0542368
117,0.932065,50.3684,0.0339674,1.83558,0.0339674,1.83558,0.932065,0.0679348
118,0.916954,49.9707,0.0415231,2.26286,0.0415231,2.26286,0.916954,0.0830462
119,0.90048,49.4843,0.0497599,2.73447,0.0497599,2.73447,0.90048,0.0995198
120,0.8827,48.9103,0.0586498,3.24978,0.0586498,3.24978,0.8827,0.1172996
121,0.863675,48.2504,0.0681627,3.808,0.0681627,3.808,0.863675,0.1363254
122,0.843467,47.5064,0.0782663,4.40818,0.0782663,4.40818,0.843467,0.1565326
123,0.822147,46.6808,0.0889265,5.04916,0.0889265,5.04916,0.822147,0.177853
124,0.799786,45.776,0.100107,5.72965,0.100107,5.72965,0.799786,0.200214
125,0.77646,44.795,0.11177,6.44815,0.11177,6.44815,0.77646,0.22354
126,0.752249,43.7412,0.123876,7.20303,0.123876,7.20303,0.752249,0.247752
127,0.727233,42.6181,0.136383,7.99248,0.136383,7.99248,0.727233,0.272766
128,0.701499,41.4296,0.149251,8.81455,0.149251,8.81455,0.701499,0.298502
129,0.675133,40.18,0.162434,9.66712,0.162434,9.66712,0.675133,0.324868
130,0.648224,38.8738,0.175888,10.5479,0.175888,10.5479,0.648224,0.351776
131,0.620865,37.5157,0.189568,11.4546,0.189568,11.4546,0.620865,0.379136
132,0.593147,36.1108,0.203427,12.3846,0.203427,12.3846,0.593147,0.406854
133,0.565164,34.6644,0.217418,13.3354,0.217418,13.3354,0.565164,0.434836
134,0.537012,33.182,0.231494,14.304,0.231494,14.304,0.537012,0.462988
135,0.508786,31.6693,0.245607,15.2877,0.245607,15.2877,0.508786,0.491214
136,0.480582,30.1322,0.259709,16.2836,0.259709,16.2836,0.480582,0.519418
137,0.452495,28.5768,0.273753,17.2885,0.273753,17.2885,0.452495,0.547506
138,0.42462,27.0093,0.28769,18.2995,0.28769,18.2995,0.42462,0.57538
139,0.397052,25.4361,0.301474,19.3132,0.301474,19.3132,0.397052,0.602948
140,0.369884,23.8637,0.315058,20.3264,0.315058,20.3264,0.369884,0.630116
