t,T+R,N_0,N_1,N_2
0,1,9.06274e-28,4.53041e-33,4.16611e-33
1,0.99997,9.2316e-28,5.64168e-31,5.07457e-31
2,0.999889,9.21394e-28,2.1332e-30,1.86375e-30
3,0.999759,9.1177e-28,4.53094e-30,3.88457e-30
4,0.99958,9.11092e-28,7.95739e-30,6.71152e-30
5,0.999352,9.03093e-28,1.18445e-29,9.76215e-30
6,0.999077,8.92754e-28,1.56583e-29,1.37856e-29
7,0.998755,8.97212e-28,2.07103e-29,1.83817e-29
8,0.998388,8.76816e-28,2.52509e-29,2.40634e-29
9,0.997977,8.61318e-28,3.18799e-29,3.04924e-29
10,0.997525,8.20297e-28,3.59768e-29,3.75847e-29
11,0.997032,8.162e-28,4.25975e-29,4.63893e-29
12,0.996502,8.16004e-28,4.76927e-29,5.34242e-29
13,0.995936,8.02071e-28,5.04978e-29,6.16516e-29
14,0.995336,7.88953e-28,6.10202e-29,7.59586e-29
15,0.994706,7.93236e-28,6.17846e-29,8.03208e-29
16,0.994047,7.83274e-28,7.29315e-29,9.69102e-29
17,0.993363,7.73109e-28,7.72506e-29,1.12239e-28
18,0.992657,7.70228e-28,8.31547e-29,1.15787e-28
19,0.991931,7.19013e-28,9.23101e-29,1.33492e-28
20,0.991188,7.07929e-28,1.08366e-28,1.4922e-28
21,0.990433,7.22079e-28,1.16491e-28,1.637e-28
22,0.989667,7.22352e-28,1.21356e-28,1.72243e-28
23,0.988895,7.13191e-28,1.47849e-28,1.98298e-28
24,0.98812,7.25446e-28,1.49502e-28,2.05025e-28
25,0.987344,6.65924e-28,1.64307e-28,2.14992e-28
26,0.986573,6.0797e-28,1.81049e-28,2.46102e-28
27,0.985808,6.14146e-28,1.85509e-28,2.64281e-28
28,0.985054,6.11e-28,2.30495e-28,3.09564e-28
29,0.984314,5.5543e-28,2.34962e-28,3.23458e-28
30,0.983591,5.19395e-28,2.46679e-28,3.2287e-28
31,0.982889,4.82057e-28,2.33735e-28,3.39139e-28
32,0.982211,4.68299e-28,2.94849e-28,3.83526e-28
33,0.981561,4.58714e-28,2.93261e-28,3.85497e-28
34,0.980941,4.16069e-28,3.03953e-28,3.83447e-28
35,0.980355,3.74903e-28,2.93442e-28,3.97688e-28
36,0.979806,3.43052e-28,3.08044e-28,4.21299e-28
37,0.979296,3.14102e-28,3.44676e-28,4.34815e-28
38,0.978829,2.92151e-28,3.30985e-28,4.40542e-28
39,0.978407,2.63444e-28,3.28667e-28,4.22339e-28
40,0.978033,2.44407e-28,3.16065e-28,4.37921e-28
41,0.97771,1.99225e-28,3.39574e-28,4.61852e-28
42,0.977438,1.82894e-28,3.21127e-28,4.3238e-28
43,0.977221,1.6666e-28,2.91993e-28,4.44433e-28
44,0.977061,1.52794e-28,3.01632e-28,4.15613e-28
45,0.976959,1.46224e-28,3.38198e-28,4.62301e-28
46,0.976917,1.28641e-28,3.12126e-28,4.58485e-28
47,0.976936,1.19092e-28,3.07869e-28,4.41638e-28
48,0.977018,1.20598e-28,2.91149e-28,4.70056e-28
49,0.977163,1.28466e-28,3.07077e-28,4.77277e-28
50,0.977372,1.25323e-28,3.14069e-28,4.84448e-28
51,0.977646,1.30116e-28,2.8125e-28,4.59398e-28
52,0.977986,1.23277e-28,2.60494e-28,4.38211e-28
53,0.978391,1.37008e-28,2.68967e-28,4.66558e-28
54,0.978862,1.3551e-28,2.27171e-28,4.50734e-28
55,0.979398,1.4863e-28,2.61977e-28,4.55889e-28
56,0.979999,1.52732e-28,2.03975e-28,4.00482e-28
57,0.980664,1.675e-28,2.35289e-28,4.47702e-28
58,0.981393,1.87983e-28,2.04692e-28,4.62474e-28
59,0.982185,2.02222e-28,2.11418e-28,4.51204e-28
60,0.983038,1.92279e-28,2.10469e-28,4.31995e-28
61,0.983951,2.25026e-28,2.31335e-28,4.17125e-28
62,0.984923,2.44523e-28,2.05395e-28,5.17203e-28
63,0.985951,2.59741e-28,1.96844e-28,4.31377e-28
64,0.987034,2.88179e-28,1.97441e-28,4.42568e-28
65,0.98817,2.82277e-28,1.81758e-28,4.2516e-28
66,0.989357,3.02289e-28,2.38905e-28,4.4133e-28
67,0.990592,3.25526e-28,1.92163e-28,4.15572e-28
68,0.991872,3.46786e-28,1.78761e-28,4.14451e-28
69,0.993196,3.57305e-28,2.30572e-28,4.671e-28
70,0.99456,3.59566e-28,1.66538e-28,4.00058e-28
71,0.995962,3.56989e-28,1.82338e-28,4.16138e-28
72,0.997399,3.82878e-28,1.92182e-28,3.56673e-28
73,0.998867,4.05609e-28,1.56346e-28,3.53325e-28
74,1.00036,4.2993e-28,1.49139e-28,2.78174e-28
75,1.00189,4.31525e-28,1.54397e-28,3.38002e-28
76,1.00343,4.68157e-28,1.53721e-28,2.99598e-28
77,1.00499,5.16969e-28,1.65759e-28,2.73719e-28
78,1.00657,5.75439e-28,1.35035e-28,3.22958e-28
79,1.00816,6.51545e-28,1.70741e-28,2.68027e-28
80,1.00976,6.51457e-28,1.1974e-28,2.67475e-28
81,1.01137,7.68901e-28,1.52911e-28,2.90747e-28
82,1.01297,8.58957e-28,1.1943e-28,2.40249e-28
83,1.01458,9.1308e-28,1.3961e-28,2.49623e-28
84,1.01618,1.01152e-27,9.88686e-29,2.32532e-28
85,1.01778,1.05601e-27,7.70627e-29,1.94218e-28
86,1.01936,1.19776e-27,8.69078e-29,2.16529e-28
87,1.02094,1.21637e-27,5.45115e-29,2.1346e-28
88,1.02249,1.27556e-27,5.3661e-29,1.56393e-28
89,1.02403,1.3444e-27,2.34719e-29,1.19413e-28
90,1.02554,1.45821e-27,2.13624e-29,1.45255e-28
91,1.02703,1.45691e-27,1.70662e-29,1.33009e-28
92,1.02849,1.55611e-27,1.30042e-29,1.14438e-28
93,1.02993,1.55462e-27,3.05244e-30,9.28474e-29
94,1.03133,1.63742e-27,5.80926e-30,7.41616e-29
95,1.0327,1.81548e-27,2.38863e-30,8.08321e-29
96,1.03403,1.84823e-27,3.23519e-30,8.67224e-29
97,1.03533,1.91198e-27,5.55701e-31,6.53211e-29
98,1.03658,1.90054e-27,1.18632e-31,4.12898e-29
99,1.0378,2.09134e-27,-2.5634e-31,5.54509e-29
100,1.03897,2.13369e-27,-1.97749e-30,5.20249e-29
101,1.04011,2.11997e-27,-1.24863e-30,3.31451e-29
102,1.04119,2.20865e-27,1.79464e-30,2.95731e-29
103,1.04224,2.17184e-27,8.96977e-30,9.24851e-30
104,1.04324,2.22859e-27,3.67705e-30,1.93086e-29
105,1.0442,2.46266e-27,6.47214e-30,2.48383e-29
106,1.04511,2.34903e-27,2.57018e-29,1.79626e-29
107,1.04597,2.43022e-27,2.59782e-29,3.86969e-30
108,1.04679,2.36466e-27,3.5274e-29,5.7541e-30
109,1.04757,2.56269e-27,6.53279e-29,8.74228e-30
110,1.0483,2.61629e-27,5.46892e-29,7.5079e-30
111,1.04899,2.553e-27,7.2963e-29,3.99188e-30
112,1.04964,2.61889e-27,8.70167e-29,1.5497e-30
113,1.05025,2.80351e-27,8.28916e-29,1.47779e-30
114,1.05082,2.78133e-27,1.44042e-28,3.02602e-30
115,1.05135,2.77746e-27,1.40883e-28,1.26417e-29
116,1.05184,2.59771e-27,1.53526e-28,2.26228e-29
117,1.0523,2.79128e-27,2.01471e-28,2.67923e-29
