t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6,Norm_L0,Norm_L1,Norm_L2
0,0.999992,0.0463751,4.1102E-06,1.90613E-07,4.1102E-06,1.90613E-07,4.22348E-12,1.95866E-13,4.22348E-12,1.95866E-13,4.22348E-12,1.95866E-13,4.22348E-12,1.95866E-13,0.999992,8.2204E-06,1.689392E-11
1,0.999006,0.509623,0.000497003,0.000253536,0.000497003,0.000253536,6.18144E-08,3.15334E-08,6.18144E-08,3.15334E-08,6.18144E-08,3.15334E-08,6.18144E-08,3.15334E-08,0.999006,0.000994006,2.472576E-07
2,0.99638,0.970358,0.00180817,0.00176094,0.00180817,0.00176094,8.20335E-07,7.9891E-07,8.20335E-07,7.9891E-07,8.20335E-07,7.9891E-07,8.20335E-07,7.9891E-07,0.99638,0.00361634,3.28134E-06
3,0.992127,1.42632,0.00392885,0.00564825,0.00392885,0.00564825,3.88958E-06,5.5918E-06,3.88958E-06,5.5918E-06,3.88958E-06,5.5918E-06,3.88958E-06,5.5918E-06,0.992127,0.0078577,1.555832E-05
4,0.986263,1.87526,0.0068449,0.0130148,0.0068449,0.0130148,1.18763E-05,2.25814E-05,1.18763E-05,2.25814E-05,1.18763E-05,2.25814E-05,1.18763E-05,2.25814E-05,0.986263,0.0136898,4.75052E-05
5,0.978813,2.31502,0.0105369,0.024921,0.0105369,0.024921,2.83571E-05,6.70682E-05,2.83571E-05,6.70682E-05,2.83571E-05,6.70682E-05,2.83571E-05,6.70682E-05,0.978813,0.0210738,0.0001134284
6,0.969808,2.74346,0.0149801,0.0423767,0.0149801,0.0423767,5.78474E-05,0.000163642,5.78474E-05,0.000163642,5.78474E-05,0.000163642,5.78474E-05,0.000163642,0.969808,0.0299602,0.0002313896
7,0.959287,3.15855,0.020145,0.0663294,0.020145,0.0663294,0.000105761,0.000348229,0.000105761,0.000348229,0.000105761,0.000348229,0.000105761,0.000348229,0.959287,0.04029,0.000423044
8,0.947292,3.55834,0.0259972,0.0976538,0.0259972,0.0976538,0.000178364,0.000669994,0.000178364,0.000669994,0.000178364,0.000669994,0.000178364,0.000669994,0.947292,0.0519944,0.000713456
9,0.933874,3.94099,0.0324976,0.137141,0.0324976,0.137141,0.000282718,0.00119308,0.000282718,0.00119308,0.000282718,0.00119308,0.000282718,0.00119308,0.933874,0.0649952,0.001130872
10,0.919087,4.30478,0.039603,0.185491,0.039603,0.185491,0.000426619,0.00199817,0.000426619,0.00199817,0.000426619,0.00199817,0.000426619,0.00199817,0.919087,0.079206,0.001706476
11,0.902994,4.64811,0.0472662,0.2433,0.0472662,0.2433,0.000618524,0.00318382,0.000618524,0.00318382,0.000618524,0.00318382,0.000618524,0.00318382,0.902994,0.0945324,0.002474096
12,0.885658,4.96955,0.0554362,0.31106,0.0554362,0.31106,0.000867484,0.00486757,0.000867484,0.00486757,0.000867484,0.00486757,0.000867484,0.00486757,0.885658,0.1108724,0.003469936
13,0.86715,5.26777,0.0640588,0.389145,0.0640588,0.389145,0.00118305,0.00718682,0.00118305,0.00718682,0.00118305,0.00718682,0.00118305,0.00718682,0.86715,0.1281176,0.0047322
14,0.847545,5.54165,0.0730769,0.477811,0.0730769,0.477811,0.00157521,0.0102994,0.00157521,0.0102994,0.00157521,0.0102994,0.00157521,0.0102994,0.847545,0.1461538,0.00630084
15,0.826922,5.79021,0.0824307,0.57719,0.0824307,0.57719,0.00205425,0.0143841,0.00205425,0.0143841,0.00205425,0.0143841,0.00205425,0.0143841,0.826922,0.1648614,0.008217
16,0.80536,6.01263,0.0920583,0.687285,0.0920583,0.687285,0.00263073,0.0196404,0.00263073,0.0196404,0.00263073,0.0196404,0.00263073,0.0196404,0.80536,0.1841166,0.01052292
17,0.782946,6.20827,0.101896,0.807974,0.101896,0.807974,0.00331532,0.0262884,0.00331532,0.0262884,0.00331532,0.0262884,0.00331532,0.0262884,0.782946,0.203792,0.01326128
18,0.759766,6.37669,0.11188,0.939004,0.11188,0.939004,0.00411873,0.0345684,0.00411873,0.0345684,0.00411873,0.0345684,0.00411873,0.0345684,0.759766,0.22376,0.01647492
19,0.735907,6.51761,0.121943,1.08,0.121943,1.08,0.00505162,0.04474,0.00505162,0.04474,0.00505162,0.04474,0.00505162,0.04474,0.735907,0.243886,0.02020648
20,0.711462,6.63091,0.13202,1.23044,0.13202,1.23044,0.00612447,0.0570808,0.00612447,0.0570808,0.00612447,0.0570808,0.00612447,0.0570808,0.711462,0.26404,0.02449788
21,0.68652,6.71668,0.142045,1.38972,0.142045,1.38972,0.00734749,0.0718854,0.00734749,0.0718854,0.00734749,0.0718854,0.00734749,0.0718854,0.68652,0.28409,0.02938996
22,0.661173,6.77516,0.151952,1.55709,0.151952,1.55709,0.00873053,0.0894634,0.00873053,0.0894634,0.00873053,0.0894634,0.00873053,0.0894634,0.661173,0.303904,0.03492212
23,0.635512,6.80677,0.161678,1.73168,0.161678,1.73168,0.0102829,0.110137,0.0102829,0.110137,0.0102829,0.110137,0.0102829,0.110137,0.635512,0.323356,0.0411316
24,0.609629,6.8121,0.171158,1.91255,0.171158,1.91255,0.0120135,0.134241,0.0120135,0.134241,0.0120135,0.134241,0.0120135,0.134241,0.609629,0.342316,0.048054
25,0.583613,6.79187,0.180333,2.09864,0.180333,2.09864,0.0139304,0.162117,0.0139304,0.162117,0.0139304,0.162117,0.0139304,0.162117,0.583613,0.360666,0.0557216
26,0.557552,6.74697,0.189142,2.28882,0.189142,2.28882,0.016041,0.194112,0.016041,0.194112,0.016041,0.194112,0.016041,0.194112,0.557552,0.378284,0.064164
27,0.531533,6.67842,0.19753,2.48186,0.19753,2.48186,0.0183517,0.230579,0.0183517,0.230579,0.0183517,0.230579,0.0183517,0.230579,0.531533,0.39506,0.0734068
28,0.50564,6.58739,0.205444,2.67648,0.205444,2.67648,0.0208682,0.271867,0.0208682,0.271867,0.0208682,0.271867,0.0208682,0.271867,0.50564,0.410888,0.0834728
29,0.479953,6.47513,0.212833,2.87137,0.212833,2.87137,0.023595,0.318324,0.023595,0.318324,0.023595,0.318324,0.023595,0.318324,0.479953,0.425666,0.09438
30,0.454551,6.34303,0.219653,3.06514,0.219653,3.06514,0.0265357,0.370292,0.0265357,0.370292,0.0265357,0.370292,0.0265357,0.370292,0.454551,0.439306,0.1061428
31,0.429509,6.19256,0.22586,3.25641,0.22586,3.25641,0.0296926,0.428102,0.0296926,0.428102,0.0296926,0.428102,0.0296926,0.428102,0.429509,0.45172,0.1187704
32,0.404895,6.02526,0.231419,3.44375,0.231419,3.44375,0.0330669,0.49207,0.0330669,0.49207,0.0330669,0.49207,0.0330669,0.49207,0.404895,0.462838,0.1322676
33,0.380778,5.84275,0.236294,3.62576,0.236294,3.62576,0.0366585,0.562498,0.0366585,0.562498,0.0366585,0.562498,0.0366585,0.562498,0.380778,0.472588,0.146634
34,0.357218,5.6467,0.240459,3.80105,0.240459,3.80105,0.040466,0.639664,0.040466,0.639664,0.040466,0.639664,0.040466,0.639664,0.357218,0.480918,0.161864
35,0.334272,5.43881,0.243891,3.96825,0.243891,3.96825,0.0444867,0.723826,0.0444867,0.723826,0.0444867,0.723826,0.0444867,0.723826,0.334272,0.487782,0.1779468
36,0.311993,5.2208,0.24657,4.12604,0.24657,4.12604,0.0487166,0.815211,0.0487166,0.815211,0.0487166,0.815211,0.0487166,0.815211,0.311993,0.49314,0.1948664
37,0.290427,4.99442,0.248486,4.27317,0.248486,4.27317,0.0531504,0.914017,0.0531504,0.914017,0.0531504,0.914017,0.0531504,0.914017,0.290427,0.496972,0.2126016
38,0.269616,4.76139,0.24963,4.40843,0.24963,4.40843,0.0577811,1.02041,0.0577811,1.02041,0.0577811,1.02041,0.0577811,1.02041,0.269616,0.49926,0.2311244
39,0.249597,4.52341,0.25,4.53072,0.25,4.53072,0.0626009,1.13451,0.0626009,1.13451,0.0626009,1.13451,0.0626009,1.13451,0.249597,0.5,0.2504036
40,0.2304,4.28217,0.2496,4.63903,0.2496,4.63903,0.0676001,1.25641,0.0676001,1.25641,0.0676001,1.25641,0.0676001,1.25641,0.2304,0.4992,0.2704004
41,0.21205,4.03929,0.248439,4.73246,0.248439,4.73246,0.0727681,1.38614,0.0727681,1.38614,0.0727681,1.38614,0.0727681,1.38614,0.21205,0.496878,0.2910724
42,0.194568,3.79634,0.246531,4.81023,0.246531,4.81023,0.0780928,1.52372,0.0780928,1.52372,0.0780928,1.52372,0.0780928,1.52372,0.194568,0.493062,0.3123712
43,0.177968,3.55482,0.243894,4.87168,0.243894,4.87168,0.0835609,1.66909,0.0835609,1.66909,0.0835609,1.66909,0.0835609,1.66909,0.177968,0.487788,0.3342436
44,0.162259,3.31614,0.240555,4.9163,0.240555,4.9163,0.0891578,1.82215,0.0891578,1.82215,0.0891578,1.82215,0.0891578,1.82215,0.162259,0.48111,0.3566312
45,0.147446,3.08163,0.236541,4.94373,0.236541,4.94373,0.0948681,1.98275,0.0948681,1.98275,0.0948681,1.98275,0.0948681,1.98275,0.147446,0.473082,0.3794724
46,0.133527,2.85251,0.231886,4.95375,0.231886,4.95375,0.100675,2.1507,0.100675,2.1507,0.100675,2.1507,0.100675,2.1507,0.133527,0.463772,0.4027
