t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6
0,1,9.10044e-28,4.3329e-33,3.39836e-33,8.36182e-35,1.24615e-33,1.1001e-33,3.52831e-34
1,0.99997,9.01094e-28,5.16118e-31,4.18949e-31,1.16496e-32,1.41904e-31,1.27937e-31,3.65537e-32
2,0.999889,8.94731e-28,1.89975e-30,1.54562e-30,4.76486e-32,4.82796e-31,4.3921e-31,1.13506e-31
3,0.999759,8.58378e-28,3.94257e-30,3.21155e-30,1.13138e-31,9.73568e-31,8.82711e-31,2.10687e-31
4,0.999579,8.78871e-28,6.71869e-30,5.45678e-30,2.09434e-31,1.56367e-30,1.39734e-30,3.18547e-31
5,0.999349,8.74827e-28,9.43027e-30,8.07927e-30,3.31873e-31,2.21041e-30,1.91462e-30,4.35208e-31
6,0.99907,8.99824e-28,1.38249e-29,1.16055e-29,4.72716e-31,2.8662e-30,2.37664e-30,5.63955e-31
7,0.998742,8.82324e-28,1.7538e-29,1.54152e-29,6.19407e-31,3.50143e-30,2.75052e-30,7.14329e-31
8,0.998367,8.90746e-28,2.34821e-29,2.04111e-29,7.70423e-31,4.07553e-30,3.03783e-30,9.01565e-31
9,0.997944,8.59915e-28,2.77351e-29,2.50103e-29,9.07037e-31,4.56068e-30,3.20782e-30,1.12861e-30
10,0.997474,8.35744e-28,3.46461e-29,3.06252e-29,1.03991e-30,4.98403e-30,3.32612e-30,1.39182e-30
11,0.996959,8.36581e-28,4.19612e-29,3.89343e-29,1.18173e-30,5.35493e-30,3.37167e-30,1.71147e-30
12,0.996399,8.4844e-28,5.27626e-29,4.87122e-29,1.40078e-30,5.57564e-30,3.38607e-30,2.1539e-30
13,0.995795,8.32845e-28,5.97695e-29,5.59519e-29,1.65369e-30,5.83691e-30,3.39834e-30,2.57083e-30
14,0.995148,8.1605e-28,6.7196e-29,6.45036e-29,1.99353e-30,5.81716e-30,3.51501e-30,2.95026e-30
15,0.99446,8.00629e-28,7.51269e-29,7.96136e-29,2.38247e-30,6.01739e-30,3.67925e-30,3.27563e-30
16,0.993732,7.89963e-28,8.53952e-29,9.45138e-29,2.92418e-30,6.2964e-30,3.99707e-30,3.50294e-30
17,0.992965,7.40623e-28,1.00309e-28,1.1034e-28,3.4947e-30,6.40506e-30,4.42826e-30,3.58585e-30
18,0.99216,7.29085e-28,1.09616e-28,1.19559e-28,4.08011e-30,6.46959e-30,5.24958e-30,3.42175e-30
19,0.991319,7.03157e-28,1.1819e-28,1.31801e-28,4.70101e-30,6.87647e-30,6.21776e-30,3.08906e-30
20,0.990445,6.57463e-28,1.29748e-28,1.53772e-28,5.35646e-30,7.36665e-30,7.37231e-30,2.73524e-30
21,0.989537,6.25355e-28,1.41324e-28,1.66526e-28,5.69907e-30,7.91228e-30,8.80469e-30,2.37312e-30
22,0.988599,6.43473e-28,1.48769e-28,1.77032e-28,6.61967e-30,8.71264e-30,1.06871e-29,2.01189e-30
23,0.987631,6.02168e-28,1.53165e-28,1.98318e-28,7.00242e-30,9.96207e-30,1.29789e-29,1.49599e-30
24,0.986636,5.52953e-28,1.59718e-28,2.14304e-28,8.06583e-30,1.13579e-29,1.55585e-29,1.49072e-30
25,0.985617,5.47339e-28,1.64523e-28,2.28344e-28,8.74904e-30,1.26953e-29,1.80783e-29,1.6225e-30
26,0.984574,5.31105e-28,1.80835e-28,2.60784e-28,1.01721e-29,1.45418e-29,2.18329e-29,2.07142e-30
27,0.98351,4.86051e-28,1.98185e-28,3.01337e-28,1.09923e-29,1.70022e-29,2.65308e-29,2.65334e-30
28,0.982427,4.78585e-28,1.9572e-28,3.20214e-28,1.25192e-29,1.99214e-29,2.95984e-29,3.31293e-30
29,0.981327,4.58218e-28,1.88566e-28,3.13451e-28,1.4914e-29,2.44666e-29,3.32311e-29,4.21294e-30
30,0.980214,4.14351e-28,1.99709e-28,3.73128e-28,1.79965e-29,2.62782e-29,3.74541e-29,5.40567e-30
31,0.979088,4.21738e-28,2.00273e-28,3.8934e-28,2.15629e-29,2.96915e-29,4.20138e-29,5.93111e-30
32,0.977953,3.84753e-28,2.01262e-28,4.29197e-28,2.35624e-29,3.22163e-29,4.53534e-29,6.43048e-30
33,0.976811,3.50206e-28,2.08736e-28,4.27513e-28,2.678e-29,3.62204e-29,4.6971e-29,7.38483e-30
34,0.975664,3.5961e-28,1.92378e-28,4.56517e-28,3.05646e-29,3.80042e-29,4.90645e-29,9.01006e-30
35,0.974516,3.33947e-28,2.09233e-28,4.85331e-28,3.56407e-29,4.23293e-29,5.21428e-29,1.0837e-29
36,0.973367,3.1104e-28,2.06995e-28,4.87681e-28,3.82807e-29,4.35499e-29,5.32653e-29,1.24651e-29
37,0.972222,2.7791e-28,1.93367e-28,4.83266e-28,4.22149e-29,5.0239e-29,5.54183e-29,1.6121e-29
38,0.971083,2.47662e-28,1.69617e-28,4.90225e-28,4.42299e-29,5.24206e-29,5.85005e-29,2.08581e-29
39,0.969953,2.59256e-28,1.80277e-28,4.86137e-28,4.90647e-29,5.93173e-29,5.80567e-29,2.31355e-29
40,0.968833,2.27643e-28,1.78424e-28,5.12042e-28,5.32101e-29,5.86716e-29,5.91346e-29,2.92688e-29
41,0.967728,2.02239e-28,1.87201e-28,5.22868e-28,5.67264e-29,6.47073e-29,6.0371e-29,3.54655e-29
42,0.966639,1.67599e-28,1.84038e-28,5.61896e-28,5.93686e-29,7.60649e-29,6.30139e-29,4.35034e-29
43,0.965569,1.44339e-28,1.86573e-28,5.27716e-28,5.83783e-29,7.80713e-29,5.99568e-29,5.11458e-29
44,0.964521,1.32006e-28,1.95374e-28,5.80513e-28,6.74022e-29,8.95356e-29,6.31679e-29,6.30713e-29
45,0.963498,1.2115e-28,2.03014e-28,5.34262e-28,7.71024e-29,9.88732e-29,6.9618e-29,7.79814e-29
46,0.962502,8.52104e-29,1.84606e-28,5.74025e-28,8.23267e-29,9.94474e-29,6.77923e-29,8.64163e-29
47,0.961537,8.73735e-29,1.95856e-28,5.66416e-28,8.39347e-29,1.12725e-28,7.27021e-29,1.01652e-28
48,0.960604,6.99509e-29,1.56655e-28,5.35697e-28,8.75485e-29,1.20825e-28,6.9657e-29,1.13716e-28
49,0.959706,5.64717e-29,1.98086e-28,5.95642e-28,1.01993e-28,1.30379e-28,7.36978e-29,1.24656e-28
50,0.958847,5.19927e-29,1.90035e-28,5.70493e-28,1.04783e-28,1.34548e-28,7.17993e-29,1.37988e-28
51,0.958027,4.30407e-29,1.75718e-28,5.61372e-28,1.04489e-28,1.3618e-28,7.39652e-29,1.43967e-28
52,0.957251,3.10908e-29,1.62842e-28,5.52439e-28,1.16294e-28,1.55743e-28,7.8335e-29,1.51325e-28
53,0.956519,2.97768e-29,1.47786e-28,5.23752e-28,1.10384e-28,1.56422e-28,8.20532e-29,1.59111e-28
54,0.955835,3.3352e-29,1.57626e-28,5.35959e-28,1.27163e-28,1.6336e-28,9.59087e-29,1.79135e-28
55,0.955202,2.88632e-29,1.42772e-28,5.44204e-28,1.23265e-28,1.6574e-28,9.0201e-29,1.71099e-28
56,0.95462,2.02499e-29,1.33705e-28,5.27014e-28,1.29962e-28,1.74119e-28,1.01936e-28,1.86082e-28
57,0.954092,1.09866e-29,1.06777e-28,4.95038e-28,1.28566e-28,1.75809e-28,1.03728e-28,1.98264e-28
58,0.953621,8.64541e-30,1.07874e-28,4.83934e-28,1.30285e-28,1.73969e-28,1.19436e-28,2.05366e-28
59,0.953208,5.84021e-30,9.95255e-29,5.05022e-28,1.37205e-28,1.81182e-28,1.3009e-28,2.1245e-28
60,0.952855,6.30794e-30,1.00333e-28,5.1835e-28,1.53327e-28,1.72898e-28,1.36964e-28,2.28825e-28
61,0.952564,2.10125e-30,8.8895e-29,4.66659e-28,1.56215e-28,1.75767e-28,1.38579e-28,2.42025e-28
62,0.952336,1.136e-30,6.86361e-29,4.42626e-28,1.63597e-28,1.81731e-28,1.68901e-28,2.65438e-28
63,0.952173,2.28618e-31,5.57246e-29,4.11103e-28,1.66893e-28,1.84387e-28,1.77136e-28,2.82601e-28
64,0.952076,1.45982e-31,5.79146e-29,4.73545e-28,1.91241e-28,1.93904e-28,1.8507e-28,3.10713e-28
65,0.952047,5.898e-32,4.46953e-29,4.149e-28,2.09396e-28,1.88949e-28,1.77348e-28,3.35179e-28
66,0.952087,2.33074e-30,4.94037e-29,4.3295e-28,1.95317e-28,1.86036e-28,1.81961e-28,3.38074e-28
67,0.952196,3.8619e-30,3.86558e-29,4.09679e-28,2.0249e-28,1.86008e-28,2.00574e-28,3.66192e-28
68,0.952377,6.6821e-30,2.98562e-29,3.64283e-28,2.21584e-28,1.78331e-28,1.97448e-28,3.92317e-28
69,0.952628,5.85706e-30,3.02459e-29,4.08647e-28,2.23141e-28,1.80048e-28,2.0022e-28,4.05049e-28
