x,AbsPsi
-1000,0
-999.9,0
-999.8,1.10209e-15
-999.7,7.6723e-16
-999.6,1.62565e-15
-999.5,2.14098e-15
-999.4,5.49758e-15
-999.3,3.82342e-15
-999.2,7.56811e-15
-999.1,8.57258e-15
-999,8.98896e-15
-998.9,1.01225e-14
-998.8,1.15936e-14
-998.7,1.1042e-14
-998.6,1.25936e-14
-998.5,1.36373e-14
-998.4,1.52422e-14
-998.3,1.5108e-14
-998.2,1.72136e-14
-998.1,1.80447e-14
-998,1.89122e-14
-997.9,2.03496e-14
-997.8,1.90755e-14
-997.7,2.04149e-14
-997.6,2.11332e-14
-997.5,2.10746e-14
-997.4,2.11214e-14
-997.3,2.34666e-14
-997.2,2.35774e-14
-997.1,2.67335e-14
-997,2.7218e-14
-996.9,2.83946e-14
-996.8,2.98798e-14
-996.7,3.18638e-14
-996.6,3.10489e-14
-996.5,3.46949e-14
-996.4,3.41528e-14
-996.3,3.62125e-14
-996.2,3.55211e-14
-996.1,3.83276e-14
-996,3.70027e-14
-995.9,3.85128e-14
-995.8,3.8983e-14
-995.7,3.92063e-14
-995.6,4.07516e-14
-995.5,4.12014e-14
-995.4,4.33733e-14
-995.3,4.38259e-14
-995.2,4.62816e-14
-995.1,4.62027e-14
-995,4.69285e-14
-994.9,4.85239e-14
-994.8,4.73626e-14
-994.7,4.96677e-14
-994.6,5.04756e-14
-994.5,5.12039e-14
-994.4,5.2509e-14
-994.3,5.37807e-14
-994.2,5.35941e-14
-994.1,5.42625e-14
-994,5.57222e-14
-993.9,5.71261e-14
-993.8,5.72124e-14
-993.7,5.92518e-14
-993.6,5.9757e-14
-993.5,6.10782e-14
-993.4,6.20293e-14
-993.3,6.18575e-14
-993.2,6.4266e-14
-993.1,6.60331e-14
-993,6.69238e-14
-992.9,6.85254e-14
-992.8,6.96525e-14
-992.7,7.02412e-14
-992.6,7.24693e-14
-992.5,7.24859e-14
-992.4,7.34459e-14
-992.3,7.46336e-14
-992.2,7.46214e-14
-992.1,7.48609e-14
-992,7.68115e-14
-991.9,7.8477e-14
-991.8,8.08612e-14
-991.7,8.14322e-14
-991.6,8.37524e-14
-991.5,8.37091e-14
-991.4,8.56736e-14
-991.3,8.44227e-14
-991.2,8.58224e-14
-991.1,8.67157e-14
-991,8.76047e-14
-990.9,8.79187e-14
-990.8,9.15865e-14
-990.7,9.03056e-14
-990.6,9.14358e-14
-990.5,9.09336e-14
-990.4,9.3658e-14
-990.3,9.37901e-14
-990.2,9.6014e-14
-990.1,9.69844e-14
-990,9.82815e-14
-989.9,9.92551e-14
-989.8,1.00445e-13
-989.7,1.00002e-13
-989.6,1.029e-13
-989.5,1.03661e-13
-989.4,1.04014e-13
-989.3,1.06215e-13
-989.2,1.07099e-13
-989.1,1.08886e-13
-989,1.10409e-13
-988.9,1.12045e-13
-988.8,1.13784e-13
-988.7,1.13643e-13
-988.6,1.16298e-13
-988.5,1.16052e-13
-988.4,1.19205e-13
-988.3,1.17935e-13
-988.2,1.19194e-13
-988.1,1.19471e-13
-988,1.21644e-13
-987.9,1.20382e-13
-987.8,1.23573e-13
-987.7,1.24142e-13
-987.6,1.2631e-13
-987.5,1.27664e-13
-987.4,1.29775e-13
-987.3,1.295e-13
-987.2,1.30721e-13
-987.1,1.30862e-13
-987,1.32087e-13
-986.9,1.34046e-13
-986.8,1.35643e-13
-986.7,1.34916e-13
-986.6,1.37864e-13
-986.5,1.3711e-13
-986.4,1.39377e-13
-986.3,1.39516e-13
-986.2,1.40763e-13
-986.1,1.39933e-13
-986,1.41968e-13
-985.9,1.43751e-13
-985.8,1.44562e-13
-985.7,1.45383e-13
-985.6,1.46048e-13
-985.5,1.47252e-13
