x,AbsPsi
-1000,0
-999.9,0
-999.8,0
-999.7,0
-999.6,0
-999.5,0
-999.4,0
-999.3,0
-999.2,0
-999.1,0
-999,0
-998.9,0
-998.8,0
-998.7,0
-998.6,0
-998.5,0
-998.4,0
-998.3,0
-998.2,0
-998.1,0
-998,0
-997.9,0
-997.8,0
-997.7,0
-997.6,0
-997.5,0
-997.4,0
-997.3,0
-997.2,0
-997.1,0
-997,0
-996.9,0
-996.8,0
-996.7,0
-996.6,0
-996.5,0
-996.4,0
-996.3,0
-996.2,0
-996.1,0
-996,0
-995.9,0
-995.8,0
-995.7,0
-995.6,0
-995.5,0
-995.4,0
-995.3,0
-995.2,0
-995.1,0
-995,0
-994.9,0
-994.8,0
-994.7,0
-994.6,0
-994.5,0
-994.4,0
-994.3,0
-994.2,0
-994.1,0
-994,0
-993.9,0
-993.8,0
-993.7,0
-993.6,0
-993.5,0
-993.4,0
-993.3,0
-993.2,0
-993.1,0
-993,0
-992.9,0
-992.8,0
-992.7,0
-992.6,0
-992.5,0
-992.4,0
-992.3,0
-992.2,0
-992.1,0
-992,0
-991.9,0
-991.8,0
-991.7,0
-991.6,0
-991.5,0
-991.4,0
-991.3,0
-991.2,0
-991.1,0
-991,0
-990.9,0
-990.8,0
-990.7,0
-990.6,0
-990.5,0
-990.4,0
-990.3,0
-990.2,0
-990.1,0
-990,0
-989.9,0
-989.8,0
-989.7,0
-989.6,0
-989.5,0
-989.4,0
-989.3,0
-989.2,0
-989.1,0
-989,0
-988.9,0
-988.8,0
-988.7,0
-988.6,0
-988.5,0
-988.4,0
-988.3,0
-988.2,0
-988.1,0
-988,0
-987.9,0
-987.8,0
-987.7,0
-987.6,0
-987.5,0
-987.4,0
-987.3,0
-987.2,0
-987.1,0
-987,0
-986.9,0
-986.8,0
-986.7,0
-986.6,0
-986.5,0
-986.4,0
-986.3,0
-986.2,0
-986.1,0
-986,0
-985.9,0
-985.8,0
-985.7,0
-985.6,0
-985.5,0
-985.4,0
-985.3,0
-985.2,0
-985.1,0
-985,0
-984.9,0
-984.8,0
-984.7,0
-984.6,0
-984.5,0
-984.4,0
-984.3,0
-984.2,0
-984.1,0
-984,0
-983.9,0
-983.8,0
-983.7,0
-983.6,0
-983.5,0
-983.4,0
-983.3,0
-983.2,0
-983.1,0
-983,0
-982.9,0
-982.8,0
-982.7,0
-982.6,0
-982.5,0
-982.4,0
-982.3,0
-982.2,0
-982.1,0
-982,0
-981.9,0
-981.8,0
-981.7,0
-981.6,0
-981.5,0
-981.4,0
-981.3,0
-981.2,0
-981.1,0
-981,0
-980.9,0
-980.8,0
-980.7,0
-980.6,0
-980.5,0
-980.4,0
-980.3,0
-980.2,0
-980.1,0
-980,0
-979.9,0
-979.8,0
-979.7,0
-979.6,0
-979.5,0
-979.4,0
-979.3,0
-979.2,0
-979.1,0
-979,0
-978.9,0
-978.8,0
-978.7,0
-978.6,0
-978.5,0
-978.4,0
-978.3,0
-978.2,0
-978.1,0
-978,0
-977.9,0
-977.8,0
-977.7,0
-977.6,0
-977.5,0
-977.4,0
-977.3,0
-977.2,0
-977.1,0
-977,0
-976.9,0
-976.8,0
-976.7,0
-976.6,0
-976.5,0
-976.4,0
-976.3,0
-976.2,0
-976.1,0
-976,0
-975.9,0
-975.8,0
-975.7,0
-975.6,0
-975.5,0
-975.4,0
-975.3,0
-975.2,0
-975.1,0
-975,0
-974.9,0
-974.8,0
-974.7,0
-974.6,0
-974.5,0
-974.4,0
-974.3,0
-974.2,0
-974.1,0
-974,0
-973.9,0
-973.8,0
-973.7,0
-973.6,0
-973.5,0
-973.4,0
-973.3,0
-973.2,0
-973.1,0
-973,0
-972.9,0
