x,AbsPsi
-1000,0
-999.9,0
-999.8,1.12818e-18
-999.7,1.17123e-17
-999.6,3.4772e-18
-999.5,8.98638e-18
-999.4,3.39364e-18
-999.3,1.32265e-17
-999.2,6.34754e-18
-999.1,8.99368e-18
-999,4.58783e-18
-998.9,4.63807e-18
-998.8,7.97751e-18
-998.7,1.37447e-17
-998.6,9.12158e-19
-998.5,1.07565e-17
-998.4,1.37752e-17
-998.3,3.29066e-18
-998.2,6.71805e-18
-998.1,2.35996e-18
-998,8.66694e-18
-997.9,5.7595e-18
-997.8,6.6555e-18
-997.7,1.19859e-17
-997.6,1.10494e-17
-997.5,4.07054e-18
-997.4,5.74324e-18
-997.3,1.73308e-17
-997.2,1.13459e-17
-997.1,5.25046e-18
-997,1.00144e-17
-996.9,3.81057e-18
-996.8,8.24101e-18
-996.7,1.22814e-17
-996.6,2.01683e-18
-996.5,1.33207e-17
-996.4,1.52041e-17
-996.3,1.42822e-17
-996.2,1.47629e-17
-996.1,1.40733e-17
-996,8.47493e-18
-995.9,1.20234e-17
-995.8,1.38671e-17
-995.7,8.46e-18
-995.6,4.99412e-18
-995.5,1.26177e-17
-995.4,1.02488e-17
-995.3,5.17142e-18
-995.2,6.56382e-18
-995.1,1.20792e-18
-995,9.90913e-18
-994.9,7.23522e-18
-994.8,1.15039e-17
-994.7,6.46542e-18
-994.6,6.32735e-18
-994.5,1.46207e-17
-994.4,6.71498e-18
-994.3,2.44402e-18
-994.2,7.15316e-18
-994.1,1.30666e-17
-994,1.6547e-18
-993.9,1.33347e-17
-993.8,6.98314e-18
-993.7,3.7984e-18
-993.6,9.90437e-18
-993.5,1.40241e-17
-993.4,2.25744e-17
-993.3,2.99606e-18
-993.2,9.68118e-19
-993.1,1.0937e-17
-993,1.91407e-17
-992.9,1.5351e-17
-992.8,1.09717e-17
-992.7,2.9512e-18
-992.6,5.26974e-18
-992.5,6.29228e-18
-992.4,1.47523e-17
-992.3,7.6057e-18
-992.2,9.0251e-18
-992.1,9.43414e-18
-992,3.31568e-18
-991.9,4.74098e-18
-991.8,1.1963e-17
-991.7,1.18481e-17
-991.6,4.72889e-18
-991.5,1.16403e-17
-991.4,8.02451e-18
-991.3,1.19343e-17
-991.2,1.91709e-17
-991.1,6.4662e-18
-991,1.01525e-17
-990.9,7.96609e-18
-990.8,6.49081e-18
-990.7,5.05969e-18
-990.6,6.88354e-18
-990.5,9.79294e-18
-990.4,2.02339e-17
-990.3,5.08955e-18
-990.2,4.52519e-18
-990.1,1.27837e-17
-990,5.89221e-18
-989.9,8.63094e-18
-989.8,8.25684e-18
-989.7,8.03776e-18
-989.6,1.21696e-18
-989.5,1.1975e-17
-989.4,9.8423e-18
-989.3,1.08881e-17
-989.2,1.74107e-17
-989.1,1.38897e-18
-989,3.75252e-18
-988.9,7.24043e-18
-988.8,1.85091e-17
-988.7,1.2158e-18
-988.6,7.90877e-18
-988.5,5.52691e-18
-988.4,5.68642e-18
-988.3,1.18354e-18
-988.2,1.26584e-17
-988.1,1.07475e-17
-988,5.92036e-18
-987.9,5.09646e-18
-987.8,1.40164e-17
-987.7,1.02013e-17
-987.6,3.62538e-18
-987.5,1.32451e-17
-987.4,1.31835e-17
-987.3,1.07102e-17
-987.2,9.42994e-18
-987.1,2.16758e-17
-987,7.58527e-18
-986.9,4.86962e-18
-986.8,1.29539e-17
-986.7,4.32288e-18
-986.6,1.52251e-17
-986.5,4.38975e-18
-986.4,6.31868e-19
-986.3,1.34311e-17
-986.2,1.49354e-17
-986.1,1.66626e-17
-986,8.78347e-18
-985.9,1.23853e-17
-985.8,8.82062e-18
-985.7,6.5044e-18
-985.6,1.14312e-17
