x,x_g,x_ex,k,init,g,ex,E,T
-400,0,0,-16.081,4.761e-29,1.6601e-29,3.44872e-30,186.325,0
-399.805,0,0,-16.0732,5.2972e-29,1.10803e-28,1.91763e-30,186.143,0
-399.609,8.27096e-29,2.88418e-29,-16.0653,5.79092e-29,1.5427e-29,2.31443e-30,185.961,0
-399.414,6.84675e-29,3.4722e-29,-16.0575,6.38304e-29,2.70952e-29,2.48143e-31,185.779,0
-399.219,8.68712e-31,6.01434e-30,-16.0496,7.03024e-29,5.67746e-29,3.32177e-31,185.598,0
-399.023,5.3536e-29,8.76403e-30,-16.0418,7.64312e-29,1.06834e-28,7.3065e-31,185.416,0
-398.828,9.23463e-29,3.80874e-29,-16.0339,8.2932e-29,8.94684e-29,1.46784e-30,185.234,0
-398.632,1.66219e-29,2.34758e-29,-16.026,8.92726e-29,3.51674e-29,1.33144e-30,185.053,0
-398.437,6.37565e-30,4.18684e-30,-16.0182,9.63147e-29,1.01262e-28,3.31499e-30,184.872,0
-398.242,5.04527e-29,2.25021e-29,-16.0103,1.02646e-28,1.17745e-28,6.73245e-31,184.69,0
-398.046,3.9566e-29,3.32984e-29,-16.0025,1.10568e-28,9.17353e-29,7.61436e-31,184.509,0
-397.851,3.11625e-30,2.29847e-29,-15.9946,1.18097e-28,6.2086e-29,2.52884e-30,184.328,0
-397.656,5.05948e-30,1.05995e-29,-15.9868,1.2617e-28,4.37252e-30,3.57054e-30,184.147,0
-397.46,2.28121e-29,2.68419e-29,-15.9789,1.33317e-28,2.91642e-29,3.65536e-30,183.966,0
-397.265,1.94208e-29,2.84074e-29,-15.9711,1.41587e-28,1.39031e-28,2.68104e-30,183.786,0
-397.07,1.7643e-30,2.03904e-29,-15.9632,1.4853e-28,1.49761e-28,6.84009e-30,183.605,0
-396.874,1.06358e-29,1.59298e-29,-15.9554,1.5685e-28,1.57899e-28,8.60573e-32,183.424,0
-396.679,3.36456e-29,2.31476e-29,-15.9475,1.66807e-28,7.77301e-29,7.96647e-30,183.244,0
-396.484,1.4827e-29,2.77775e-29,-15.9397,1.74315e-28,5.53765e-29,3.33708e-30,183.063,0
-396.288,2.88064e-29,2.72652e-29,-15.9318,1.8208e-28,6.12573e-29,3.36903e-31,182.883,0
-396.093,4.88387e-29,1.28575e-29,-15.9239,1.90901e-28,6.6335e-29,3.57316e-30,182.703,0
-395.897,2.86588e-29,2.0959e-29,-15.9161,1.99083e-28,1.58106e-28,1.15695e-30,182.522,0
-395.702,5.31438e-29,3.77486e-29,-15.9082,2.07718e-28,9.20102e-29,4.42432e-30,182.342,0
-395.507,1.333e-28,2.42372e-29,-15.9004,2.15653e-28,7.31098e-29,5.63708e-30,182.162,0
-395.311,7.31655e-29,1.13277e-29,-15.8925,2.23816e-28,7.81858e-29,1.57899e-30,181.982,0
-395.116,3.88541e-29,2.8448e-29,-15.8847,2.3265e-28,1.18173e-28,7.22113e-30,181.803,0
-394.921,1.71917e-28,4.19434e-29,-15.8768,2.40581e-28,1.66697e-28,5.77413e-31,181.623,0
-394.725,1.69387e-28,2.08444e-29,-15.869,2.47992e-28,1.64272e-28,8.6883e-30,181.443,0
-394.53,4.46466e-29,1.36687e-29,-15.8611,2.56515e-28,1.14484e-28,4.2441e-32,181.264,0
-394.335,1.68181e-28,4.13645e-29,-15.8533,2.64722e-28,1.03541e-28,1.27841e-30,181.084,0
-394.139,2.64201e-28,3.78938e-29,-15.8454,2.7207e-28,8.68453e-29,1.05633e-30,180.905,0
-393.944,1.2135e-28,6.64158e-30,-15.8376,2.80737e-28,1.76492e-28,2.65366e-31,180.726,0
-393.748,8.4395e-29,2.85232e-29,-15.8297,2.87417e-28,1.88283e-28,2.40721e-30,180.546,0
-393.553,3.31539e-28,5.19006e-29,-15.8218,2.95246e-28,1.60199e-28,2.10019e-30,180.367,0
-393.358,2.30781e-28,2.3428e-29,-15.814,3.0244e-28,1.11647e-28,1.69618e-30,180.188,0
-393.162,3.77903e-29,7.82477e-30,-15.8061,3.08641e-28,8.61195e-29,1.24705e-30,180.009,0
-392.967,2.4713e-28,4.31806e-29,-15.7983,3.16557e-28,7.09371e-29,3.30612e-30,179.83,0
-392.772,3.35699e-28,4.95791e-29,-15.7904,3.22369e-28,1.85039e-28,6.27709e-30,179.652,0
-392.576,8.74847e-29,8.47428e-30,-15.7826,3.29515e-28,2.12708e-28,4.21097e-30,179.473,0
-392.381,8.14776e-29,2.22793e-29,-15.7747,3.33938e-28,1.12347e-28,1.7134e-30,179.294,0
-392.186,3.04863e-28,6.17577e-29,-15.7669,3.40519e-28,7.60216e-29,1.43307e-29,179.116,0
-391.99,1.68616e-28,2.77179e-29,-15.759,3.4528e-28,1.06566e-29,3.39389e-30,178.938,0
-391.795,9.84184e-30,6.80321e-30,-15.7512,3.48537e-28,1.59907e-28,3.11437e-30,178.759,0
-391.6,1.85828e-28,3.98526e-29,-15.7433,3.54148e-28,3.00877e-28,3.61119e-31,178.581,0
-391.404,2.42684e-28,4.74091e-29,-15.7355,3.60186e-28,1.26261e-28,2.04579e-30,178.403,0
-391.209,4.14457e-29,5.07058e-30,-15.7276,3.63762e-28,3.68077e-29,3.14144e-30,178.225,0
-391.013,5.18386e-29,1.94989e-29,-15.7197,3.67546e-28,1.30061e-28,8.97325e-31,178.047,0
-390.818,1.92657e-28,5.65562e-29,-15.7119,3.71862e-28,1.84748e-28,1.5076e-30,177.869,0
-390.623,1.05382e-28,2.97119e-29,-15.704,3.7342e-28,1.07424e-28,1.1429e-30,177.691,0
-390.427,1.23837e-30,2.61799e-30,-15.6962,3.75808e-28,1.22227e-28,2.59569e-30,177.513,0
-390.232,7.68446e-29,4.56418e-29,-15.6883,3.79773e-28,1.24694e-28,2.07973e-29,177.336,0
-390.037,1.43393e-28,5.22848e-29,-15.6805,3.81976e-28,1.50319e-28,3.07393e-31,177.158,0
-389.841,5.23199e-29,6.00687e-30,-15.6726,3.83744e-28,2.58082e-28,1.66299e-30,176.981,0
-389.646,1.6421e-29,2.41366e-29,-15.6648,3.83612e-28,7.16265e-29,1.54255e-30,176.804,0
-389.451,8.74863e-29,6.4574e-29,-15.6569,3.86282e-28,9.0477e-29,2.15358e-30,176.626,0
-389.255,9.79254e-29,2.44884e-29,-15.6491,3.85315e-28,9.25365e-29,8.98522e-30,176.449,0
-389.06,2.11137e-29,4.4723e-30,-15.6412,3.84879e-28,1.99003e-28,3.30632e-30,176.272,0
-388.864,2.80134e-29,5.24907e-29,-15.6334,3.85325e-28,1.4048e-28,3.85933e-31,176.095,0
-388.669,9.80795e-29,4.90755e-29,-15.6255,3.85148e-28,3.22027e-29,9.28799e-31,175.918,0
-388.474,7.53871e-29,3.32871e-31,-15.6176,3.8309e-28,1.30296e-28,1.86728e-30,175.741,0
-388.278,6.55776e-30,3.76887e-29,-15.6098,3.82307e-28,2.40792e-28,1.40917e-30,175.565,0
-388.083,5.32257e-29,6.7505e-29,-15.6019,3.81027e-28,5.42124e-29,1.53816e-29,175.388,0
-387.888,9.494e-29,1.58546e-29,-15.5941,3.78963e-28,7.32997e-29,4.12231e-30,175.212,0
-387.692,3.1015e-29,1.84019e-29,-15.5862,3.76758e-28,4.42179e-29,7.42475e-30,175.035,0
-387.497,1.43895e-29,7.21742e-29,-15.5784,3.74752e-28,9.46178e-29,9.07848e-30,174.859,0
-387.302,9.16328e-29,4.04987e-29,-15.5705,3.71475e-28,7.58663e-29,3.62986e-30,174.683,0
-387.106,7.52384e-29,2.44212e-30,-15.5627,3.68101e-28,9.56614e-29,3.78032e-30,174.506,0
-386.911,1.64172e-30,5.87046e-29,-15.5548,3.65159e-28,6.30622e-29,2.0088e-30,174.33,0
-386.716,5.58728e-29,6.98864e-29,-15.547,3.60733e-28,7.21319e-29,5.37579e-30,174.154,0
-386.52,9.57694e-29,5.0595e-30,-15.5391,3.57781e-28,9.69817e-29,1.84141e-30,173.978,0
-386.325,1.27527e-29,3.40476e-29,-15.5312,3.52811e-28,4.08671e-29,3.15111e-30,173.803,0
-386.129,1.69605e-29,8.06499e-29,-15.5234,3.47268e-28,1.14706e-29,1.69738e-29,173.627,0
-385.934,9.08353e-29,2.62573e-29,-15.5155,3.43342e-28,6.96124e-29,4.26481e-30,173.451,0
-385.739,4.76083e-29,8.56186e-30,-15.5077,3.38128e-28,1.70379e-28,1.54637e-30,173.276,0
-385.543,8.62754e-32,6.99108e-29,-15.4998,3.32271e-28,1.22792e-28,1.40368e-30,173.1,0
-385.348,5.15604e-29,5.51481e-29,-15.492,3.26803e-28,3.49212e-29,5.89443e-30,172.925,0
-385.153,5.62006e-29,2.35749e-33,-15.4841,3.21272e-28,1.16372e-29,5.29439e-30,172.749,0
-384.957,8.61026e-30,4.08143e-29,-15.4763,3.15874e-28,7.43749e-29,7.53508e-31,172.574,0
-384.762,2.15254e-29,6.10419e-29,-15.4684,3.10466e-28,9.76849e-29,1.89623e-30,172.399,0
-384.567,5.25079e-29,8.20886e-30,-15.4606,3.03335e-28,7.01665e-29,5.57379e-31,172.224,0
-384.371,3.04859e-29,1.34562e-29,-15.4527,2.97548e-28,3.19727e-29,3.07664e-30,172.049,0
-384.176,1.43837e-30,4.89412e-29,-15.4449,2.91174e-28,2.99759e-29,7.5838e-30,171.874,0
-383.98,4.70977e-29,1.823e-29,-15.437,2.85537e-28,2.3238e-29,7.60266e-30,171.7,0
-383.785,5.13572e-29,1.94693e-30,-15.4291,2.77496e-28,5.81302e-29,7.95124e-32,171.525,0
-383.59,7.76647e-30,3.34331e-29,-15.4213,2.70279e-28,9.18147e-29,2.98778e-30,171.35,0
-383.394,2.94767e-29,2.35319e-29,-15.4134,2.63992e-28,1.16136e-28,1.16848e-30,171.176,0
-383.199,5.41123e-29,3.22754e-31,-15.4056,2.58161e-28,1.09787e-28,7.02663e-31,171.001,0
-383.004,1.71877e-29,1.55788e-29,-15.3977,2.50558e-28,5.31041e-29,5.03338e-31,170.827,0
-382.808,3.14791e-29,1.59908e-29,-15.3899,2.4351e-28,1.26379e-30,1.06786e-29,170.653,0
-382.613,8.45662e-29,2.20764e-30,-15.382,2.36856e-28,2.60375e-29,6.58412e-30,170.479,0
-382.418,3.57468e-29,1.0267e-29,-15.3742,2.29741e-28,1.46271e-28,7.90284e-30,170.305,0
-382.222,4.68618e-29,1.15495e-29,-15.3663,2.22572e-28,1.19093e-28,6.13953e-30,170.131,0
-382.027,1.01819e-28,2.9543e-30,-15.3585,2.15334e-28,2.36885e-29,7.56749e-30,169.957,0
-381.832,7.04179e-29,1.14567e-29,-15.3506,2.09793e-28,3.95825e-29,2.51183e-30,169.783,0
-381.636,5.7969e-29,1.61913e-29,-15.3428,2.02293e-28,3.30138e-29,3.11852e-30,169.609,0
-381.441,1.44189e-28,1.49284e-30,-15.3349,1.95603e-28,2.65656e-29,7.11094e-30,169.436,0
-381.245,1.20558e-28,8.10876e-30,-15.327,1.88539e-28,4.17115e-29,3.19641e-30,169.262,0
-381.05,6.70522e-29,2.42699e-29,-15.3192,1.82088e-28,3.57295e-29,1.03899e-29,169.089,0
-380.855,1.32025e-28,7.30811e-30,-15.3113,1.75433e-28,4.48979e-29,5.75303e-31,168.916,0
-380.659,1.71926e-28,6.69287e-30,-15.3035,1.68803e-28,4.2585e-29,2.50325e-30,168.742,0
-380.464,8.84902e-29,3.5897e-29,-15.2956,1.62494e-28,2.68199e-29,1.80226e-30,168.569,0
-380.269,1.53534e-28,3.10624e-29,-15.2878,1.56014e-28,2.60233e-29,8.81836e-30,168.396,0
-380.073,1.57148e-28,1.1656e-29,-15.2799,1.5037e-28,1.66652e-29,9.78058e-30,168.223,0
-379.878,1.35081e-28,2.45498e-29,-15.2721,1.43689e-28,2.35871e-29,2.0381e-30,168.05,0
-379.683,1.84216e-28,5.01226e-29,-15.2642,1.38328e-28,1.85015e-29,5.85849e-30,167.877,0
-379.487,2.20677e-28,3.48881e-29,-15.2564,1.31344e-28,1.03659e-29,1.22614e-29,167.705,0
-379.292,1.4771e-28,2.63976e-29,-15.2485,1.25215e-28,3.24645e-30,2.49241e-30,167.532,0
-379.096,2.1129e-28,5.76092e-29,-15.2407,1.19811e-28,1.47609e-30,1.41811e-30,167.36,0
-378.901,2.5076e-28,6.66003e-29,-15.2328,1.1426e-28,3.94652e-29,8.39073e-31,167.187,0
-378.706,1.33366e-28,4.19815e-29,-15.2249,1.09292e-28,8.33678e-30,7.58011e-31,167.015,0
-378.51,1.87911e-28,5.91094e-29,-15.2171,1.03255e-28,2.6494e-29,1.27531e-29,166.842,0
-378.315,3.03591e-28,8.20519e-29,-15.2092,9.89254e-29,5.14908e-30,1.09495e-29,166.67,0
-378.12,1.93173e-28,6.81398e-29,-15.2014,9.34385e-29,2.1595e-29,3.96977e-30,166.498,0
-377.924,1.65891e-28,4.58996e-29,-15.1935,8.81707e-29,1.46574e-29,9.31918e-31,166.326,0
-377.729,2.65075e-28,7.35747e-29,-15.1857,8.34775e-29,2.56901e-29,4.82428e-30,166.154,0
-377.534,2.03516e-28,9.38965e-29,-15.1778,7.90153e-29,1.41965e-29,9.64575e-31,165.982,0
-377.338,1.51445e-28,5.56516e-29,-15.17,7.46141e-29,1.95578e-29,4.13113e-30,165.811,0
-377.143,2.56094e-28,5.99441e-29,-15.1621,6.99118e-29,5.63806e-29,1.58275e-30,165.639,0
-376.947,2.32586e-28,9.1908e-29,-15.1543,6.62879e-29,1.60435e-29,3.27138e-30,165.467,0
-376.752,1.82916e-28,8.06037e-29,-15.1464,6.16156e-29,3.56734e-31,4.49893e-30,165.296,0
-376.557,1.84762e-28,5.0181e-29,-15.1385,5.74159e-29,2.43324e-30,2.94118e-30,165.125,0
-376.361,1.98953e-28,7.02225e-29,-15.1307,5.35483e-29,2.17659e-29,9.87706e-31,164.953,0
-376.166,1.78583e-28,8.48149e-29,-15.1228,5.05099e-29,7.27641e-30,7.70197e-30,164.782,0
-375.971,2.05902e-28,6.40064e-29,-15.115,4.60639e-29,1.95006e-29,5.74476e-30,164.611,0
-375.775,1.41926e-28,5.13934e-29,-15.1071,4.29231e-29,2.45057e-29,1.28028e-30,164.44,0
-375.58,1.51397e-28,7.19167e-29,-15.0993,3.96084e-29,3.38614e-29,2.15577e-30,164.269,0
-375.385,1.90884e-28,7.13105e-29,-15.0914,3.65937e-29,1.29967e-29,4.91961e-30,164.098,0
-375.189,1.55494e-28,5.14833e-29,-15.0836,3.3945e-29,6.74656e-30,8.73464e-31,163.927,0
-374.994,8.47133e-29,4.34207e-29,-15.0757,3.08994e-29,5.25117e-30,1.35034e-30,163.757,0
-374.799,1.58166e-28,6.66697e-29,-15.0679,2.81358e-29,3.07243e-29,8.33762e-31,163.586,0
-374.603,1.51472e-28,4.77791e-29,-15.06,2.55061e-29,3.8919e-29,8.96187e-31,163.416,0
-374.408,6.35498e-29,3.36564e-29,-15.0522,2.28494e-29,7.32366e-30,4.60076e-30,163.245,0
-374.212,1.11114e-28,4.48062e-29,-15.0443,2.04382e-29,1.01585e-30,1.03978e-29,163.075,0
-374.017,1.69189e-28,5.14349e-29,-15.0364,1.85207e-29,1.2478e-30,1.45887e-30,162.905,0
-373.822,9.02844e-29,3.1915e-29,-15.0286,1.64129e-29,2.40895e-29,2.47389e-30,162.735,0
-373.626,8.36851e-29,2.67994e-29,-15.0207,1.43018e-29,1.26775e-29,1.51122e-30,162.565,0
-373.431,1.21935e-28,3.53731e-29,-15.0129,1.27013e-29,3.38305e-29,6.19169e-30,162.395,0
-373.236,8.17207e-29,3.6255e-29,-15.005,1.0983e-29,2.07715e-29,8.17995e-31,162.225,0
-373.04,5.11421e-29,1.70126e-29,-14.9972,9.42261e-30,2.56365e-30,3.19264e-32,162.055,0
-372.845,6.05184e-29,2.05981e-29,-14.9893,7.80967e-30,3.12153e-30,3.16427e-30,161.885,0
-372.65,7.89552e-29,3.41054e-29,-14.9815,6.697e-30,8.94012e-30,2.44634e-30,161.716,0
-372.454,6.2522e-29,2.29158e-29,-14.9736,5.62451e-30,6.97903e-30,2.07462e-30,161.546,0
-372.259,4.32946e-29,6.29069e-30,-14.9658,4.54299e-30,5.23903e-30,5.36549e-30,161.377,0
-372.063,2.96247e-29,1.71965e-29,-14.9579,3.60661e-30,1.54055e-29,6.65121e-31,161.207,0
-371.868,7.75896e-29,1.90653e-29,-14.9501,2.82986e-30,1.10255e-29,1.67648e-30,161.038,0
-371.673,5.58259e-29,8.20563e-30,-14.9422,2.28019e-30,1.10266e-29,3.58901e-30,160.869,0
-371.477,2.29861e-29,6.11626e-30,-14.9343,1.78781e-30,2.36768e-30,3.70099e-31,160.7,0
-371.282,4.10226e-29,2.15837e-29,-14.9265,1.27425e-30,4.21699e-31,8.46504e-31,160.531,0
-371.087,6.80488e-29,1.40283e-29,-14.9186,1.03114e-30,3.88882e-31,2.081e-30,160.362,0
-370.891,1.91381e-29,1.35873e-30,-14.9108,9.68302e-31,3.32646e-30,1.28307e-30,160.193,0
-370.696,1.80874e-29,8.85625e-30,-14.9029,9.686e-31,1.65671e-30,9.94576e-30,160.025,0
-370.501,5.57929e-29,1.64498e-29,-14.8951,1.16474e-30,5.41652e-30,1.27764e-29,159.856,0
-370.305,5.53694e-29,5.36846e-30,-14.8872,1.41096e-30,8.36224e-30,1.85705e-30,159.687,0
-370.11,6.15428e-30,6.37779e-31,-14.8794,1.83954e-30,9.60529e-31,3.4781e-30,159.519,0
-369.915,3.79299e-29,1.18657e-29,-14.8715,2.46607e-30,6.54779e-30,1.0454e-29,159.351,0
-369.719,7.32242e-29,1.512e-29,-14.8637,3.1911e-30,2.8999e-29,8.20287e-31,159.182,0
-369.524,2.49932e-29,2.59765e-30,-14.8558,4.12985e-30,3.19787e-30,1.77829e-30,159.014,0
-369.328,1.38649e-29,1.93352e-30,-14.848,4.98714e-30,2.81739e-30,1.23536e-29,158.846,0
-369.133,5.11565e-29,1.7196e-29,-14.8401,6.32672e-30,2.41768e-29,1.64903e-29,158.678,0
-368.938,4.08e-29,1.21662e-29,-14.8322,7.57429e-30,1.69472e-30,4.2443e-31,158.51,0
-368.742,1.47396e-29,2.90823e-31,-14.8244,9.18717e-30,8.24716e-30,1.28243e-30,158.342,0
-368.547,3.50517e-29,6.15666e-30,-14.8165,1.0796e-29,1.58021e-29,5.99895e-30,158.175,0
-368.352,4.81576e-29,1.73535e-29,-14.8087,1.25616e-29,4.43143e-30,6.40167e-30,158.007,0
-368.156,4.42829e-29,9.71487e-30,-14.8008,1.47496e-29,5.94924e-29,1.5044e-29,157.839,0
