x,x_g,x_ex,k,init,g,ex,E,T
-400,0,0,-16.081,4.761e-29,1.84993e-29,3.90077e-31,186.325,0
-399.805,0,0,-16.0732,5.2972e-29,5.92976e-29,7.73298e-30,186.143,0
-399.609,1.38662e-29,8.58348e-29,-16.0653,5.79092e-29,1.06288e-28,2.2376e-30,185.961,0
-399.414,3.93988e-30,1.09138e-28,-16.0575,6.38304e-29,1.00239e-29,1.56345e-30,185.779,0
-399.219,4.5251e-30,1.22706e-29,-16.0496,7.03024e-29,3.61912e-29,4.97839e-30,185.598,0
-399.023,1.81635e-29,3.17218e-29,-16.0418,7.64312e-29,8.65132e-29,7.73896e-30,185.416,0
-398.828,1.00856e-29,1.14501e-28,-16.0339,8.2932e-29,9.24121e-29,1.02607e-29,185.234,0
-398.632,1.74992e-30,6.60296e-29,-16.026,8.92726e-29,5.57121e-29,5.17775e-30,185.053,0
-398.437,2.94087e-29,1.1174e-29,-16.0182,9.63147e-29,8.87332e-29,2.92177e-30,184.872,0
-398.242,1.13014e-29,7.18518e-29,-16.0103,1.02646e-28,1.46741e-28,8.17793e-30,184.69,0
-398.046,2.93263e-30,9.90164e-29,-16.0025,1.10568e-28,8.61495e-29,1.38882e-29,184.509,0
-397.851,3.61427e-29,4.49635e-29,-15.9946,1.18097e-28,8.4461e-29,7.393e-30,184.328,0
-397.656,2.77715e-29,3.42115e-29,-15.9868,1.2617e-28,6.42064e-29,4.8044e-31,184.147,0
-397.46,1.55057e-30,7.79459e-29,-15.9789,1.33317e-28,9.31874e-29,2.20385e-31,183.966,0
-397.265,4.52394e-29,8.05486e-29,-15.9711,1.41587e-28,1.04859e-28,5.15204e-30,183.786,0
-397.07,4.69794e-29,4.21155e-29,-15.9632,1.4853e-28,2.0026e-28,6.78824e-30,183.605,0
-396.874,8.75694e-30,6.25253e-29,-15.9554,1.5685e-28,1.15238e-28,2.55763e-30,183.424,0
-396.679,4.224e-29,6.64881e-29,-15.9475,1.66807e-28,9.78682e-29,7.31071e-30,183.244,0
-396.484,7.11482e-29,6.02859e-29,-15.9397,1.74315e-28,9.99295e-29,1.33756e-29,183.063,0
-396.288,2.84484e-29,5.06056e-29,-15.9318,1.8208e-28,9.97128e-29,3.19812e-30,182.883,0
-396.093,3.49969e-29,7.19754e-29,-15.9239,1.90901e-28,1.12112e-28,1.00867e-30,182.703,0
-395.897,8.04763e-29,6.10958e-29,-15.9161,1.99083e-28,9.49106e-29,7.73038e-30,182.522,0
-395.702,5.28219e-29,6.47898e-29,-15.9082,2.07718e-28,4.66405e-29,6.10345e-30,182.342,0
-395.507,4.89778e-29,7.5138e-29,-15.9004,2.15653e-28,4.49389e-29,1.12399e-30,182.162,0
-395.311,7.90839e-29,5.58837e-29,-15.8925,2.23816e-28,9.68785e-29,2.09118e-30,181.982,0
