E,T
7.1112e-06,0
6.40008e-05,1.55443e+14
0.00017778,1.69011e+14
0.000348449,1.87699e+14
0.000576007,2.08531e+14
0.000860456,2.28498e+14
0.00120179,2.58446e+14
0.00160002,2.92806e+14
0.00205514,3.33795e+14
0.00256714,3.82841e+14
0.00313604,4.44695e+14
0.00376183,5.21287e+14
0.0044445,6.03089e+14
0.00518407,7.03668e+14
0.00598052,8.15971e+14
0.00683387,9.31449e+14
0.0077441,1.04632e+15
0.00871122,1.10947e+15
0.00973524,1.15073e+15
0.0108161,1.08388e+15
0.0119539,1.02536e+15
0.0131486,9.14483e+14
0.0144002,7.80029e+14
0.0157086,6.85524e+14
0.017074,5.87915e+14
0.0184962,5.08335e+14
0.0199754,4.34574e+14
0.0215114,3.81933e+14
0.0231043,3.35983e+14
0.0247541,2.98226e+14
0.0264608,2.65884e+14
0.0282244,2.37142e+14
0.0300448,2.17408e+14
0.0319222,1.97522e+14
0.0338564,1.81768e+14
0.0358476,1.67587e+14
0.0378956,1.56584e+14
0.0400005,1.47335e+14
0.0421623,1.37485e+14
0.044381,1.31078e+14
0.0466566,1.24183e+14
0.0489891,1.1952e+14
0.0513784,1.1454e+14
0.0538247,1.10232e+14
0.0563278,1.06429e+14
0.0588879,1.02921e+14
0.0615048,1.01268e+14
0.0641786,9.92837e+13
0.0669093,9.73378e+13
0.0696969,9.57462e+13
0.0725414,9.51948e+13
0.0754428,9.56271e+13
0.078401,9.46162e+13
0.0814162,9.49532e+13
0.0844882,9.5581e+13
0.0876171,9.59838e+13
0.0908029,9.57131e+13
0.0940457,9.80392e+13
0.0973453,9.95778e+13
0.100702,1.01772e+14
0.104115,1.05483e+14
0.107585,1.0708e+14
0.111113,1.10585e+14
0.114697,1.13419e+14
0.118338,1.17066e+14
0.122035,1.22795e+14
0.12579,1.26879e+14
0.129602,1.33466e+14
0.13347,1.38876e+14
0.137396,1.45663e+14
0.141378,1.53512e+14
0.145417,1.62738e+14
0.149513,1.71476e+14
0.153666,1.79817e+14
0.157876,1.91939e+14
0.162143,2.07656e+14
0.166466,2.18324e+14
0.170847,2.22797e+14
0.175284,2.41619e+14
0.179778,2.51398e+14
0.184329,2.56341e+14
0.188938,2.69948e+14
0.193602,2.83521e+14
0.198324,2.83054e+14
0.203103,2.80462e+14
0.207939,2.84669e+14
0.212831,2.79555e+14
0.217781,2.7997e+14
0.222787,2.63604e+14
0.22785,2.56708e+14
0.23297,2.48803e+14
0.238147,2.33194e+14
0.243381,2.12765e+14
0.248672,2.00871e+14
0.254019,1.84434e+14
0.259424,1.7217e+14
0.264885,1.57575e+14
0.270403,1.45029e+14
0.275979,1.34018e+14
0.281611,1.23025e+14
0.2873,1.13181e+14
0.293046,1.04722e+14
0.298848,9.83706e+13
0.304708,9.15362e+13
0.310624,8.40917e+13
0.316598,7.89289e+13
0.322628,7.4473e+13
0.328715,6.91856e+13
0.334859,6.4879e+13
0.34106,6.19235e+13
0.347318,5.79179e+13
0.353633,5.45511e+13
0.360005,5.1774e+13
0.366433,4.96315e+13
0.372919,4.75794e+13
0.379461,4.48423e+13
0.38606,4.32776e+13
0.392716,4.17305e+13
0.399429,3.99933e+13
0.406199,3.8618e+13
0.413026,3.76199e+13
0.419909,3.62572e+13
0.42685,3.51923e+13
0.433847,3.43923e+13
0.440902,3.34831e+13
0.448013,3.27822e+13
0.455181,3.22842e+13
0.462406,3.17109e+13
0.469688,3.13267e+13
0.477027,3.09118e+13
0.484422,3.04503e+13
0.491875,3.03749e+13
0.499384,3.02078e+13
0.506951,3.00462e+13
0.514574,3.01229e+13
0.522254,3.03151e+13
0.529991,3.02609e+13
0.537785,3.0454e+13
0.545635,3.05881e+13
0.553543,3.09468e+13
0.561508,3.13075e+13
0.569529,3.1834e+13
0.577607,3.2397e+13
0.585743,3.30073e+13
0.593935,3.39278e+13
0.602184,3.46855e+13
0.61049,3.57032e+13
0.618852,3.65837e+13
0.627272,3.77681e+13
0.635749,3.92283e+13
0.644282,4.0384e+13
0.652872,4.22036e+13
0.66152,4.38337e+13
0.670224,4.60131e+13
0.678985,4.80798e+13
0.687803,5.04157e+13
0.696677,5.33041e+13
0.705609,5.61016e+13
0.714598,5.92084e+13
0.723643,6.3228e+13
0.732745,6.65654e+13
0.741905,7.14165e+13
0.751121,7.63074e+13
0.760394,8.10981e+13
0.769724,8.73918e+13
0.77911,9.42828e+13
0.788554,1.02196e+14
0.798055,1.10001e+14
0.807612,1.18345e+14
0.817227,1.28011e+14
0.826898,1.39603e+14
0.836626,1.5091e+14
0.846411,1.63398e+14
0.856253,1.78883e+14
0.866152,1.91992e+14
0.876107,2.09294e+14
0.88612,2.25395e+14
0.896189,2.43338e+14
0.906316,2.60982e+14
0.916499,2.74145e+14
0.926739,2.86398e+14
0.937036,2.99915e+14
0.94739,3.10404e+14
0.957801,3.19644e+14
0.968268,3.2453e+14
0.978793,3.29223e+14
0.989375,3.30033e+14
1.00001,3.19787e+14
1.01071,3.11432e+14
1.02146,3.06575e+14
1.03227,2.92804e+14
1.04314,2.84291e+14
1.05406,2.73129e+14
1.06504,2.61203e+14
1.07607,2.48558e+14
1.08717,2.32345e+14
1.09832,2.24709e+14
1.10953,2.15905e+14
1.12079,2.05601e+14
1.13211,1.94992e+14
1.14349,1.86237e+14
1.15492,1.79653e+14
1.16642,1.70235e+14
1.17796,1.63031e+14
1.18957,1.5593e+14
1.20123,1.50884e+14
1.21295,1.4392e+14
1.22473,1.38527e+14
1.23656,1.33164e+14
1.24845,1.28937e+14
1.2604,1.24286e+14
1.2724,1.20394e+14
1.28446,1.15675e+14
1.29658,1.11664e+14
1.30875,1.08736e+14
1.32098,1.06125e+14
1.33327,1.04435e+14
1.34562,1.00466e+14
1.35802,9.79951e+13
1.37048,9.52016e+13
1.38299,9.3687e+13
1.39557,9.09586e+13
1.4082,8.93857e+13
1.42088,8.7481e+13
1.43363,8.53239e+13
1.44643,8.43286e+13
1.45928,8.26673e+13
1.4722,8.09132e+13
1.48517,7.97934e+13
1.4982,7.80356e+13
1.51128,7.75862e+13
1.52442,7.59935e+13
1.53762,7.47654e+13
1.55088,7.35698e+13
1.56419,7.27017e+13
1.57756,7.21658e+13
1.59098,7.06099e+13
1.60447,6.99465e+13
1.618,6.95746e+13
1.6316,6.89148e+13
1.64525,6.79516e+13
1.65897,6.71159e+13
1.67273,6.6659e+13
1.68656,6.58496e+13
1.70044,6.55104e+13
1.71438,6.42972e+13
1.72837,6.3972e+13
1.74242,6.37018e+13
1.75653,6.29641e+13
1.7707,6.27861e+13
1.78492,6.19412e+13
1.7992,6.08472e+13
1.81353,6.05407e+13
1.82793,5.99319e+13
1.84238,5.92991e+13
1.85688,5.89367e+13
1.87145,5.79331e+13
1.88607,5.75902e+13
1.90075,5.69756e+13
1.91548,5.63442e+13
1.93027,5.53754e+13
1.94512,5.48397e+13
1.96003,5.40227e+13
1.97499,5.32281e+13
1.99001,5.21872e+13
2.00508,5.47777e+13
2.02021,5.38477e+13
2.0354,5.32617e+13
2.05065,5.20881e+13
2.06595,5.1414e+13
2.08131,5.03459e+13
2.09673,4.96404e+13
2.11221,4.85366e+13
2.12774,4.77056e+13
2.14332,4.67392e+13
2.15897,4.5912e+13
2.17467,4.46147e+13
2.19043,4.34071e+13
2.20624,4.26685e+13
2.22212,4.16795e+13
2.23804,4.06616e+13
2.25403,3.97376e+13
2.27007,3.86408e+13
2.28617,3.76768e+13
2.30233,3.68542e+13
2.31854,3.59749e+13
2.33481,3.49101e+13
2.35114,3.42709e+13
2.36753,3.32368e+13
2.38397,3.24003e+13
2.40046,3.152e+13
2.41702,3.07119e+13
2.43363,2.9823e+13
2.4503,2.89242e+13
2.46703,2.84023e+13
2.48381,2.77305e+13
2.50065,2.69768e+13
2.51754,2.62408e+13
2.5345,2.5575e+13
2.55151,2.50623e+13
2.56857,2.43346e+13
2.5857,2.37916e+13
2.60288,2.32987e+13
2.62012,2.2671e+13
2.63741,2.22724e+13
2.65476,2.16818e+13
2.67217,2.13566e+13
2.68963,2.09263e+13
2.70716,2.0481e+13
2.72474,2.0241e+13
2.74237,1.99201e+13
2.76006,1.94917e+13
2.77781,1.92473e+13
2.79562,1.8865e+13
2.81348,1.87297e+13
2.8314,1.84101e+13
2.84938,1.82286e+13
2.86741,1.80922e+13
2.88551,1.79126e+13
2.90365,1.76441e+13
2.92186,1.7627e+13
2.94012,1.75489e+13
2.95844,1.74429e+13
2.97681,1.73301e+13
2.99525,1.73137e+13
3.01373,1.73061e+13
3.03228,1.71475e+13
3.05088,1.72201e+13
3.06954,1.71646e+13
3.08826,1.71828e+13
3.10703,1.71619e+13
3.12586,1.74006e+13
3.14475,1.74008e+13
3.1637,1.75544e+13
3.1827,1.75458e+13
3.20176,1.77597e+13
3.22087,1.80422e+13
3.24004,1.82147e+13
3.25927,1.82608e+13
3.27856,1.86338e+13
3.2979,1.85719e+13
3.3173,1.86921e+13
3.33675,1.8992e+13
3.35627,1.93178e+13
3.37584,1.94171e+13
